Date,Open,High,Low,Close,Adj Close,Volume
7/1/2015,3295,3415,3280,3400,2971.723877,822300
7/2/2015,3415,3420,3370,3390,2962.983643,517600
7/3/2015,3370,3430,3340,3420,2989.204346,650500
7/6/2015,3350,3380,3300,3305,2888.69043,738400
7/7/2015,3330,3340,3300,3305,2888.69043,615600
7/8/2015,3270,3280,3145,3150,2753.2146,911600
7/9/2015,3090,3145,3020,3145,2748.844482,1020700
7/10/2015,3150,3215,3120,3155,2757.585205,1203500
7/13/2015,3170,3215,3160,3185,2783.805908,486700
7/14/2015,3200,3230,3180,3190,2788.176025,974200
7/15/2015,3225,3230,3185,3200,2796.916504,466900
7/16/2015,3220,3245,3190,3240,2831.878174,533600
7/17/2015,3215,3235,3200,3215,2810.026855,418400
7/21/2015,3245,3265,3225,3265,2853.72876,360400
7/22/2015,3220,3240,3200,3220,2814.397461,409700
7/23/2015,3260,3260,3195,3225,2818.767578,415800
7/24/2015,3210,3215,3155,3155,2757.585205,518200
7/27/2015,3155,3175,3140,3165,2766.325684,527400
7/28/2015,3140,3140,3070,3115,2722.623535,686400
7/29/2015,3105,3130,3070,3110,2718.253418,430600
7/30/2015,3140,3245,3140,3235,2827.507813,630500
7/31/2015,3165,3215,3110,3145,2748.844482,1001700
8/3/2015,2886,2991,2876,2963,2589.770264,1797300
8/4/2015,2950,2974,2902,2907,2540.82373,975900
8/5/2015,2911,2980,2902,2935,2565.296875,1109400
8/6/2015,2985,3010,2957,2966,2592.39209,746800
8/7/2015,2975,3015,2956,3005,2626.479248,680000
8/10/2015,2979,2994,2934,2987,2610.747314,652500
8/11/2015,3030,3095,2988,2993,2615.990723,732800
8/12/2015,2992,3045,2956,2960,2587.147949,813500
8/13/2015,2969,3025,2960,2999,2621.235107,783500
8/14/2015,2977,2992,2941,2967,2593.265869,667300
8/17/2015,3000,3025,2981,2999,2621.235107,426500
8/18/2015,3010,3045,3000,3025,2643.959961,397200
8/19/2015,2997,3005,2931,2931,2561.800781,743900
8/20/2015,2924,2933,2880,2883,2519.847168,542100
8/21/2015,2822,2862,2810,2819,2463.908691,684100
8/24/2015,2785,2799,2706,2720,2377.379883,1085200
8/25/2015,2626,2720,2581,2602,2274.243164,1738100
8/26/2015,2574,2660,2563,2652,2317.94458,1468900
8/27/2015,2680,2710,2652,2673,2336.299072,1098900
8/28/2015,2761,2824,2755,2804,2450.79834,913500
8/31/2015,2790,2808,2748,2794,2442.058105,872300
9/1/2015,2790,2803,2707,2708,2366.890381,709400
9/2/2015,2669,2738,2656,2681,2343.291748,855200
9/3/2015,2678,2725,2675,2693,2353.780029,667000
9/4/2015,2719,2737,2608,2635,2303.086182,703800
9/7/2015,2612,2699,2604,2680,2342.41748,669100
9/8/2015,2693,2722,2640,2643,2310.078125,652500
9/9/2015,2739,2870,2722,2870,2508.484619,1043700
9/10/2015,2780,2855,2780,2842,2484.011719,565900
9/11/2015,2825,2855,2774,2784,2433.317383,2128900
9/14/2015,2807,2815,2719,2729,2385.245605,559800
9/15/2015,2766,2815,2733,2740,2394.860107,711300
9/16/2015,2784,2811,2755,2777,2427.199219,514400
9/17/2015,2773,2797,2737,2754,2407.096191,951400
9/18/2015,2740,2754,2671,2697,2357.276123,766000
9/24/2015,2670,2704,2602,2606,2277.73877,703600
9/25/2015,2624,2670,2610,2670,2333.677246,805100
9/28/2015,2661,2685,2573,2588,2288.577637,653300
9/29/2015,2551,2551,2447,2454,2170.081299,920600
9/30/2015,2520,2536,2469,2513,2222.255127,640700
10/1/2015,2523,2573,2478,2536,2242.594238,865200
10/2/2015,2519,2538,2491,2508,2217.83374,630500
10/5/2015,2547,2601,2543,2583,2284.15625,582400
10/6/2015,2647,2662,2593,2608,2306.263916,744800
10/7/2015,2624,2715,2623,2700,2387.619629,989100
10/8/2015,2677,2723,2607,2619,2315.990967,1199500
10/9/2015,2693,2842,2668,2832,2504.348389,1787100
10/13/2015,2787,2837,2756,2795,2471.628662,1071200
10/14/2015,2768,2794,2715,2730,2414.148682,660500
10/15/2015,2729,2777,2688,2762,2442.446533,473200
10/16/2015,2783,2797,2733,2761,2441.562256,766000
10/19/2015,2734,2744,2676,2686,2375.239746,851700
10/20/2015,2690,2703,2651,2685,2374.355225,726400
10/21/2015,2688,2817,2657,2804,2479.587158,781900
10/22/2015,2762,2802,2745,2776,2454.826904,544500
10/23/2015,2844,2863,2821,2833,2505.232178,822700
10/26/2015,2783,2885,2781,2820,2493.736328,1611400
10/27/2015,2789,2818,2728,2742,2424.760742,738300
10/28/2015,2752,2769,2724,2761,2441.562256,559800
10/29/2015,2770,2795,2742,2777,2455.711426,545500
