Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,7.310000,7.340000,7.290000,7.300000,6.332158,992100
2015-07-02,7.270000,7.290000,7.230000,7.290000,6.323483,838900
2015-07-06,7.220000,7.270000,7.200000,7.230000,6.271439,891300
2015-07-07,7.180000,7.190000,7.080000,7.190000,6.236742,1802300
2015-07-08,6.910000,6.910000,6.800000,6.810000,5.907123,1733200
2015-07-09,6.930000,6.950000,6.850000,6.860000,5.950493,1044300
2015-07-10,7.100000,7.270000,7.080000,7.110000,6.167348,1176300
2015-07-13,7.190000,7.230000,7.180000,7.190000,6.236742,1427800
2015-07-14,7.180000,7.280000,7.180000,7.260000,6.297462,2447100
2015-07-15,7.200000,7.220000,7.170000,7.180000,6.228067,2361800
2015-07-16,7.250000,7.260000,7.210000,7.250000,6.288786,657000
2015-07-17,7.310000,7.340000,7.290000,7.320000,6.349506,597700
2015-07-20,7.360000,7.360000,7.320000,7.330000,6.358180,672500
2015-07-21,7.320000,7.330000,7.300000,7.330000,6.358180,799100
2015-07-22,7.200000,7.240000,7.190000,7.210000,6.254091,727500
2015-07-23,7.240000,7.250000,7.190000,7.210000,6.254091,536200
2015-07-24,7.170000,7.170000,7.050000,7.080000,6.141326,1192100
2015-07-27,7.060000,7.120000,7.060000,7.080000,6.141326,771900
2015-07-28,7.100000,7.140000,7.040000,7.110000,6.167348,663100
2015-07-29,7.130000,7.210000,7.120000,7.190000,6.236742,860300
2015-07-30,7.210000,7.250000,7.180000,7.230000,6.271439,625000
2015-07-31,7.310000,7.370000,7.300000,7.330000,6.358180,1119500
2015-08-03,7.150000,7.150000,7.080000,7.130000,6.184697,2261900
2015-08-04,7.130000,7.160000,7.100000,7.130000,6.184697,602400
2015-08-05,7.170000,7.190000,7.150000,7.170000,6.219393,574600
2015-08-06,7.140000,7.160000,7.080000,7.110000,6.167348,606100
2015-08-07,7.170000,7.190000,7.130000,7.180000,6.228067,562800
2015-08-10,7.170000,7.230000,7.160000,7.190000,6.236742,883700
2015-08-11,7.120000,7.140000,7.080000,7.140000,6.193371,896900
2015-08-12,7.010000,7.080000,6.930000,7.080000,6.141326,1510200
2015-08-13,6.970000,7.030000,6.970000,6.990000,6.063258,1332300
2015-08-14,6.980000,7.030000,6.980000,7.020000,6.089280,1670000
2015-08-17,6.970000,7.020000,6.940000,7.010000,6.080606,866100
2015-08-18,7.040000,7.060000,7.020000,7.030000,6.097955,449800
2015-08-19,7.030000,7.060000,6.980000,6.990000,6.063258,999300
2015-08-20,6.840000,6.840000,6.740000,6.740000,5.846403,1931800
2015-08-21,6.650000,6.670000,6.440000,6.460000,5.603526,2102800
2015-08-24,5.900000,6.180000,5.180000,6.040000,5.239211,2710700
2015-08-25,6.530000,6.530000,6.280000,6.290000,5.456065,1370900
2015-08-26,6.460000,6.520000,6.350000,6.520000,5.655571,1890500
2015-08-27,6.640000,6.750000,6.630000,6.710000,5.820381,3025000
2015-08-28,6.750000,6.800000,6.730000,6.780000,5.881101,939200
2015-08-31,6.640000,6.670000,6.600000,6.640000,5.759661,942600
2015-09-01,6.300000,6.400000,6.300000,6.340000,5.499436,2062900
2015-09-02,6.430000,6.460000,6.290000,6.440000,5.586178,1183400
2015-09-03,6.400000,6.480000,6.390000,6.430000,5.577504,1229100
2015-09-04,6.130000,6.190000,6.130000,6.180000,5.360650,1634700
2015-09-08,6.280000,6.340000,6.280000,6.330000,5.490762,887400
2015-09-09,6.450000,6.470000,6.320000,6.320000,5.482087,1013100
2015-09-10,6.290000,6.330000,6.270000,6.300000,5.464739,1055900
2015-09-11,6.330000,6.380000,6.300000,6.370000,5.525458,937800
2015-09-14,6.280000,6.290000,6.120000,6.230000,5.404019,3514200
2015-09-15,6.230000,6.340000,6.220000,6.320000,5.482087,1473700
2015-09-16,6.380000,6.460000,6.380000,6.440000,5.586178,1330600
2015-09-17,6.350000,6.470000,6.340000,6.370000,5.525458,882100
2015-09-18,6.140000,6.160000,6.100000,6.100000,5.291255,897100
2015-09-21,6.120000,6.160000,6.110000,6.130000,5.317278,705800
2015-09-22,6.030000,6.060000,5.970000,6.030000,5.230536,1308400
2015-09-23,6.040000,6.060000,6.000000,6.030000,5.230536,775200
2015-09-24,5.960000,5.990000,5.890000,5.970000,5.178491,1503100
2015-09-25,6.270000,6.310000,6.190000,6.220000,5.395346,1359700
2015-09-28,6.140000,6.150000,6.030000,6.040000,5.301464,952700
2015-09-29,5.950000,6.000000,5.910000,5.970000,5.240023,1406900
2015-09-30,6.020000,6.090000,5.980000,6.090000,5.345350,1732000
2015-10-01,6.160000,6.180000,6.090000,6.180000,5.424345,1115900
2015-10-02,6.120000,6.270000,6.080000,6.270000,5.503341,1450500
2015-10-05,6.310000,6.370000,6.310000,6.350000,5.573559,1223000
2015-10-06,6.360000,6.390000,6.320000,6.370000,5.591113,802400
2015-10-07,6.460000,6.510000,6.410000,6.450000,5.661332,1260500
2015-10-08,6.430000,6.500000,6.390000,6.500000,5.705218,1143000
2015-10-09,6.470000,6.480000,6.420000,6.450000,5.661332,736900
2015-10-12,6.470000,6.490000,6.440000,6.470000,5.678886,401300
2015-10-13,6.320000,6.360000,6.300000,6.320000,5.547228,2028800
2015-10-14,6.190000,6.210000,6.120000,6.130000,5.380459,1032200
2015-10-15,6.240000,6.310000,6.210000,6.310000,5.538449,1157200
2015-10-16,6.340000,6.370000,6.300000,6.360000,5.582336,1126400
2015-10-19,6.240000,6.290000,6.240000,6.280000,5.512119,813600
2015-10-20,6.330000,6.370000,6.320000,6.330000,5.556005,636200
2015-10-21,6.430000,6.440000,6.360000,6.370000,5.591113,942600
2015-10-22,6.470000,6.530000,6.460000,6.490000,5.696440,974200
2015-10-23,6.530000,6.600000,6.530000,6.600000,5.792990,650100
