Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,47200.000000,48150.000000,46900.000000,47800.000000,46297.730469,680372
2015-07-02,48200.000000,48600.000000,47900.000000,48100.000000,46588.300781,722630
2015-07-03,48250.000000,48450.000000,47400.000000,47650.000000,46152.437500,521621
2015-07-06,46750.000000,46850.000000,46000.000000,46050.000000,44602.730469,899759
2015-07-07,46350.000000,46550.000000,45700.000000,46550.000000,45087.015625,888051
2015-07-08,46600.000000,46650.000000,46150.000000,46200.000000,44748.011719,470393
2015-07-09,46000.000000,46350.000000,45450.000000,45750.000000,44312.156250,748847
2015-07-10,45750.000000,45750.000000,44600.000000,44750.000000,43343.585938,857957
2015-07-13,44900.000000,45100.000000,44600.000000,44900.000000,43488.871094,541447
2015-07-14,45300.000000,45300.000000,43600.000000,43600.000000,42229.730469,1052617
2015-07-15,43500.000000,44250.000000,43450.000000,44250.000000,42859.296875,764452
2015-07-16,44100.000000,44900.000000,43900.000000,44050.000000,42665.585938,565343
2015-07-17,44150.000000,44200.000000,41700.000000,41700.000000,40389.441406,1685713
2015-07-20,41400.000000,41450.000000,40500.000000,41350.000000,40050.441406,993938
2015-07-21,41300.000000,43350.000000,41300.000000,42350.000000,41019.015625,1361792
2015-07-22,42100.000000,48500.000000,41350.000000,43650.000000,42278.152344,6377371
2015-07-23,43750.000000,44550.000000,42150.000000,42800.000000,41454.867188,1674789
2015-07-24,42700.000000,42750.000000,41150.000000,41150.000000,39856.722656,951124
2015-07-27,40900.000000,45650.000000,40850.000000,44550.000000,43149.871094,2732216
2015-07-28,44200.000000,44950.000000,43050.000000,43050.000000,41697.011719,1620301
2015-07-29,43600.000000,45550.000000,43250.000000,43800.000000,42423.441406,1608532
2015-07-30,42900.000000,42950.000000,40850.000000,40850.000000,39566.156250,2433565
2015-07-31,40800.000000,41700.000000,40300.000000,40600.000000,39324.011719,1217552
2015-08-03,40600.000000,41700.000000,40550.000000,41050.000000,39759.871094,889689
2015-08-04,41000.000000,41800.000000,41000.000000,41700.000000,40389.441406,741063
2015-08-05,41950.000000,42500.000000,41200.000000,41500.000000,40195.726563,723011
2015-08-06,41750.000000,42150.000000,41100.000000,41150.000000,39856.722656,806351
2015-08-07,41250.000000,41400.000000,40550.000000,40650.000000,39372.437500,706498
2015-08-10,40700.000000,40750.000000,39700.000000,40300.000000,39033.441406,761267
2015-08-11,40650.000000,40750.000000,39950.000000,40000.000000,38742.867188,679248
2015-08-12,39600.000000,41200.000000,39600.000000,40350.000000,39081.867188,807710
2015-08-13,40550.000000,41300.000000,40250.000000,40900.000000,39614.582031,575165
2015-08-14,40900.000000,40900.000000,40900.000000,40900.000000,39614.582031,0
2015-08-17,41100.000000,41200.000000,40300.000000,40300.000000,39033.441406,441394
2015-08-18,40350.000000,41400.000000,40300.000000,41350.000000,40050.441406,685759
2015-08-19,41150.000000,41350.000000,40050.000000,40450.000000,39178.726563,927262
2015-08-20,40250.000000,41000.000000,40250.000000,40450.000000,39178.726563,582590
2015-08-21,39350.000000,40150.000000,39300.000000,39800.000000,38549.156250,1047950
2015-08-24,39500.000000,41450.000000,39500.000000,40150.000000,38888.156250,1284327
2015-08-25,40600.000000,41400.000000,39850.000000,40850.000000,39566.156250,1220319
2015-08-26,41500.000000,43550.000000,41500.000000,43450.000000,42084.441406,2251863
2015-08-27,44400.000000,44650.000000,43250.000000,43300.000000,41939.152344,1359490
