Date,Open,High,Low,Close,Adj Close,Volume
2016-07-11,2.000000,2.010000,1.850000,1.860000,1.597848,171220000
2016-07-12,1.880000,1.890000,1.860000,1.880000,1.615029,34384000
2016-07-13,1.890000,1.940000,1.890000,1.920000,1.649391,13866000
2016-07-14,1.940000,1.990000,1.930000,1.980000,1.700935,17848000
2016-07-15,1.990000,2.040000,1.980000,1.980000,1.700935,14290000
2016-07-18,1.980000,2.000000,1.980000,1.990000,1.709525,2248000
2016-07-19,2.000000,2.000000,1.970000,1.980000,1.700935,3738000
2016-07-20,1.990000,1.990000,1.970000,1.970000,1.692344,2636000
2016-07-21,1.970000,1.990000,1.970000,1.980000,1.700935,1019980
2016-07-22,1.980000,1.990000,1.980000,1.980000,1.700935,2960000
2016-07-25,1.980000,2.070000,1.980000,2.010000,1.726707,5460000
2016-07-26,2.010000,2.020000,1.990000,2.010000,1.726707,8514000
2016-07-27,2.020000,2.030000,2.000000,2.010000,1.726707,9195000
2016-07-28,2.020000,2.030000,2.000000,2.010000,1.726707,12348000
2016-07-29,2.010000,2.030000,2.000000,2.010000,1.726707,13520000
2016-08-01,2.030000,2.030000,1.940000,1.950000,1.675163,752000
2016-08-02,1.950000,1.950000,1.950000,1.950000,1.675163,0
2016-08-03,1.930000,1.930000,1.810000,1.850000,1.589257,1304000
2016-08-04,1.850000,1.880000,1.820000,1.880000,1.615029,466000
2016-08-05,1.880000,1.880000,1.860000,1.860000,1.597848,54000
2016-08-08,1.850000,1.860000,1.820000,1.860000,1.597848,640000
2016-08-09,1.850000,1.960000,1.830000,1.960000,1.683754,900000
2016-08-10,1.950000,1.980000,1.910000,1.950000,1.675163,510000
2016-08-11,1.950000,2.020000,1.930000,2.020000,1.735297,488000
2016-08-12,2.020000,2.020000,1.920000,2.010000,1.726707,684000
2016-08-15,2.030000,2.030000,2.000000,2.010000,1.726707,4070000
2016-08-16,1.980000,1.980000,1.950000,1.970000,1.692344,364000
2016-08-17,1.930000,1.940000,1.930000,1.940000,1.666573,24000
2016-08-18,1.940000,1.940000,1.920000,1.940000,1.666573,70000
2016-08-19,1.930000,1.930000,1.910000,1.920000,1.649391,22000
2016-08-22,1.920000,1.920000,1.860000,1.880000,1.615029,186000
2016-08-23,1.890000,1.940000,1.890000,1.940000,1.666573,94000
2016-08-24,1.930000,1.940000,1.860000,1.940000,1.666573,46000
2016-08-25,1.930000,1.930000,1.930000,1.930000,1.657982,32000
2016-08-26,1.930000,1.940000,1.920000,1.940000,1.666573,60000
2016-08-29,2.000000,2.190000,1.970000,2.000000,1.718116,276966000
2016-08-30,2.000000,2.000000,1.880000,1.920000,1.649391,2116000
2016-08-31,1.930000,1.930000,1.890000,1.900000,1.632210,528000
2016-09-01,1.890000,1.910000,1.880000,1.900000,1.632210,454000
2016-09-02,1.880000,1.920000,1.880000,1.890000,1.623620,272000
2016-09-05,1.890000,1.900000,1.880000,1.900000,1.632210,524000
2016-09-06,1.880000,1.920000,1.880000,1.920000,1.649391,218000
2016-09-07,1.910000,1.910000,1.900000,1.900000,1.632210,214000
2016-09-08,1.900000,1.910000,1.880000,1.910000,1.640801,284000
2016-09-09,1.910000,1.930000,1.900000,1.920000,1.649391,528000
2016-09-12,1.890000,1.920000,1.880000,1.900000,1.632210,1692000
2016-09-13,1.930000,1.940000,1.910000,1.930000,1.657982,358000
2016-09-14,1.940000,1.940000,1.910000,1.920000,1.649391,490000
2016-09-15,1.930000,1.930000,1.910000,1.930000,1.657982,146000
2016-09-19,1.930000,1.940000,1.930000,1.930000,1.657982,142000
2016-09-20,1.980000,1.980000,1.920000,1.940000,1.666573,126000
2016-09-21,1.930000,1.930000,1.910000,1.920000,1.649391,188000
2016-09-22,1.930000,1.930000,1.900000,1.920000,1.649391,302000
2016-09-23,1.910000,1.940000,1.890000,1.930000,1.657982,82000
2016-09-26,1.830000,1.930000,1.830000,1.920000,1.649391,392000
2016-09-27,1.910000,1.910000,1.900000,1.910000,1.640801,118000
2016-09-28,1.890000,1.920000,1.890000,1.910000,1.640801,204000
2016-09-29,1.890000,1.920000,1.870000,1.920000,1.649391,518000
2016-09-30,1.890000,1.920000,1.890000,1.920000,1.649391,262000
2016-10-03,1.930000,1.930000,1.900000,1.910000,1.640801,132000
2016-10-04,1.900000,1.930000,1.900000,1.920000,1.649391,178000
2016-10-05,1.900000,1.930000,1.900000,1.920000,1.649391,90000
2016-10-06,1.920000,1.930000,1.900000,1.920000,1.649391,126000
2016-10-07,1.910000,1.940000,1.910000,1.930000,1.657982,84000
2016-10-11,1.910000,1.940000,1.900000,1.920000,1.649391,486000
2016-10-12,1.920000,1.930000,1.920000,1.930000,1.657982,50000
2016-10-13,1.910000,1.930000,1.910000,1.920000,1.649391,42000
2016-10-14,1.920000,1.920000,1.920000,1.920000,1.649391,0
2016-10-17,1.920000,1.920000,1.920000,1.920000,1.649391,6000
2016-10-18,1.920000,1.920000,1.920000,1.920000,1.649391,24000
2016-10-19,1.930000,1.950000,1.910000,1.940000,1.666573,36000
2016-10-20,1.940000,1.940000,1.900000,1.900000,1.632210,272000
2016-10-21,1.900000,1.900000,1.900000,1.900000,1.632210,0
2016-10-24,1.920000,1.940000,1.870000,1.910000,1.640801,274000
2016-10-25,1.880000,1.940000,1.880000,1.910000,1.640801,142000
2016-10-26,1.890000,1.950000,1.890000,1.930000,1.657982,20000
2016-10-27,1.940000,1.940000,1.880000,1.930000,1.657982,170000
2016-10-28,1.920000,1.950000,1.900000,1.940000,1.666573,70000
2016-10-31,1.920000,1.920000,1.920000,1.920000,1.649391,0
2016-11-01,1.890000,1.940000,1.890000,1.920000,1.649391,214000
2016-11-02,1.920000,1.940000,1.890000,1.930000,1.657982,264000
2016-11-03,1.930000,1.940000,1.900000,1.940000,1.666573,576000
2016-11-04,1.900000,1.940000,1.860000,1.940000,1.666573,274000
2016-11-07,1.940000,1.940000,1.900000,1.940000,1.666573,126000
2016-11-08,1.910000,1.930000,1.910000,1.930000,1.657982,14000
2016-11-09,1.900000,1.940000,1.860000,1.940000,1.666573,134000
2016-11-10,1.900000,1.930000,1.890000,1.930000,1.657982,74000
2016-11-11,1.930000,1.930000,1.830000,1.880000,1.615029,1604000
2016-11-14,1.840000,1.880000,1.830000,1.850000,1.589257,436000
2016-11-15,1.850000,1.870000,1.830000,1.830000,1.572076,2108000
2016-11-16,1.830000,1.850000,1.800000,1.810000,1.554895,1220000
2016-11-17,1.810000,1.840000,1.800000,1.810000,1.554895,2614000
2016-11-18,1.810000,1.820000,1.800000,1.800000,1.546304,2856000
2016-11-21,1.800000,1.800000,1.760000,1.800000,1.546304,2694000
2016-11-22,1.800000,1.900000,1.790000,1.830000,1.572076,2038000
2016-11-23,1.830000,1.850000,1.810000,1.830000,1.572076,1152000
2016-11-24,1.830000,1.860000,1.810000,1.850000,1.589257,1536000
2016-11-25,1.860000,1.880000,1.840000,1.870000,1.606438,110000
2016-11-28,1.850000,1.870000,1.830000,1.850000,1.589257,102000
2016-11-29,1.840000,1.900000,1.830000,1.880000,1.615029,620000
2016-11-30,1.850000,2.000000,1.840000,2.000000,1.718116,1322000
2016-12-01,1.900000,1.950000,1.900000,1.910000,1.640801,160000
2016-12-02,1.900000,1.980000,1.880000,1.940000,1.666573,374000
