Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,8.710000,9.100000,8.320000,8.360000,6.655480,265096720
2015-07-02,8.410000,8.500000,7.550000,7.630000,6.074319,253681409
2015-07-03,7.400000,7.790000,6.870000,6.870000,5.469276,225217700
2015-07-06,7.500000,7.550000,6.730000,7.190000,5.724031,275875966
2015-07-07,7.050000,7.580000,6.510000,7.500000,5.970825,340396645
2015-07-08,6.950000,7.290000,6.750000,6.750000,5.373743,199335843
2015-07-09,6.750000,7.430000,6.300000,7.430000,5.915097,282312143
2015-07-10,7.490000,8.170000,7.260000,8.160000,6.496258,338057010
2015-07-13,8.010000,8.480000,7.870000,8.200000,6.528102,375082135
2015-07-14,7.990000,7.990000,7.500000,7.580000,6.034515,262737194
2015-07-15,7.400000,7.560000,7.010000,7.090000,5.644421,149568802
2015-07-16,7.090000,7.490000,6.950000,7.230000,5.755876,124657573
2015-07-17,7.340000,7.540000,7.230000,7.450000,5.931020,142243781
2015-07-20,7.470000,7.520000,7.270000,7.360000,5.859370,122555366
2015-07-21,7.300000,7.480000,7.160000,7.330000,5.835486,114727759
2015-07-22,7.330000,7.470000,7.180000,7.380000,5.875293,120135564
2015-07-23,7.450000,7.800000,7.420000,7.610000,6.058398,202039419
2015-07-24,7.550000,7.750000,7.380000,7.430000,5.915097,185630344
2015-07-27,7.250000,7.350000,6.690000,6.690000,5.325976,181545388
2015-07-28,6.500000,6.760000,6.310000,6.630000,5.278210,219668415
2015-07-29,6.710000,6.930000,6.560000,6.920000,5.509082,122538448
2015-07-30,6.860000,6.950000,6.620000,6.640000,5.286171,115287079
2015-07-31,6.510000,6.830000,6.510000,6.790000,5.405587,105946240
2015-08-03,6.720000,7.240000,6.670000,7.230000,5.755876,148430803
2015-08-04,7.180000,7.280000,7.010000,7.250000,5.771798,117363872
2015-08-05,7.200000,7.250000,7.030000,7.060000,5.620537,64343010
2015-08-06,6.900000,7.000000,6.820000,6.880000,5.477237,47697407
2015-08-07,6.950000,7.090000,6.920000,7.020000,5.588693,53908226
2015-08-10,7.370000,7.720000,7.370000,7.720000,6.145970,211094210
2015-08-11,7.720000,8.000000,7.670000,7.750000,6.169853,237059554
2015-08-12,7.700000,8.010000,7.550000,7.710000,6.138008,154582027
2015-08-13,7.660000,7.790000,7.440000,7.730000,6.153931,136953946
2015-08-14,7.750000,7.780000,7.590000,7.610000,6.058398,103059162
2015-08-17,7.570000,7.890000,7.460000,7.770000,6.185775,134823159
2015-08-18,7.750000,7.750000,6.990000,6.990000,5.564809,159567558
2015-08-19,6.860000,7.660000,6.790000,7.490000,5.962864,155857965
2015-08-20,7.400000,7.400000,7.090000,7.130000,5.676265,90024437
2015-08-21,7.020000,7.130000,6.610000,6.790000,5.405587,94489495
2015-08-24,6.580000,6.580000,6.110000,6.110000,4.864233,115236524
2015-08-25,5.600000,5.800000,5.500000,5.500000,4.378605,120341481
