Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,1.800000,1.800000,1.530000,1.710000,1.710000,5700
2015-07-02,1.800000,1.800000,1.440000,1.710000,1.710000,7700
2015-07-06,1.800000,1.800000,1.620000,1.620000,1.620000,3100
2015-07-07,1.710000,2.160000,1.530000,1.620000,1.620000,45900
2015-07-08,1.620000,1.710000,1.440000,1.530000,1.530000,5300
2015-07-09,1.440000,1.530000,1.440000,1.530000,1.530000,8000
2015-07-10,1.350000,1.530000,1.350000,1.350000,1.350000,20500
2015-07-13,1.440000,1.620000,1.440000,1.530000,1.530000,3200
2015-07-14,1.530000,1.620000,1.350000,1.440000,1.440000,2500
2015-07-15,1.530000,1.620000,1.440000,1.530000,1.530000,5900
2015-07-16,1.530000,1.530000,1.440000,1.530000,1.530000,3500
2015-07-17,1.440000,1.530000,1.260000,1.440000,1.440000,17800
2015-07-20,1.440000,1.440000,1.170000,1.440000,1.440000,5600
2015-07-21,1.260000,1.440000,1.260000,1.440000,1.440000,12400
2015-07-22,1.350000,1.440000,1.260000,1.260000,1.260000,4400
2015-07-23,1.350000,1.440000,1.260000,1.350000,1.350000,1100
2015-07-24,1.350000,1.350000,1.260000,1.260000,1.260000,3700
2015-07-27,1.260000,1.440000,1.260000,1.260000,1.260000,1400
2015-07-28,1.440000,1.440000,1.260000,1.260000,1.260000,1300
2015-07-29,1.260000,1.260000,1.170000,1.260000,1.260000,7700
2015-07-30,1.170000,1.260000,1.170000,1.170000,1.170000,7700
2015-07-31,1.260000,1.260000,1.260000,1.260000,1.260000,3300
2015-08-03,1.260000,1.440000,1.260000,1.440000,1.440000,800
2015-08-04,1.170000,1.350000,1.170000,1.170000,1.170000,18100
2015-08-05,1.170000,1.350000,1.080000,1.260000,1.260000,6100
2015-08-06,1.350000,1.350000,1.170000,1.170000,1.170000,400
2015-08-07,1.260000,1.440000,1.170000,1.170000,1.170000,19800
2015-08-10,1.170000,1.260000,0.810000,0.990000,0.990000,19800
2015-08-11,1.080000,1.260000,0.990000,1.170000,1.170000,4400
2015-08-12,0.810000,1.170000,0.810000,0.990000,0.990000,19800
2015-08-13,0.990000,1.080000,0.990000,0.990000,0.990000,1000
2015-08-14,0.990000,0.990000,0.990000,0.990000,0.990000,4100
2015-08-17,0.900000,1.080000,0.900000,0.990000,0.990000,5000
2015-08-18,1.080000,1.170000,1.080000,1.080000,1.080000,4000
2015-08-19,1.170000,1.170000,0.990000,1.080000,1.080000,1600
2015-08-20,1.170000,1.260000,0.990000,1.170000,1.170000,5700
2015-08-21,1.170000,1.170000,0.900000,1.170000,1.170000,16900
2015-08-24,0.900000,1.170000,0.900000,1.080000,1.080000,1700
2015-08-25,1.620000,4.950000,1.350000,2.610000,2.610000,657700
2015-08-26,2.790000,3.870000,2.700000,3.060000,3.060000,330500
2015-08-27,3.330000,3.600000,2.790000,3.150000,3.150000,82200
2015-08-28,2.700000,3.240000,2.250000,2.610000,2.610000,37300
2015-08-31,2.610000,2.970000,2.610000,2.790000,2.790000,24100
2015-09-01,2.610000,2.790000,2.520000,2.520000,2.520000,17300
2015-09-02,2.520000,2.700000,1.890000,2.070000,2.070000,24500
2015-09-03,2.160000,2.700000,2.070000,2.520000,2.520000,31900
2015-09-04,2.430000,3.330000,2.250000,3.150000,3.150000,146100
2015-09-08,3.150000,3.240000,2.790000,3.060000,3.060000,41800
2015-09-09,3.420000,3.420000,2.610000,2.700000,2.700000,35400
2015-09-10,2.790000,2.880000,2.520000,2.880000,2.880000,18100
2015-09-11,2.880000,3.060000,2.700000,2.790000,2.790000,19600
2015-09-14,2.880000,2.880000,2.700000,2.880000,2.880000,9700
