Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,79.620003,81.430000,78.910004,80.680000,60.207661,4294195
2015-07-02,80.599998,80.709999,79.650002,79.720001,59.491264,1957637
2015-07-03,79.699997,79.889999,79.059998,79.669998,59.453938,1952121
2015-07-06,78.000000,78.949997,77.739998,78.000000,58.207703,3478980
2015-07-07,78.099998,78.279999,75.790001,76.059998,56.759972,3555758
2015-07-08,75.830002,77.320000,75.279999,76.769997,57.289803,3379945
2015-07-09,77.209999,78.930000,76.820000,78.620003,58.670376,2763180
2015-07-10,80.900002,81.989998,79.800003,81.690002,60.961376,3991919
2015-07-13,83.500000,83.500000,82.400002,83.099998,62.013588,3444174
2015-07-14,83.010002,83.680000,82.800003,83.559998,62.356861,2324654
2015-07-15,83.250000,84.029999,82.989998,83.900002,62.610588,2364415
2015-07-16,84.220001,85.650002,84.080002,84.849998,63.319527,3067513
2015-07-17,85.190002,85.199997,84.019997,84.430000,63.006111,2476603
2015-07-20,85.120003,85.870003,84.580002,85.250000,63.618034,2050039
2015-07-21,85.610001,85.669998,84.190002,84.370003,62.961330,1862080
2015-07-22,83.800003,84.000000,82.279999,82.730003,61.737480,2173588
2015-07-23,83.220001,83.470001,82.389999,82.870003,61.841949,1796778
2015-07-24,80.099998,80.500000,78.489998,79.099998,59.028572,6605240
2015-07-27,78.879997,78.949997,76.349998,76.900002,57.386826,4418247
2015-07-28,77.349998,78.209999,76.889999,77.300003,57.685322,3553042
2015-07-29,77.529999,77.769997,76.589996,77.309998,57.692787,2762619
2015-07-30,77.699997,77.949997,76.629997,77.599998,57.909199,2025397
2015-07-31,77.580002,78.730003,77.430000,78.550003,58.618153,3240633
2015-08-03,78.410004,79.430000,77.910004,79.180000,59.088280,2544895
2015-08-04,78.879997,79.480003,78.620003,79.260002,59.147980,1431407
2015-08-05,79.699997,81.669998,79.500000,81.180000,60.580791,2995755
2015-08-06,81.190002,81.790001,80.959999,81.470001,60.797203,1977400
2015-08-07,81.309998,81.680000,81.080002,81.269997,60.647949,2042516
2015-08-10,81.480003,82.510002,80.599998,82.260002,61.386738,1909613
2015-08-11,82.040001,82.099998,79.150002,79.580002,59.386787,3312132
2015-08-12,78.050003,78.059998,76.099998,76.639999,57.192799,4956834
2015-08-13,78.000000,78.139999,76.480003,76.690002,57.230118,2616258
2015-08-14,76.800003,77.349998,75.550003,76.290001,56.931614,2291875
2015-08-17,76.669998,77.230003,74.910004,75.739998,56.521175,2603033
2015-08-18,75.230003,75.720001,74.760002,75.309998,56.200279,2094665
2015-08-19,74.599998,74.750000,73.029999,73.260002,54.670467,3523574
2015-08-20,72.599998,73.059998,71.010002,71.419998,53.297356,4989794
2015-08-21,70.000000,71.739998,69.260002,69.260002,51.685452,6686732
2015-08-24,66.500000,68.209999,63.000000,66.419998,49.566097,11106053
2015-08-25,68.070000,70.150002,67.150002,69.529999,51.886944,8091402
2015-08-26,69.000000,70.000000,67.730003,68.820000,51.357101,4632117
2015-08-27,71.000000,72.459999,70.139999,71.639999,53.461540,5598933
2015-08-28,71.910004,72.150002,70.900002,71.879997,53.640633,2636157
2015-08-31,71.360001,71.820000,70.449997,71.820000,53.595863,2031131
2015-09-01,70.050003,70.559998,69.239998,69.959999,52.207832,3298640
2015-09-02,70.029999,71.120003,69.510002,70.430000,52.558571,2356304
2015-09-03,70.800003,71.900002,70.389999,71.339996,53.237659,3700836
2015-09-04,70.800003,70.800003,69.000000,69.589996,51.931717,4061400
2015-09-07,70.150002,70.629997,69.650002,69.910004,52.170521,1451529
2015-09-08,70.669998,71.730003,70.480003,70.669998,52.737671,2593397
2015-09-09,72.250000,72.400002,70.879997,70.959999,52.954086,2887144
2015-09-10,70.370003,71.010002,69.589996,70.209999,52.394394,2694423
2015-09-11,70.489998,70.540001,69.430000,69.699997,52.013805,1825717
2015-09-14,69.500000,70.500000,69.279999,69.680000,51.998878,2210356
2015-09-15,69.769997,70.500000,69.089996,70.080002,52.297382,2585720
2015-09-16,70.779999,71.089996,70.230003,70.669998,52.737671,2296596
2015-09-17,70.980003,71.000000,69.720001,69.800003,52.088436,3049887
2015-09-18,69.349998,69.379997,66.779999,67.320000,50.237724,9872815
2015-09-21,67.190002,68.570000,67.099998,68.309998,50.976517,2649881
2015-09-22,68.790001,68.800003,66.230003,66.449997,49.588482,4455226
2015-09-23,66.500000,67.559998,66.279999,66.620003,49.715355,3250694
2015-09-24,66.669998,67.139999,65.089996,65.739998,49.058647,4522521
2015-09-25,66.830002,67.980003,66.730003,67.639999,50.476521,3599758
2015-09-28,67.529999,67.910004,65.959999,66.089996,49.319832,4474160
2015-09-29,65.300003,67.320000,65.129997,66.660004,49.745201,3659600
2015-09-30,68.599998,68.690002,67.820000,68.320000,50.983974,3816783
2015-10-01,69.000000,69.169998,66.080002,66.459999,49.595943,4490916
2015-10-02,67.190002,68.080002,65.669998,66.709999,49.782513,4226170
2015-10-05,68.120003,69.239998,67.610001,68.730003,51.289944,3636050
2015-10-06,68.750000,69.900002,68.120003,69.540001,51.894405,4400306
2015-10-07,70.290001,72.089996,70.139999,71.110001,53.066025,5001060
2015-10-08,70.970001,72.029999,70.389999,71.769997,53.558548,2996405
2015-10-09,72.910004,73.449997,72.389999,73.040001,54.506283,3210945
2015-10-12,73.500000,73.900002,72.269997,72.669998,54.230179,2484421
2015-10-13,71.970001,72.150002,70.930000,71.639999,53.461540,2784711
2015-10-14,70.750000,70.860001,69.949997,70.040001,52.267532,3193590
2015-10-15,70.650002,71.989998,70.300003,71.320000,53.222740,4155047
2015-10-16,71.879997,72.089996,70.529999,71.019997,52.998856,3321625
2015-10-19,70.750000,71.779999,70.750000,71.330002,53.230194,1431926
2015-10-20,71.050003,71.500000,70.339996,71.209999,53.140648,1889978
2015-10-21,71.389999,71.930000,70.620003,71.580002,53.416763,2061467
2015-10-22,71.500000,74.660004,71.250000,74.290001,55.439106,4684253
2015-10-23,75.430000,77.230003,74.650002,76.639999,57.192799,5218742
2015-10-26,76.300003,77.589996,76.120003,76.589996,57.155483,2730741
2015-10-27,73.300003,74.379997,72.010002,72.980003,54.461517,6808790
2015-10-28,72.870003,73.699997,72.500000,73.360001,54.745087,3148880
2015-10-29,73.879997,73.940002,72.750000,73.879997,55.133144,2460640
2015-10-30,74.089996,74.570000,73.330002,74.529999,55.618202,2698620
2015-11-02,73.849998,75.529999,73.709999,75.160004,56.088341,2354968
2015-11-03,75.419998,76.190002,74.949997,76.019997,56.730122,2208935
2015-11-04,76.540001,77.419998,75.970001,76.040001,56.745049,3018503
2015-11-05,75.879997,76.550003,74.989998,75.809998,56.573406,2694347
2015-11-06,75.919998,77.730003,75.519997,77.129997,57.558456,3422893
2015-11-09,77.339996,77.889999,76.300003,76.459999,57.058468,1849558
2015-11-10,76.510002,76.650002,75.129997,75.930000,56.662960,2556993
2015-11-11,76.099998,77.220001,75.720001,76.139999,56.819668,2239547
2015-11-12,75.879997,76.510002,74.059998,74.629997,55.692829,2870522
2015-11-13,74.449997,74.779999,73.230003,74.019997,55.237614,2960354
2015-11-16,73.099998,74.930000,73.050003,74.209999,55.379402,1987978
2015-11-17,74.980003,76.669998,74.680000,76.349998,56.976379,3356674
2015-11-18,75.709999,76.779999,75.370003,76.349998,56.976379,1917572
2015-11-19,77.199997,78.099998,76.959999,77.320000,57.700249,2378333
