Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,64.070000,64.209999,63.740002,63.900002,51.348385,540500
2015-07-02,64.629997,65.370003,64.610001,64.669998,51.967140,572200
2015-07-06,62.689999,62.959999,62.250000,62.660000,50.351955,905100
2015-07-07,61.619999,61.650002,59.779999,61.000000,49.018017,1642500
2015-07-08,58.080002,58.990002,57.540001,57.720001,46.382294,1715600
2015-07-09,59.160000,59.580002,58.610001,58.660000,47.137657,1011600
2015-07-10,61.570000,61.630001,60.750000,61.349998,49.299263,1251400
2015-07-13,62.080002,62.080002,61.400002,61.459999,49.387665,1056300
2015-07-14,61.689999,62.080002,61.689999,61.880001,49.725159,807300
2015-07-15,62.619999,62.900002,62.250000,62.279999,50.046593,986200
2015-07-16,62.810001,62.880001,62.500000,62.779999,50.448376,479400
2015-07-17,62.900002,62.939999,62.520000,62.900002,50.544811,568200
2015-07-20,63.270000,63.660000,62.860001,63.389999,50.938564,577000
2015-07-21,65.570000,65.900002,65.360001,65.489998,52.626064,715500
2015-07-22,64.970001,64.970001,64.440002,64.660004,51.959099,465100
2015-07-23,64.860001,64.989998,64.269997,64.379997,51.734093,368100
2015-07-24,64.570000,64.610001,63.509998,63.750000,51.227840,479900
2015-07-27,62.139999,62.439999,61.650002,62.020000,49.837662,646900
2015-07-28,62.889999,63.200001,62.590000,63.139999,50.737663,758900
2015-07-29,63.639999,64.309998,63.610001,63.750000,51.227840,608600
2015-07-30,64.150002,64.330002,63.910000,64.040001,51.460884,404500
2015-07-31,65.300003,65.779999,64.839996,65.000000,52.232311,733700
2015-08-03,64.080002,64.129997,63.439999,63.820000,51.284092,455000
2015-08-04,64.029999,64.139999,63.419998,63.680000,51.171600,677000
2015-08-05,65.000000,65.190002,64.650002,64.800003,52.071602,442600
2015-08-06,64.629997,64.809998,63.939999,64.120003,51.525173,416900
2015-08-07,64.820000,65.000000,64.570000,64.970001,52.208206,443100
2015-08-10,65.650002,66.150002,65.599998,66.029999,53.059998,576000
2015-08-11,65.669998,65.870003,65.279999,65.680000,52.778744,441200
2015-08-12,64.440002,64.580002,63.820000,64.540001,51.862671,527600
2015-08-13,63.959999,64.190002,63.720001,63.720001,51.203739,401800
2015-08-14,63.950001,64.139999,63.759998,63.970001,51.404633,372100
2015-08-17,64.529999,65.160004,64.480003,65.139999,52.344810,480100
2015-08-18,64.470001,64.760002,64.320000,64.510002,51.838566,483000
2015-08-19,63.310001,63.310001,62.349998,62.970001,50.601059,893700
2015-08-20,62.630001,63.389999,62.529999,62.730000,50.408203,804100
2015-08-21,64.440002,64.839996,62.830002,62.869999,50.520702,1176800
2015-08-24,57.310001,60.029999,55.009998,57.880001,46.510872,1599200
2015-08-25,61.610001,61.610001,58.779999,58.820000,47.266228,868600
2015-08-26,58.849998,59.110001,57.320000,59.020000,47.426937,1183100
2015-08-27,60.810001,61.369999,60.049999,61.340000,49.291233,965700
