Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,4.100000,4.184000,4.080000,4.150000,3.403800,59104790
2015-07-02,4.142000,4.224000,4.128000,4.134000,3.390677,47744501
2015-07-03,4.122000,4.200000,4.070000,4.118000,3.377554,34504124
2015-07-06,4.010000,4.052000,3.944000,3.944000,3.234840,75507152
2015-07-07,3.950000,4.000000,3.866000,3.866000,3.170865,56867843
2015-07-08,3.852000,3.980000,3.832000,3.960000,3.247963,55362523
2015-07-09,3.982000,4.130000,3.954000,4.116000,3.375914,53927634
2015-07-10,4.208000,4.230000,4.158000,4.226000,3.466134,66388909
2015-07-13,4.252000,4.298000,4.216000,4.276000,3.507144,56453527
2015-07-14,4.254000,4.266000,4.212000,4.266000,3.498942,32426670
2015-07-15,4.270000,4.342000,4.252000,4.338000,3.557996,43489695
2015-07-16,4.350000,4.386000,4.342000,4.378000,3.590804,47353868
2015-07-17,4.390000,4.396000,4.340000,4.352000,3.569479,33990488
2015-07-20,4.360000,4.446000,4.354000,4.414000,3.620332,39828736
2015-07-21,4.428000,4.430000,4.352000,4.354000,3.571120,32308522
2015-07-22,4.338000,4.390000,4.318000,4.362000,3.577680,27085522
2015-07-23,4.370000,4.378000,4.250000,4.296000,3.523548,58092804
2015-07-24,4.274000,4.322000,4.258000,4.284000,3.513705,37703811
2015-07-27,4.274000,4.298000,4.200000,4.202000,3.446450,42577327
2015-07-28,4.226000,4.298000,4.220000,4.276000,3.507144,34362257
2015-07-29,4.304000,4.310000,4.216000,4.252000,3.487459,34321425
2015-07-30,4.296000,4.300000,4.186000,4.222000,3.462854,39985844
2015-07-31,4.238000,4.286000,4.208000,4.286000,3.515346,41959654
2015-08-03,4.282000,4.352000,4.278000,4.340000,3.559637,33836373
2015-08-04,4.324000,4.332000,4.268000,4.306000,3.531750,26579174
2015-08-05,4.328000,4.388000,4.328000,4.386000,3.597366,37514798
2015-08-06,4.368000,4.386000,4.356000,4.364000,3.579321,24890395
2015-08-07,4.352000,4.382000,4.324000,4.376000,3.589164,29053081
2015-08-10,4.384000,4.406000,4.354000,4.396000,3.605568,24993073
2015-08-11,4.382000,4.398000,4.344000,4.358000,3.574400,31701666
2015-08-12,4.326000,4.338000,4.202000,4.210000,3.453012,54340815
2015-08-13,4.282000,4.300000,4.258000,4.282000,3.512066,38885124
2015-08-14,4.284000,4.306000,4.228000,4.230000,3.469415,28559545
2015-08-17,4.262000,4.286000,4.224000,4.286000,3.515346,32987345
2015-08-18,4.262000,4.290000,4.250000,4.264000,3.497302,24142004
2015-08-19,4.232000,4.246000,4.160000,4.160000,3.412002,41088726
2015-08-20,4.152000,4.152000,3.950000,4.058000,3.328342,56816112
2015-08-21,4.000000,4.108000,3.974000,3.974000,3.259446,63454581
2015-08-24,3.848000,3.928000,3.684000,3.734000,3.062600,95704582
2015-08-25,3.796000,3.960000,3.758000,3.956000,3.244683,82969511
2015-08-26,3.892000,3.936000,3.842000,3.876000,3.179067,49642326
2015-08-27,3.956000,4.078000,3.940000,4.072000,3.339825,62193029
2015-08-28,4.072000,4.076000,4.010000,4.046000,3.318500,35980332
2015-08-31,4.034000,4.046000,3.982000,4.016000,3.293894,27059710
2015-09-01,3.966000,3.984000,3.880000,3.914000,3.210235,39356955
2015-09-02,3.914000,3.952000,3.890000,3.906000,3.203673,30754671
2015-09-03,3.924000,4.026000,3.898000,4.012000,3.290613,51347967
2015-09-04,3.960000,3.978000,3.900000,3.910000,3.206954,51781353
2015-09-07,3.952000,4.012000,3.950000,3.978000,3.262727,30478203
2015-09-08,4.000000,4.086000,3.990000,4.044000,3.316859,39886191
2015-09-09,4.122000,4.122000,4.066000,4.066000,3.334904,39886973
2015-09-10,4.044000,4.056000,3.972000,3.986000,3.269289,43591698
2015-09-11,4.036000,4.046000,3.994000,3.994000,3.275850,34818751
2015-09-14,4.012000,4.016000,3.966000,3.986000,3.269289,31417292
2015-09-15,3.986000,4.036000,3.900000,4.020000,3.297175,44616191
2015-09-16,4.048000,4.058000,4.016000,4.052000,3.323421,37749845
2015-09-17,4.056000,4.060000,3.990000,4.024000,3.300456,47464507
2015-09-18,4.016000,4.026000,3.882000,3.882000,3.183988,76313839
2015-09-21,3.900000,3.984000,3.886000,3.984000,3.267648,37916288
2015-09-22,3.948000,3.950000,3.814000,3.814000,3.128215,76286136
2015-09-23,3.836000,3.908000,3.828000,3.870000,3.174146,39905833
2015-09-24,3.874000,3.894000,3.776000,3.776000,3.097048,52557419
2015-09-25,3.848000,3.944000,3.826000,3.936000,3.228279,55981592
2015-09-28,3.914000,3.946000,3.842000,3.846000,3.154461,39239720
2015-09-29,3.824000,3.918000,3.820000,3.864000,3.169225,53770448
2015-09-30,3.926000,3.988000,3.918000,3.988000,3.270928,46754450
2015-10-01,4.014000,4.030000,3.890000,3.890000,3.190550,45342000
2015-10-02,3.940000,3.978000,3.864000,3.972000,3.257806,55414088
2015-10-05,4.026000,4.036000,3.992000,4.014000,3.292253,48471696
2015-10-06,4.014000,4.080000,3.972000,4.080000,3.346386,42948787
2015-10-07,4.080000,4.106000,4.032000,4.034000,3.308658,40006766
2015-10-08,4.030000,4.052000,3.992000,4.004000,3.284052,41701884
2015-10-09,4.042000,4.096000,4.038000,4.048000,3.320140,47574310
2015-10-12,4.060000,4.072000,3.990000,4.012000,3.290613,36334305
2015-10-13,4.010000,4.048000,3.962000,4.022000,3.298815,39255475
2015-10-14,4.012000,4.068000,3.992000,4.036000,3.310298,43592471
2015-10-15,4.092000,4.106000,4.080000,4.100000,3.362790,52898976
2015-10-16,4.128000,4.132000,4.074000,4.120000,3.379194,45246230
2015-10-19,4.114000,4.150000,4.100000,4.112000,3.372633,29411775
2015-10-20,4.116000,4.130000,4.066000,4.102000,3.364431,37243399
2015-10-21,4.098000,4.108000,4.036000,4.068000,3.336544,36110559
2015-10-22,4.054000,4.190000,4.040000,4.178000,3.426765,53756899
2015-10-23,4.194000,4.244000,4.180000,4.226000,3.466134,55613232
2015-10-26,4.220000,4.240000,4.202000,4.230000,3.469415,26096899
2015-10-27,4.216000,4.228000,4.146000,4.154000,3.407081,42792206
2015-10-28,4.168000,4.242000,4.156000,4.234000,3.472696,36496716
2015-10-29,4.246000,4.246000,4.112000,4.142000,3.397238,41986221
2015-10-30,4.162000,4.206000,4.148000,4.196000,3.441529,29483482
2015-11-02,4.196000,4.280000,4.188000,4.240000,3.477617,36933529
2015-11-03,4.240000,4.246000,4.164000,4.214000,3.456293,29398437
2015-11-04,4.216000,4.248000,4.200000,4.204000,3.448091,34244151
2015-11-05,4.188000,4.196000,4.116000,4.140000,3.395598,40368541
2015-11-06,4.134000,4.196000,4.132000,4.190000,3.436608,43464745
2015-11-09,4.150000,4.166000,4.076000,4.076000,3.343106,47286982
2015-11-10,4.100000,4.148000,4.066000,4.148000,3.402159,40361487
2015-11-11,4.154000,4.180000,4.106000,4.106000,3.367712,32346587
2015-11-12,4.102000,4.116000,4.004000,4.024000,3.300456,42929232
2015-11-13,4.048000,4.096000,4.036000,4.076000,3.343106,40851151
2015-11-16,4.032000,4.128000,4.020000,4.110000,3.370992,29630193
2015-11-17,4.146000,4.218000,4.120000,4.212000,3.454652,45156296
2015-11-18,4.170000,4.186000,4.070000,4.086000,3.351307,73879791
2015-11-19,4.114000,4.116000,4.060000,4.102000,3.364431,52069999
2015-11-20,4.110000,4.140000,4.064000,4.112000,3.372633,45665528
2015-11-23,4.118000,4.140000,4.076000,4.120000,3.379194,34183160
2015-11-24,4.094000,4.108000,4.032000,4.050000,3.321781,44819380
2015-11-25,4.070000,4.148000,4.056000,4.128000,3.385755,49572661
2015-11-26,4.120000,4.164000,4.112000,4.160000,3.412002,30853776
2015-11-27,4.134000,4.172000,4.126000,4.154000,3.407081,22728639
2015-11-30,4.138000,4.190000,4.130000,4.174000,3.423484,34002815
2015-12-01,4.174000,4.200000,4.154000,4.156000,3.408721,30565599
2015-12-02,4.178000,4.192000,4.142000,4.172000,3.421844,34830125
2015-12-03,4.188000,4.250000,4.080000,4.086000,3.351307,89954295
2015-12-04,4.078000,4.100000,4.046000,4.068000,3.336544,44960148
2015-12-07,4.076000,4.122000,4.068000,4.082000,3.348027,25976955
2015-12-08,4.072000,4.074000,3.974000,3.988000,3.270928,38062254
2015-12-09,4.022000,4.068000,4.002000,4.026000,3.302096,36703124
2015-12-10,4.006000,4.048000,3.970000,3.974000,3.259446,40175045
2015-12-11,3.962000,3.984000,3.872000,3.878000,3.180708,56572712
2015-12-14,3.896000,3.916000,3.754000,3.754000,3.079003,61191927
2015-12-15,3.794000,3.904000,3.782000,3.902000,3.200392,44785278
2015-12-16,3.902000,3.926000,3.870000,3.900000,3.198752,33074085
2015-12-17,3.962000,4.006000,3.950000,3.986000,3.269289,45751381
2015-12-18,3.948000,3.980000,3.910000,3.916000,3.211875,51332354
2015-12-21,3.926000,3.940000,3.852000,3.852000,3.159382,38143452
2015-12-22,3.872000,3.878000,3.812000,3.824000,3.136417,30317435
2015-12-23,3.864000,3.910000,3.850000,3.900000,3.198752,29632146
2015-12-28,3.910000,3.914000,3.868000,3.884000,3.185629,14070997
2015-12-29,3.910000,3.946000,3.904000,3.924000,3.218436,21581636
2015-12-30,3.906000,3.946000,3.892000,3.892000,3.192190,23089650
2015-12-31,3.892000,3.892000,3.892000,3.892000,3.192190,0
2016-01-04,3.868000,3.868000,3.766000,3.780000,3.100329,51770455
2016-01-05,3.816000,3.862000,3.768000,3.852000,3.159382,35763814
2016-01-06,3.850000,3.856000,3.752000,3.756000,3.080644,39831469
2016-01-07,3.690000,3.778000,3.510000,3.772000,3.093767,65615843
2016-01-08,3.772000,3.808000,3.736000,3.742000,3.069161,38760523
2016-01-11,3.738000,3.796000,3.716000,3.746000,3.072442,35228096
2016-01-12,3.740000,3.754000,3.702000,3.720000,3.051117,42828651
2016-01-13,3.742000,3.812000,3.732000,3.776000,3.097048,46178595
2016-01-14,3.732000,3.758000,3.692000,3.738000,3.065880,51516226
2016-01-15,3.714000,3.734000,3.630000,3.670000,3.010108,67921932
2016-01-18,3.670000,3.704000,3.574000,3.604000,2.955975,39285972
2016-01-19,3.668000,3.670000,3.596000,3.646000,2.990423,36970110
2016-01-20,3.568000,3.594000,3.496000,3.536000,2.900202,62340840
2016-01-21,3.542000,3.656000,3.488000,3.650000,2.993704,69420563
2016-01-22,3.680000,3.758000,3.652000,3.728000,3.057678,69930646
2016-01-25,3.752000,3.764000,3.702000,3.708000,3.041275,49307347
2016-01-26,3.676000,3.768000,3.662000,3.760000,3.083925,38943536
2016-01-27,3.758000,3.806000,3.726000,3.806000,3.121654,43659879
2016-01-28,3.784000,3.814000,3.654000,3.672000,3.011748,58927071
2016-01-29,3.724000,3.768000,3.702000,3.768000,3.090486,47319392
2016-02-01,3.790000,3.800000,3.712000,3.758000,3.082284,27231490
2016-02-02,3.760000,3.776000,3.682000,3.702000,3.036354,53865562
2016-02-03,3.708000,3.720000,3.584000,3.628000,2.975659,52773863
2016-02-04,3.664000,3.688000,3.590000,3.646000,2.990423,35294101
2016-02-05,3.614000,3.634000,3.510000,3.546000,2.908403,58006113
2016-02-08,3.570000,3.594000,3.480000,3.498000,2.869034,58675028
2016-02-09,3.502000,3.574000,3.330000,3.494000,2.865754,77037962
2016-02-10,3.530000,3.576000,3.476000,3.526000,2.892000,52124321
2016-02-11,3.478000,3.490000,3.398000,3.398000,2.787015,57428122
2016-02-12,3.460000,3.538000,3.438000,3.538000,2.901842,52162335
2016-02-15,3.582000,3.698000,3.578000,3.658000,3.000265,58159361
2016-02-16,3.658000,3.658000,3.584000,3.634000,2.980580,46921591
2016-02-17,3.654000,3.694000,3.622000,3.644000,2.988782,42139558
2016-02-18,3.682000,3.696000,3.626000,3.628000,2.975659,41920168
2016-02-19,3.632000,3.656000,3.584000,3.620000,2.969098,32142508
2016-02-22,3.660000,3.732000,3.644000,3.728000,3.057678,30574741
2016-02-23,3.710000,3.718000,3.636000,3.638000,2.983861,35049951
2016-02-24,3.640000,3.644000,3.520000,3.540000,2.903482,36954636
2016-02-25,3.576000,3.664000,3.568000,3.638000,2.983861,33034657
2016-02-26,3.678000,3.704000,3.634000,3.684000,3.021590,35882487
2016-02-29,3.662000,3.714000,3.636000,3.704000,3.037994,30164090
2016-03-01,3.680000,3.740000,3.662000,3.740000,3.067521,36145459
2016-03-02,3.740000,3.750000,3.696000,3.742000,3.069161,31610101
2016-03-03,3.726000,3.736000,3.676000,3.708000,3.041275,28796174
2016-03-04,3.718000,3.740000,3.678000,3.714000,3.046196,36724826
2016-03-07,3.698000,3.708000,3.628000,3.662000,3.003546,31780199
2016-03-08,3.634000,3.704000,3.606000,3.676000,3.015028,29685222
2016-03-09,3.688000,3.804000,3.680000,3.788000,3.106890,49486481
2016-03-10,3.808000,3.956000,3.792000,3.808000,3.123294,71827069
2016-03-11,3.870000,3.912000,3.858000,3.912000,3.208594,43277944
2016-03-14,3.926000,3.928000,3.876000,3.900000,3.198752,30353628
2016-03-15,3.872000,3.902000,3.856000,3.890000,3.190550,32844670
2016-03-16,3.904000,3.938000,3.864000,3.896000,3.195471,34437915
2016-03-17,3.932000,3.950000,3.860000,3.930000,3.223358,43919978
2016-03-18,3.956000,3.960000,3.916000,3.916000,3.211875,50431984
2016-03-21,3.898000,3.938000,3.880000,3.920000,3.215156,19669832
2016-03-22,3.890000,3.906000,3.850000,3.906000,3.203673,20920187
2016-03-23,3.930000,3.956000,3.888000,3.888000,3.188910,36669412
2016-03-24,3.882000,3.940000,3.872000,3.910000,3.206954,31878140
2016-03-29,3.934000,3.986000,3.930000,3.972000,3.257806,40104832
2016-03-30,3.990000,4.022000,3.976000,4.000000,3.280771,40014872
2016-03-31,3.986000,4.000000,3.890000,3.898000,3.197112,52727464
2016-04-01,3.844000,3.910000,3.816000,3.878000,3.180708,40059450
2016-04-04,3.874000,3.906000,3.806000,3.842000,3.151181,31595571
2016-04-05,3.794000,3.816000,3.714000,3.714000,3.046196,45853473
2016-04-06,3.712000,3.732000,3.676000,3.730000,3.059319,30190929
