Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,7.960000,7.960000,7.790000,7.830000,6.315722,223600
2015-07-02,8.170000,8.190000,7.850000,7.880000,6.393613,186900
2015-07-06,7.780000,7.780000,7.620000,7.650000,6.206998,163200
2015-07-07,7.460000,7.500000,7.000000,7.280000,5.906791,1008200
2015-07-08,7.290000,7.360000,7.200000,7.270000,5.898677,387800
2015-07-09,7.450000,7.500000,7.290000,7.310000,5.931132,150900
2015-07-10,7.600000,7.600000,7.480000,7.500000,6.085292,58800
2015-07-13,7.640000,7.790000,7.620000,7.750000,6.288136,76900
2015-07-14,7.810000,7.810000,7.690000,7.760000,6.296249,161300
2015-07-15,7.660000,7.670000,7.580000,7.620000,6.182657,109100
2015-07-16,7.580000,7.630000,7.560000,7.630000,6.190770,76300
2015-07-17,7.580000,7.580000,7.450000,7.450000,6.044724,822800
2015-07-20,7.480000,7.490000,7.400000,7.420000,6.020382,88600
2015-07-21,7.430000,7.470000,7.320000,7.360000,5.971700,400900
2015-07-22,7.120000,7.170000,7.020000,7.050000,5.720175,189300
2015-07-23,6.940000,6.940000,6.720000,6.730000,5.460536,109800
2015-07-24,6.660000,6.660000,6.440000,6.450000,5.233351,89900
2015-07-27,6.280000,6.380000,6.260000,6.280000,5.095418,191300
2015-07-28,6.530000,6.610000,6.500000,6.610000,5.363171,828700
2015-07-29,6.520000,6.660000,6.520000,6.580000,5.338830,5937500
2015-07-30,6.560000,6.580000,6.500000,6.510000,5.282033,287800
2015-07-31,6.480000,6.500000,6.400000,6.450000,5.233351,428100
2015-08-03,6.230000,6.280000,6.160000,6.170000,5.006167,209500
2015-08-04,6.200000,6.250000,6.130000,6.150000,4.989940,518300
2015-08-05,6.330000,6.350000,6.260000,6.280000,5.095418,424900
2015-08-06,6.100000,6.190000,6.080000,6.170000,5.006167,115200
2015-08-07,6.210000,6.280000,6.190000,6.240000,5.062963,78000
2015-08-10,6.240000,6.450000,6.240000,6.400000,5.192783,427500
2015-08-11,6.070000,6.070000,5.870000,5.970000,4.843892,127400
2015-08-12,5.620000,5.670000,5.540000,5.630000,4.568026,210600
2015-08-13,5.520000,5.540000,5.440000,5.450000,4.421979,126900
2015-08-14,5.450000,5.480000,5.370000,5.390000,4.373296,215900
2015-08-17,5.330000,5.360000,5.240000,5.330000,4.324615,103700
2015-08-18,5.310000,5.500000,5.310000,5.490000,4.454433,240100
2015-08-19,5.010000,5.040000,4.900000,4.970000,4.032520,6254800
2015-08-20,5.120000,5.120000,5.000000,5.010000,4.064976,1031200
2015-08-21,5.000000,5.000000,4.900000,4.920000,3.991952,1144000
2015-08-24,4.390000,4.440000,4.340000,4.380000,3.553811,638500
2015-08-25,4.580000,4.590000,4.360000,4.360000,3.537583,711800
2015-08-26,4.450000,4.460000,4.220000,4.290000,3.480787,443600
2015-08-27,4.280000,4.530000,4.260000,4.490000,3.643062,1538400
2015-08-28,4.470000,4.550000,4.460000,4.520000,3.667402,922400
2015-08-31,4.480000,4.540000,4.460000,4.510000,3.659289,307400
2015-09-01,4.140000,4.190000,4.040000,4.100000,3.326627,2408000
2015-09-02,3.940000,3.940000,3.690000,3.780000,3.066987,5395800
2015-09-03,3.770000,4.000000,3.770000,3.910000,3.172466,583900
2015-09-04,3.730000,3.780000,3.670000,3.740000,3.034533,284800
2015-09-08,4.060000,4.220000,4.040000,4.210000,3.415878,395300
2015-09-09,4.350000,4.370000,4.200000,4.220000,3.524450,1359100
2015-09-10,4.170000,4.170000,4.050000,4.080000,3.407526,1702600
2015-09-11,4.130000,4.160000,4.060000,4.100000,3.424230,301500
2015-09-14,3.890000,3.930000,3.810000,3.920000,3.273897,816000
2015-09-15,3.780000,3.950000,3.700000,3.880000,3.240490,1177100
2015-09-16,4.000000,4.170000,4.000000,4.150000,3.465988,1325600
2015-09-17,4.100000,4.170000,4.060000,4.110000,3.432581,658300
2015-09-18,3.870000,3.890000,3.800000,3.860000,3.223786,437600
2015-09-21,3.660000,3.680000,3.610000,3.650000,3.048399,392200
2015-09-22,3.190000,3.260000,3.170000,3.250000,2.714328,1348200
2015-09-23,3.360000,3.360000,3.270000,3.280000,2.739383,3074100
2015-09-24,3.030000,3.060000,2.960000,3.050000,2.547292,723500
2015-09-25,2.990000,3.130000,2.860000,2.870000,2.396960,696700
2015-09-28,2.190000,2.230000,2.030000,2.070000,1.728818,2738000
2015-09-29,2.400000,2.460000,2.340000,2.420000,2.021130,2801900
2015-09-30,2.690000,2.770000,2.670000,2.760000,2.305091,2021900
2015-10-01,2.700000,2.750000,2.630000,2.690000,2.246629,3285800
2015-10-02,2.760000,3.010000,2.660000,3.010000,2.513885,1232000
2015-10-05,3.240000,3.450000,3.220000,3.370000,2.814549,2647700
2015-10-06,3.420000,3.600000,3.400000,3.550000,2.964881,1865400
2015-10-07,3.930000,3.960000,3.650000,3.840000,3.207083,1574700
2015-10-08,3.590000,3.650000,3.510000,3.610000,3.014992,3126100
2015-10-09,4.040000,4.090000,3.830000,3.900000,3.257194,1141800
2015-10-12,3.810000,3.810000,3.620000,3.650000,3.048399,678800
2015-10-13,3.460000,3.580000,3.430000,3.530000,2.948178,877000
2015-10-14,3.720000,3.780000,3.630000,3.680000,3.073454,372700
2015-10-15,3.620000,3.670000,3.560000,3.650000,3.048399,641100
2015-10-16,3.650000,3.680000,3.540000,3.550000,2.964881,385500
2015-10-19,3.430000,3.440000,3.220000,3.270000,2.731031,988700
2015-10-20,3.290000,3.480000,3.290000,3.460000,2.889715,756900
2015-10-21,3.430000,3.430000,3.340000,3.340000,2.789494,1052600
