Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,0.830000,0.830000,0.830000,0.830000,0.365629,5000
2015-07-02,0.780000,0.780000,0.780000,0.780000,0.343603,14800
2015-07-06,0.780000,0.780000,0.780000,0.780000,0.343603,0
2015-07-07,0.780000,0.780000,0.780000,0.780000,0.343603,40000
2015-07-08,0.680000,0.680000,0.680000,0.680000,0.299552,9400
2015-07-09,0.710000,0.710000,0.700000,0.700000,0.308362,25400
2015-07-10,0.710000,0.710000,0.710000,0.710000,0.312767,4200
2015-07-13,0.740000,0.750000,0.740000,0.750000,0.330388,37600
2015-07-14,0.750000,0.750000,0.750000,0.750000,0.330388,0
2015-07-15,0.750000,0.750000,0.750000,0.750000,0.330388,16000
2015-07-16,0.750000,0.750000,0.750000,0.750000,0.330388,19000
2015-07-17,0.750000,0.750000,0.750000,0.750000,0.330388,0
2015-07-20,0.740000,0.740000,0.720000,0.720000,0.317172,2900
2015-07-21,0.720000,0.720000,0.720000,0.720000,0.317172,0
2015-07-22,0.740000,0.740000,0.740000,0.740000,0.325983,55000
2015-07-23,0.740000,0.740000,0.740000,0.740000,0.325983,0
2015-07-24,0.710000,0.730000,0.710000,0.730000,0.321577,15000
2015-07-27,0.690000,0.690000,0.690000,0.690000,0.303957,14200
2015-07-28,0.690000,0.690000,0.690000,0.690000,0.303957,0
2015-07-29,0.690000,0.690000,0.690000,0.690000,0.303957,0
2015-07-30,0.690000,0.690000,0.690000,0.690000,0.303957,0
2015-07-31,0.690000,0.710000,0.690000,0.700000,0.308362,42400
2015-08-03,0.700000,0.700000,0.700000,0.700000,0.308362,0
2015-08-04,0.660000,0.700000,0.660000,0.670000,0.295146,41000
2015-08-05,0.680000,0.680000,0.680000,0.680000,0.299552,6300
2015-08-06,0.680000,0.680000,0.680000,0.680000,0.299552,0
2015-08-07,0.680000,0.680000,0.680000,0.680000,0.299552,0
2015-08-10,0.680000,0.680000,0.680000,0.680000,0.299552,0
2015-08-11,0.670000,0.670000,0.670000,0.670000,0.295146,13100
2015-08-12,0.670000,0.670000,0.670000,0.670000,0.295146,0
2015-08-13,0.670000,0.670000,0.670000,0.670000,0.295146,0
2015-08-14,0.670000,0.670000,0.670000,0.670000,0.295146,0
2015-08-17,0.680000,0.680000,0.680000,0.680000,0.299552,8300
2015-08-18,0.660000,0.680000,0.660000,0.660000,0.290741,18900
2015-08-19,0.660000,0.660000,0.660000,0.660000,0.290741,0
2015-08-20,0.640000,0.660000,0.620000,0.620000,0.273121,156000
2015-08-21,0.650000,0.650000,0.630000,0.630000,0.277526,4017500
2015-08-24,0.560000,0.590000,0.560000,0.590000,0.259905,64400
2015-08-25,0.610000,0.610000,0.610000,0.610000,0.268715,41100
2015-08-26,0.610000,0.610000,0.570000,0.570000,0.251095,10600
2015-08-27,0.600000,0.630000,0.600000,0.620000,0.273121,35300
2015-08-28,0.620000,0.620000,0.620000,0.620000,0.273121,7900
2015-08-31,0.580000,0.580000,0.580000,0.580000,0.255500,16600
2015-09-01,0.580000,0.590000,0.580000,0.590000,0.259905,155000
2015-09-02,0.600000,0.600000,0.560000,0.560000,0.246689,30800
2015-09-03,0.580000,0.590000,0.580000,0.590000,0.259905,8000
2015-09-04,0.570000,0.570000,0.560000,0.560000,0.246689,76900
2015-09-08,0.570000,0.590000,0.570000,0.590000,0.259905,35900
2015-09-09,0.600000,0.620000,0.600000,0.610000,0.268715,55600
2015-09-10,0.600000,0.600000,0.600000,0.600000,0.264310,11700
2015-09-11,0.600000,0.600000,0.600000,0.600000,0.264310,508700
2015-09-14,0.600000,0.600000,0.600000,0.600000,0.264310,16000
2015-09-15,0.620000,0.620000,0.610000,0.620000,0.273121,55300
2015-09-16,0.640000,0.640000,0.640000,0.640000,0.281931,34500
