Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,6.666667,6.678788,6.563636,6.593939,5.124426,14236500
2015-07-02,6.666667,6.812121,6.666667,6.787879,5.275146,13657300
2015-07-06,6.539394,6.624242,6.472727,6.509091,5.058488,15731200
2015-07-07,6.418182,6.472727,6.284849,6.466667,5.025516,18106000
2015-07-08,6.357576,6.375758,6.260606,6.272727,4.874799,19247200
2015-07-09,6.363636,6.478788,6.321212,6.393939,4.968999,17897700
2015-07-10,6.509091,6.624242,6.418182,6.600000,5.129134,15033400
2015-07-13,6.660606,6.757576,6.612121,6.739394,5.237466,13048900
2015-07-14,6.133333,6.169697,6.060606,6.121212,4.757052,14145000
2015-07-15,6.066667,6.103030,5.975758,6.018182,4.676980,21106000
2015-07-16,6.054545,6.054545,5.951515,5.987879,4.653431,11727600
2015-07-17,5.981818,5.987879,5.860606,5.903030,4.587490,19698600
2015-07-20,5.848485,5.884849,5.787879,5.830303,4.530972,13629700
2015-07-21,5.836364,5.921212,5.818182,5.836364,4.535682,23583000
2015-07-22,5.733333,5.751515,5.606061,5.666667,4.403803,25085500
2015-07-23,5.521212,5.563636,5.290909,5.321212,4.135335,30017200
2015-07-24,5.248485,5.248485,5.103030,5.206060,4.045844,31397800
2015-07-27,5.230303,5.266667,5.127273,5.139394,3.994040,21817600
2015-07-28,5.260606,5.284849,5.012121,5.266667,4.092946,45509100
2015-07-29,5.278788,5.400000,5.230303,5.333333,4.144758,21537100
2015-07-30,5.333333,5.357576,5.175757,5.224242,4.059975,11852200
2015-07-31,5.327273,5.363636,5.242424,5.260606,4.088236,15106900
2015-08-03,5.224242,5.272727,5.175757,5.218182,4.057603,16264800
2015-08-04,5.139394,5.193939,5.000000,5.084848,3.953927,28165500
2015-08-05,5.127273,5.139394,4.993939,5.036364,3.916224,26907000
2015-08-06,4.969697,5.018182,4.909091,4.939394,3.840821,23140500
2015-08-07,4.903030,4.963636,4.818182,4.824243,3.751281,26945500
2015-08-10,4.878788,5.018182,4.830303,5.006061,3.892661,26952000
2015-08-11,4.915152,4.957576,4.812121,4.890909,3.803121,22974000
2015-08-12,4.860606,4.860606,4.751515,4.793940,3.727718,30799600
2015-08-13,4.721212,4.727273,4.545455,4.557576,3.589303,71230500
2015-08-14,4.575758,4.654545,4.557576,4.618182,3.637034,52353600
2015-08-17,4.593939,4.739394,4.557576,4.575758,3.603623,27029400
2015-08-18,4.539394,4.812121,4.448485,4.684848,3.689535,54971800
2015-08-19,4.587879,4.606061,4.460606,4.533333,3.570212,31571700
2015-08-20,4.509091,4.648485,4.460606,4.593939,3.617942,34746900
2015-08-21,4.478788,4.606061,4.454545,4.527273,3.565439,39359400
2015-08-24,4.242424,4.515152,4.157576,4.369697,3.441342,44269000
2015-08-25,4.551515,4.575758,4.284849,4.290909,3.379291,52913500
2015-08-26,4.351515,4.575758,4.272727,4.569697,3.598849,37408000
2015-08-27,4.696970,4.890909,4.696970,4.793940,3.775451,41428800
2015-08-28,4.751515,4.836364,4.575758,4.624242,3.641808,32205700
2015-08-31,4.327273,4.436364,4.296970,4.436364,3.493843,33219400
2015-09-01,4.278788,4.351515,4.200000,4.242424,3.342929,31255500
2015-09-02,4.260606,4.284849,4.157576,4.260606,3.357257,35108200
2015-09-03,4.193939,4.430303,4.175757,4.424242,3.486197,57823200
2015-09-04,4.303030,4.351515,4.139394,4.151515,3.271295,25304100
2015-09-08,4.266667,4.296970,4.206060,4.242424,3.342929,16557000
2015-09-09,4.327273,4.448485,4.260606,4.284849,3.376360,37825800
2015-09-10,4.072727,4.230303,4.048485,4.145454,3.266521,35285800
2015-09-11,4.109091,4.127273,4.060606,4.096970,3.228316,15116400
2015-09-14,4.145454,4.345455,4.066667,4.339394,3.419341,39096700
2015-09-15,4.321212,4.436364,4.309091,4.400000,3.467096,36980500
2015-09-16,4.484848,4.575758,4.472727,4.563636,3.596038,29649400
2015-09-17,4.430303,4.642424,4.412121,4.515152,3.557833,29912800
2015-09-18,4.442424,4.484848,4.200000,4.212121,3.319051,34991100
2015-09-21,4.206060,4.230303,4.078788,4.115151,3.242643,24800700
2015-09-22,3.981818,4.109091,3.915152,4.084848,3.218763,39479700
2015-09-23,4.030303,4.066667,3.848485,3.860606,3.042065,33579100
2015-09-24,3.660606,4.012121,3.642424,4.012121,3.161457,51247000
2015-09-25,4.066667,4.090909,3.921212,3.945455,3.108925,28562500
2015-09-28,3.896970,3.896970,3.818182,3.830303,3.018189,31088100
2015-09-29,3.818182,3.921212,3.787879,3.848485,3.032516,28560900
2015-09-30,3.975758,4.024242,3.903030,4.012121,3.161457,40305600
2015-10-01,4.018182,4.066667,3.969697,4.054545,3.196814,23903200
2015-10-02,3.987879,4.266667,3.975758,4.266667,3.364063,35182900
2015-10-05,4.345455,4.460606,4.345455,4.424242,3.488303,34698600
2015-10-06,4.430303,4.551515,4.424242,4.527273,3.569538,39609300
2015-10-07,4.654545,4.812121,4.490909,4.618182,3.641214,44719600
2015-10-08,4.581818,4.745454,4.569697,4.696970,3.703337,40081000
2015-10-09,4.800000,4.812121,4.636364,4.709091,3.712891,46483500
2015-10-12,4.678788,4.757576,4.606061,4.618182,3.641214,14550900
2015-10-13,4.430303,4.436364,4.309091,4.345455,3.426183,45431200
2015-10-14,4.309091,4.430303,4.309091,4.375758,3.450074,33969400
2015-10-15,4.387879,4.393939,4.200000,4.315152,3.402289,31489500
2015-10-16,4.266667,4.321212,4.181818,4.290909,3.383177,28563100
2015-10-19,4.218182,4.284849,4.139394,4.254546,3.354505,23955600
