Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,34.080002,34.205002,32.930000,33.250000,33.250000,7856400
2015-07-02,33.480000,33.639999,32.799999,33.130001,33.130001,4676400
2015-07-06,31.600000,32.400002,31.200001,31.889999,31.889999,9617600
2015-07-07,30.200001,30.965000,28.129999,30.610001,30.610001,25428900
2015-07-08,28.910000,30.860001,28.709999,30.320000,30.320000,13745300
2015-07-09,32.840000,33.419998,31.879999,32.779999,32.779999,14262100
2015-07-10,32.880001,33.250000,32.349998,32.400002,32.400002,9779300
2015-07-13,32.950001,34.450001,32.950001,33.900002,33.900002,8597100
2015-07-14,33.660000,34.369999,33.500000,33.919998,33.919998,5304600
2015-07-15,33.470001,34.000000,32.150002,32.389999,32.389999,7342100
2015-07-16,32.799999,34.340000,32.730999,33.840000,33.840000,7117700
2015-07-17,34.500000,35.400002,34.410000,35.320000,35.320000,10091900
2015-07-20,34.939999,35.400002,34.520000,35.060001,35.060001,5817800
2015-07-21,35.389999,35.400002,35.000000,35.310001,35.310001,4792800
2015-07-22,34.990002,35.410000,34.650002,35.380001,35.380001,5068200
2015-07-23,35.450001,35.450001,33.915001,34.700001,34.700001,7820100
2015-07-24,35.400002,35.560001,33.970001,34.639999,34.639999,8765200
2015-07-27,32.799999,33.320000,32.060001,32.150002,32.150002,9862900
2015-07-28,32.000000,32.540001,31.420000,32.480000,32.480000,23242000
2015-07-29,32.660000,33.470001,32.509998,33.290001,33.290001,5709100
2015-07-30,33.099998,33.820000,33.000000,33.369999,33.369999,3850800
2015-07-31,33.700001,33.700001,31.730000,33.029999,33.029999,6954300
2015-08-03,32.529999,33.939999,32.450001,32.919998,32.919998,5380800
2015-08-04,33.169998,34.020000,33.000000,33.990002,33.990002,8671500
2015-08-05,34.320000,34.990002,34.160000,34.320000,34.320000,7432600
2015-08-06,34.299999,34.770000,32.630001,32.810001,32.810001,9153900
2015-08-07,33.029999,34.200001,31.650000,32.070000,32.070000,15015800
2015-08-10,30.879999,31.000000,29.670000,30.059999,30.059999,21184300
2015-08-11,29.670000,29.700001,27.370001,28.020000,28.020000,24493500
2015-08-12,26.969999,27.020000,25.639999,26.770000,26.770000,32296300
2015-08-13,27.469999,27.570000,26.900000,27.049999,27.049999,12373300
2015-08-14,27.000000,28.225000,27.000000,28.120001,28.120001,10130000
2015-08-17,27.799999,27.959999,27.129999,27.330000,27.330000,10546400
2015-08-18,26.510000,27.139999,26.200001,26.620001,26.620001,7864300
2015-08-19,26.680000,27.000000,26.000000,26.780001,26.780001,10029100
2015-08-20,26.100000,26.280001,24.889999,24.900000,24.900000,12159200
2015-08-21,24.030001,26.059999,23.660000,25.049999,25.049999,16420100
2015-08-24,22.700001,24.940001,21.549999,23.930000,23.930000,21356300
2015-08-25,26.500000,27.920000,24.995001,25.059999,25.059999,13116300
2015-08-26,25.510000,25.799999,24.549999,25.590000,25.590000,12724400
2015-08-27,26.480000,27.150000,26.030001,27.100000,27.100000,12850800
2015-08-28,26.270000,27.480000,26.270000,26.770000,26.770000,10343500
2015-08-31,26.660000,26.705000,25.665001,25.879999,25.879999,10443100
2015-09-01,25.170000,25.920000,24.680000,24.879999,24.879999,10543700
2015-09-02,25.240000,25.650000,24.219999,24.870001,24.870001,7220200
2015-09-03,24.920000,25.139999,24.389999,24.410000,24.410000,9376900
2015-09-04,24.000000,24.459999,22.639999,22.809999,22.809999,14607800
2015-09-08,24.080000,25.980000,23.280001,23.950001,23.950001,31308800
2015-09-09,24.799999,25.850000,24.500000,24.670000,24.670000,20122700
2015-09-10,24.500000,24.820000,24.035000,24.190001,24.190001,12979300
2015-09-11,24.100000,24.290001,23.150000,24.260000,24.260000,11195200
