Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,43.990002,44.160000,43.990002,44.099998,37.628399,40800
2015-07-02,44.330002,44.450001,44.330002,44.450001,37.927036,1300
2015-07-06,44.450001,44.450001,44.450001,44.450001,37.927036,0
2015-07-07,43.599998,43.790001,43.599998,43.790001,37.363888,2100
2015-07-08,41.799999,42.360001,41.799999,42.060001,35.887764,4200
2015-07-09,42.619999,42.650002,42.419998,42.430000,36.203465,5400
2015-07-10,43.060001,43.270000,43.000000,43.000000,36.689816,1600
2015-07-13,43.650002,43.650002,43.549999,43.580002,37.184711,2300
2015-07-14,44.040001,44.340000,44.040001,44.340000,37.833176,1900
2015-07-15,43.970001,43.970001,43.750000,43.790001,37.363888,2700
2015-07-16,44.240002,44.240002,44.139999,44.139999,37.662518,2900
2015-07-17,44.459999,44.459999,44.450001,44.450001,37.927036,2200
2015-07-20,44.549999,44.549999,44.549999,44.549999,38.012356,700
2015-07-21,43.689999,43.689999,43.470001,43.619999,37.218830,2000
2015-07-22,43.619999,43.619999,43.619999,43.619999,37.218830,0
2015-07-23,43.470001,43.650002,43.470001,43.480000,37.099380,3000
2015-07-24,42.310001,42.400002,42.160000,42.209999,36.015751,13200
2015-07-27,41.580002,42.090000,41.580002,41.980000,35.819500,9700
2015-07-28,41.939999,41.939999,41.680000,41.840000,35.700043,4000
2015-07-29,42.400002,42.810001,42.400002,42.700001,36.433842,5200
2015-07-30,42.590000,43.150002,42.500000,43.110001,36.783672,4200
2015-07-31,43.200001,43.439999,43.169998,43.320000,36.962860,3300
2015-08-03,42.290001,42.779999,42.290001,42.779999,36.502098,2600
2015-08-04,40.160000,40.160000,39.770000,39.889999,34.036205,3000
2015-08-05,39.490002,39.490002,39.110001,39.139999,33.396259,11400
2015-08-06,38.740002,38.740002,38.560001,38.630001,32.961113,2200
2015-08-07,39.029999,39.049999,38.959999,38.990002,33.268280,6000
2015-08-10,39.320000,39.349998,39.320000,39.330002,33.558380,2100
2015-08-11,38.990002,39.169998,38.919998,39.169998,33.421860,3600
2015-08-12,38.349998,38.580002,38.009998,38.580002,32.918449,3300
2015-08-13,38.830002,39.150002,38.830002,39.049999,33.319477,2200
2015-08-14,38.660000,38.759998,38.549999,38.750000,33.063499,2200
2015-08-17,38.810001,38.869999,38.750000,38.869999,33.165890,4400
2015-08-18,38.930000,39.110001,38.930000,38.950001,33.234150,3600
2015-08-19,38.779999,38.779999,38.709999,38.750000,33.063499,1600
2015-08-20,37.549999,37.549999,37.139999,37.250000,31.783619,2300
2015-08-21,37.459999,37.459999,37.000000,37.070000,31.630033,3200
2015-08-24,35.090000,36.200001,35.090000,36.200001,30.887707,7100
2015-08-25,35.770000,35.990002,35.220001,35.220001,30.051519,12000
2015-08-26,36.369999,36.439999,35.599998,36.349998,31.015696,9900
2015-08-27,35.910000,36.570000,35.910000,36.570000,31.203407,11100
2015-08-28,37.840000,37.889999,37.680000,37.889999,32.329704,3300
2015-08-31,37.320000,37.320000,37.020000,37.080002,31.638569,4300
2015-09-01,35.990002,36.360001,35.830002,35.830002,30.572006,8600
2015-09-02,35.860001,35.980000,35.700001,35.980000,30.699993,3400
2015-09-03,36.250000,36.279999,36.060001,36.150002,30.845049,8200
2015-09-04,35.549999,35.549999,35.430000,35.459999,30.256298,3000
2015-09-08,36.389999,36.680000,35.799999,36.540001,31.177813,4300
2015-09-09,36.509998,36.509998,35.860001,35.860001,30.597601,4000
2015-09-10,36.029999,36.430000,36.029999,36.419998,31.075422,7900
2015-09-11,35.750000,36.119999,35.730000,36.090000,30.793848,5700
2015-09-14,35.599998,35.720001,35.549999,35.720001,30.478149,2900
2015-09-15,35.240002,35.599998,35.240002,35.599998,30.375753,54400
2015-09-16,36.360001,36.490002,36.340000,36.410000,31.066889,2100
2015-09-17,36.529999,36.630001,36.509998,36.630001,31.254606,1400
2015-09-18,35.220001,35.220001,35.020000,35.029999,29.889399,9200
2015-09-21,34.990002,35.040001,34.889999,35.020000,29.880871,3500
2015-09-22,34.470001,34.599998,34.250000,34.520000,29.454245,19100
2015-09-23,34.439999,34.680000,34.439999,34.500000,29.437178,2700
2015-09-24,34.500000,34.500000,34.080002,34.340000,29.300657,4100
2015-09-25,35.389999,35.419998,35.169998,35.189999,30.025921,7400
2015-09-28,33.220001,33.220001,32.770000,32.900002,28.399569,5100
2015-09-29,32.439999,32.439999,31.709999,32.070000,27.683102,23100
2015-09-30,32.770000,32.950001,32.560001,32.950001,28.442724,7600
2015-10-01,32.639999,32.770000,32.529999,32.610001,28.149233,8100
2015-10-02,32.139999,32.639999,32.099998,32.560001,28.106073,5600
2015-10-05,34.470001,34.849998,34.470001,34.660000,29.918808,7500
2015-10-06,34.389999,34.639999,34.380001,34.500000,29.780695,15800
2015-10-07,37.029999,37.029999,36.830002,36.939999,31.886929,5900
2015-10-08,36.330002,37.169998,36.330002,36.869999,31.826508,4700
2015-10-09,38.060001,38.070000,37.980000,38.070000,32.862354,1900
2015-10-12,37.869999,38.000000,37.869999,38.000000,32.801929,3100
2015-10-13,37.369999,37.369999,37.000000,37.279999,32.180412,5800
2015-10-14,36.349998,36.349998,36.150002,36.150002,31.204992,2900
2015-10-15,37.060001,37.060001,36.889999,36.959999,31.904190,4300
2015-10-16,36.580002,36.580002,36.580002,36.580002,31.576172,500
2015-10-19,35.880001,36.099998,35.880001,36.029999,31.101408,2900
2015-10-20,35.930000,36.150002,35.930000,35.990002,31.066879,2000
2015-10-21,37.080002,37.099998,37.029999,37.099998,32.025040,1500
2015-10-22,37.060001,37.580002,37.060001,37.470001,32.344425,4500
2015-10-23,37.700001,37.930000,37.700001,37.930000,32.741505,2200
2015-10-26,37.500000,37.580002,37.500000,37.520000,32.387589,3300
2015-10-27,36.209999,36.650002,36.209999,36.650002,31.636600,2700
2015-10-28,36.500000,36.759998,36.500000,36.759998,31.731548,2400
2015-10-29,36.540001,36.700001,36.490002,36.700001,31.679760,4000
2015-10-30,36.340000,36.340000,36.169998,36.169998,31.222258,4200
2015-11-02,36.220001,36.230000,36.090000,36.230000,31.274048,2600
2015-11-03,36.230000,36.340000,36.060001,36.259998,31.299940,3100
2015-11-04,36.439999,36.439999,35.919998,35.919998,31.006456,2000
2015-11-05,33.900002,34.060001,33.299999,33.369999,28.805273,102000
2015-11-06,33.189999,33.189999,32.959999,33.060001,28.537680,5300
2015-11-09,33.730000,33.730000,33.520000,33.700001,29.090130,5200
2015-11-10,32.889999,33.470001,32.889999,33.220001,28.675789,5500
2015-11-11,33.919998,33.919998,33.549999,33.730000,29.116026,237200
2015-11-12,33.580002,33.599998,33.520000,33.549999,28.960648,7600
2015-11-13,33.139999,33.169998,33.060001,33.090000,28.563574,3200
2015-11-16,33.250000,33.509998,33.250000,33.509998,28.926119,3600
