Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,9.100000,9.100000,8.550000,8.650000,8.293228,33101200
2015-07-02,8.740000,8.960000,8.700000,8.830000,8.465805,24723100
2015-07-06,8.160000,8.360000,8.040000,8.200000,7.861790,50755100
2015-07-07,8.010000,8.350000,7.610000,8.290000,7.948077,52588800
2015-07-08,8.100000,8.320000,7.930000,8.040000,7.708388,23797800
2015-07-09,8.250000,8.480000,8.160000,8.280000,7.938488,21733700
2015-07-10,8.380000,8.480000,8.280000,8.380000,8.034366,18386200
2015-07-13,8.320000,8.510000,8.230000,8.510000,8.159004,17588500
2015-07-14,8.360000,8.700000,8.340000,8.620000,8.264465,15366700
2015-07-15,8.510000,8.620000,8.370000,8.420000,8.072715,19157300
2015-07-16,8.490000,8.570000,8.370000,8.410000,8.063127,15794900
2015-07-17,8.390000,8.390000,7.900000,7.950000,7.622100,43254700
2015-07-20,7.850000,7.860000,7.410000,7.490000,7.181073,34968100
2015-07-21,7.380000,7.800000,7.370000,7.480000,7.171486,27286500
2015-07-22,7.340000,7.390000,7.040000,7.060000,6.768808,30255600
2015-07-23,6.910000,7.160000,6.790000,6.910000,6.624996,35117900
2015-07-24,6.780000,6.780000,6.480000,6.650000,6.375720,26844500
2015-07-27,6.500000,6.620000,6.200000,6.250000,5.992217,38569400
2015-07-28,6.340000,6.690000,6.300000,6.590000,6.318194,54109800
2015-07-29,6.600000,7.140000,6.530000,7.070000,6.778396,37531900
2015-07-30,7.190000,7.190000,6.680000,6.850000,6.567470,26791200
2015-07-31,6.880000,7.000000,6.690000,6.800000,6.519533,24840600
2015-08-03,6.620000,6.650000,6.280000,6.350000,6.088092,42538700
2015-08-04,6.390000,6.640000,6.360000,6.450000,6.183968,28365400
2015-08-05,6.550000,6.690000,6.280000,6.320000,6.059330,30029900
2015-08-06,6.200000,6.530000,6.110000,6.490000,6.222318,38568400
2015-08-07,6.450000,6.520000,6.040000,6.050000,5.800467,34437000
2015-08-10,6.100000,6.470000,5.970000,6.450000,6.183968,33677800
2015-08-11,6.190000,6.280000,6.010000,6.250000,5.992217,34874200
2015-08-12,6.310000,6.430000,6.220000,6.390000,6.126443,32521900
2015-08-13,6.340000,6.360000,6.050000,6.060000,5.810053,26065700
2015-08-14,6.100000,6.200000,5.990000,5.990000,5.742940,22054000
2015-08-17,5.950000,6.050000,5.870000,5.920000,5.675828,21865300
2015-08-18,5.840000,5.960000,5.640000,5.830000,5.589540,30270400
2015-08-19,5.730000,5.870000,5.480000,5.640000,5.407377,30233200
2015-08-20,5.570000,5.760000,5.520000,5.620000,5.388202,23985400
2015-08-21,5.460000,5.480000,5.260000,5.270000,5.052638,33248600
2015-08-24,4.770000,5.200000,4.680000,4.900000,4.697898,36916900
2015-08-25,5.200000,5.290000,4.950000,4.980000,4.774599,29406100
2015-08-26,5.020000,5.100000,4.860000,5.080000,4.870474,38734800
2015-08-27,5.300000,5.960000,5.260000,5.730000,5.493665,44789600
2015-08-28,5.680000,6.100000,5.650000,5.780000,5.541603,46114300
2015-08-31,5.450000,5.950000,5.340000,5.860000,5.618303,41446200
2015-09-01,5.580000,5.740000,5.350000,5.420000,5.196452,32067100
2015-09-02,5.490000,5.540000,5.120000,5.490000,5.263564,37418700
2015-09-03,5.470000,5.700000,5.320000,5.500000,5.273151,35748500
2015-09-04,5.380000,5.460000,5.160000,5.160000,4.947175,24265100
2015-09-08,5.330000,5.400000,5.210000,5.290000,5.071813,25062600
2015-09-09,5.410000,5.520000,5.080000,5.090000,4.880061,34494000
2015-09-10,4.850000,4.980000,4.760000,4.850000,4.649960,53540600
2015-09-11,4.780000,4.790000,4.520000,4.560000,4.371922,47568900
2015-09-14,4.560000,4.670000,4.380000,4.640000,4.448621,43541600
2015-09-15,4.520000,4.690000,4.490000,4.540000,4.352746,33596000
2015-09-16,4.650000,4.970000,4.630000,4.930000,4.726661,39875700
2015-09-17,4.820000,4.980000,4.710000,4.830000,4.630785,35653100
2015-09-18,4.720000,4.750000,4.440000,4.460000,4.276046,36852100
2015-09-21,4.490000,4.530000,4.320000,4.340000,4.160995,28890800
2015-09-22,4.130000,4.210000,4.020000,4.100000,3.930895,35856400
2015-09-23,4.130000,4.190000,3.890000,4.040000,3.873370,51442900
2015-09-24,3.830000,4.210000,3.770000,4.140000,3.969244,50981800
2015-09-25,4.220000,4.260000,4.000000,4.080000,3.911719,36407100
2015-09-28,3.960000,3.980000,3.720000,3.720000,3.566567,28674000
2015-09-29,3.770000,3.960000,3.730000,3.890000,3.729556,39390300
2015-09-30,4.270000,4.350000,4.110000,4.350000,4.170584,59861300
2015-10-01,4.370000,4.460000,4.120000,4.170000,3.998007,35748500
2015-10-02,4.140000,4.740000,4.110000,4.640000,4.448621,46253500
2015-10-05,4.780000,4.970000,4.710000,4.890000,4.688311,41470900
2015-10-06,4.960000,5.270000,4.910000,5.160000,4.947175,42339400
2015-10-07,5.470000,5.790000,5.240000,5.370000,5.148513,71908400
2015-10-08,5.250000,5.740000,5.240000,5.680000,5.445727,38751000
2015-10-09,5.840000,5.870000,5.610000,5.670000,5.436140,49891600
2015-10-12,5.560000,5.660000,5.330000,5.420000,5.196452,28841900
2015-10-13,5.260000,5.350000,5.010000,5.030000,4.822537,41325500
2015-10-14,5.040000,5.160000,4.910000,5.030000,4.822537,37801600
2015-10-15,4.930000,5.090000,4.760000,5.090000,4.880061,35158700
2015-10-16,5.100000,5.140000,4.870000,5.080000,4.870474,23406800
2015-10-19,4.890000,5.020000,4.800000,4.990000,4.784186,24336400
2015-10-20,5.040000,5.150000,4.920000,4.940000,4.736249,26492300
2015-10-21,4.870000,4.890000,4.730000,4.780000,4.582848,21001600
2015-10-22,4.940000,5.040000,4.880000,4.990000,4.784186,24113300
2015-10-23,5.000000,5.120000,4.920000,4.980000,4.774599,24172400
2015-10-26,4.990000,5.010000,4.860000,4.920000,4.717073,24368300
2015-10-27,4.820000,4.820000,4.670000,4.700000,4.506147,26705400
2015-10-28,4.740000,5.010000,4.710000,4.790000,4.592436,28433100
2015-10-29,4.770000,4.990000,4.750000,4.820000,4.621199,17916100
2015-10-30,4.860000,4.920000,4.720000,4.880000,4.678723,20379300
2015-11-02,4.860000,5.020000,4.780000,5.020000,4.812948,14858300
2015-11-03,5.060000,5.650000,5.050000,5.550000,5.321089,44824700
2015-11-04,5.530000,5.630000,5.170000,5.240000,5.023874,30800600
2015-11-05,5.140000,5.360000,5.080000,5.170000,4.956762,27240500
2015-11-06,5.040000,5.100000,4.890000,5.060000,4.851299,31273500
2015-11-09,5.010000,5.110000,4.850000,4.890000,4.688311,31650800
2015-11-10,4.870000,5.000000,4.750000,4.930000,4.726661,32187400
2015-11-11,5.050000,5.060000,4.800000,4.860000,4.659548,28492600
2015-11-12,4.740000,4.880000,4.700000,4.710000,4.515734,23082100
2015-11-13,4.750000,4.760000,4.490000,4.570000,4.381509,45048100
2015-11-16,4.650000,5.010000,4.620000,4.970000,4.765011,27663000
2015-11-17,4.650000,5.040000,4.650000,4.860000,4.659548,24326700
2015-11-18,5.010000,5.150000,4.940000,5.070000,4.860887,26493100
2015-11-19,5.110000,5.170000,4.900000,5.090000,4.880061,37965300
2015-11-20,5.040000,5.240000,5.030000,5.140000,4.927999,21341500
2015-11-23,5.160000,5.270000,5.130000,5.240000,5.023874,22888200
2015-11-24,5.290000,5.690000,5.290000,5.570000,5.340264,34388900
2015-11-25,5.250000,5.340000,5.100000,5.120000,4.908824,24328200
2015-11-27,5.100000,5.110000,4.910000,4.930000,4.726661,12991400
2015-11-30,4.840000,4.960000,4.770000,4.770000,4.573259,37363100
2015-12-01,4.820000,4.870000,4.720000,4.740000,4.544497,18506400
2015-12-02,4.730000,4.970000,4.700000,4.950000,4.745836,37606100
2015-12-03,5.280000,5.300000,5.040000,5.090000,4.880061,39467700
2015-12-04,4.970000,4.980000,4.770000,4.790000,4.592436,28226900
2015-12-07,4.740000,4.740000,4.500000,4.570000,4.381509,25314000
2015-12-08,4.410000,4.800000,4.350000,4.760000,4.563673,42312100
2015-12-09,4.850000,5.140000,4.850000,5.000000,4.793774,50016600
2015-12-10,4.840000,4.950000,4.710000,4.730000,4.534910,29653800
2015-12-11,4.730000,4.740000,4.470000,4.480000,4.295221,32129000
2015-12-14,4.460000,4.570000,4.410000,4.500000,4.314396,23523500
2015-12-15,4.630000,4.700000,4.530000,4.630000,4.439035,20351600
2015-12-16,4.520000,4.660000,4.380000,4.660000,4.467797,32055200
2015-12-17,4.700000,4.710000,4.420000,4.460000,4.276046,19449300
2015-12-18,4.400000,4.500000,4.290000,4.350000,4.170584,32565700
2015-12-21,4.290000,4.320000,4.030000,4.110000,3.940482,25988600
2015-12-22,4.130000,4.300000,4.070000,4.280000,4.103471,15113800
2015-12-23,4.400000,4.540000,4.370000,4.540000,4.352746,19295600
2015-12-24,4.590000,4.650000,4.530000,4.530000,4.343160,10562800
2015-12-28,4.400000,4.480000,4.370000,4.450000,4.266458,11644300
2015-12-29,4.540000,4.590000,4.360000,4.420000,4.237696,12888200
2015-12-30,4.280000,4.320000,4.200000,4.250000,4.074708,13017900
2015-12-31,4.200000,4.380000,4.180000,4.300000,4.122645,10957700
2016-01-04,4.320000,4.420000,4.190000,4.260000,4.084295,22806300
2016-01-05,4.260000,4.270000,4.110000,4.180000,4.007595,17745000
2016-01-06,4.050000,4.060000,3.950000,3.950000,3.787081,27192700
2016-01-07,3.810000,3.960000,3.760000,3.810000,3.652855,27096400
2016-01-08,3.930000,3.960000,3.740000,3.750000,3.595330,23281100
2016-01-11,3.800000,3.810000,3.650000,3.710000,3.556980,24905500
2016-01-12,3.660000,3.690000,3.330000,3.490000,3.346054,43007800
2016-01-13,3.540000,3.630000,3.340000,3.350000,3.211828,19845800
2016-01-14,3.330000,3.610000,3.270000,3.600000,3.451517,33711000
2016-01-15,3.340000,3.460000,3.240000,3.270000,3.135128,32469000
2016-01-19,3.210000,3.220000,3.010000,3.010000,2.885852,23457100
2016-01-20,2.880000,3.010000,2.710000,2.940000,2.818739,44575300
2016-01-21,2.890000,3.100000,2.850000,2.980000,2.857090,27175500
2016-01-22,3.180000,3.250000,2.980000,3.030000,2.905026,31278100
2016-01-25,2.970000,3.040000,2.920000,2.920000,2.799564,15476500
2016-01-26,2.950000,2.970000,2.840000,2.930000,2.809151,23178400
2016-01-27,2.930000,3.310000,2.920000,3.130000,3.000902,42501600
2016-01-28,3.490000,3.500000,3.050000,3.200000,3.068015,43047000
2016-01-29,3.340000,3.470000,3.250000,3.470000,3.326879,38284700
2016-02-01,3.410000,3.420000,3.240000,3.290000,3.154303,24648100
2016-02-02,3.160000,3.170000,2.960000,2.980000,2.857090,23458600
2016-02-03,3.140000,3.170000,2.930000,3.130000,3.000902,23221800
2016-02-04,3.230000,3.590000,3.230000,3.430000,3.288529,65151500
2016-02-05,3.410000,3.420000,3.230000,3.240000,3.106365,18575100
2016-02-08,3.190000,3.200000,3.080000,3.120000,2.991315,14719700
2016-02-09,3.050000,3.110000,2.880000,2.990000,2.866677,23652900
2016-02-10,3.040000,3.120000,2.960000,3.070000,2.943377,35906900
2016-02-11,2.950000,3.000000,2.840000,2.900000,2.780389,28683000
2016-02-12,3.090000,3.190000,3.000000,3.120000,2.991315,25935500
2016-02-16,3.220000,3.230000,3.040000,3.060000,2.933789,21016900
2016-02-17,3.160000,3.460000,3.140000,3.400000,3.259766,34544800
2016-02-18,3.440000,3.450000,3.210000,3.230000,3.096778,21282500
2016-02-19,3.160000,3.190000,3.070000,3.150000,3.020078,14700800
2016-02-22,3.350000,3.700000,3.340000,3.680000,3.528217,32666800
2016-02-23,3.640000,3.690000,3.480000,3.540000,3.393991,25703000
2016-02-24,3.370000,3.550000,3.320000,3.500000,3.355642,21889500
2016-02-25,3.610000,3.650000,3.430000,3.500000,3.355642,22588200
2016-02-26,3.630000,3.650000,3.380000,3.380000,3.240591,27302700
2016-02-29,3.630000,3.720000,3.560000,3.600000,3.451517,27063100
2016-03-01,3.670000,3.830000,3.550000,3.790000,3.633681,30428600
2016-03-02,3.730000,4.130000,3.700000,4.110000,3.940482,33665600
2016-03-03,4.250000,4.860000,4.200000,4.710000,4.515734,71668800
2016-03-04,5.250000,5.420000,5.030000,5.260000,5.043050,94979000
2016-03-07,5.270000,5.350000,5.080000,5.220000,5.004700,51392300
2016-03-08,5.250000,5.310000,4.890000,5.070000,4.860887,50184500
2016-03-09,5.320000,5.370000,5.030000,5.130000,4.918413,40935000
2016-03-10,5.090000,5.420000,4.980000,5.350000,5.129338,45918500
2016-03-11,5.390000,5.630000,5.380000,5.530000,5.301914,33015500
2016-03-14,5.380000,5.430000,5.190000,5.220000,5.004700,28527200
2016-03-15,4.810000,4.890000,4.600000,4.790000,4.592436,37693000
2016-03-16,4.680000,5.130000,4.680000,5.130000,4.918413,25560900
2016-03-17,5.630000,5.770000,5.380000,5.630000,5.397789,54879900
2016-03-18,5.680000,5.760000,5.380000,5.570000,5.340264,35802600
2016-03-21,5.600000,5.740000,5.480000,5.640000,5.407377,21779000
2016-03-22,5.510000,5.840000,5.440000,5.770000,5.532014,30046500
2016-03-23,5.550000,5.630000,5.330000,5.360000,5.138926,28306000
2016-03-24,5.140000,5.450000,4.980000,5.400000,5.177276,25809700
2016-03-28,5.590000,5.840000,5.450000,5.790000,5.551190,25859900
2016-03-29,5.600000,5.940000,5.520000,5.830000,5.589540,27248600
2016-03-30,5.980000,6.200000,5.830000,5.860000,5.618303,38595900
2016-03-31,5.930000,6.080000,5.770000,5.840000,5.599128,23254400
2016-04-01,5.640000,5.890000,5.560000,5.870000,5.627890,23294100
2016-04-04,5.620000,5.790000,5.250000,5.300000,5.081400,32176700
2016-04-05,5.290000,5.460000,5.190000,5.320000,5.100575,22928900
2016-04-06,5.310000,5.520000,5.220000,5.320000,5.100575,26816200
2016-04-07,5.290000,5.430000,5.210000,5.320000,5.100575,23016500
2016-04-08,5.660000,5.830000,5.640000,5.750000,5.512840,32526600
2016-04-11,5.970000,6.020000,5.860000,5.890000,5.647066,38371700
2016-04-12,6.000000,6.500000,5.910000,6.430000,6.164793,57115900
2016-04-13,6.680000,6.760000,6.410000,6.730000,6.452419,50840100
2016-04-14,6.760000,6.810000,6.380000,6.600000,6.327781,37906500
2016-04-15,6.530000,6.880000,6.350000,6.720000,6.442832,36877200
2016-04-18,6.310000,6.790000,6.230000,6.500000,6.231905,42206500
2016-04-19,6.620000,7.010000,6.600000,6.970000,6.682520,37249200
2016-04-20,6.820000,7.100000,6.780000,6.960000,6.672933,37554600
2016-04-21,7.060000,7.210000,6.820000,6.840000,6.557883,37073800
2016-04-22,6.850000,7.320000,6.820000,7.200000,6.903034,36979300
2016-04-25,7.240000,7.270000,6.850000,6.930000,6.644170,30184100
2016-04-26,7.110000,7.290000,6.970000,7.220000,6.922209,23680700
2016-04-27,7.330000,7.610000,7.250000,7.580000,7.267361,37500000
2016-04-28,7.620000,7.980000,7.520000,7.700000,7.382411,48825300
2016-04-29,7.900000,7.990000,7.560000,7.710000,7.391999,36208200
2016-05-02,7.550000,7.700000,7.310000,7.580000,7.267361,30110300
2016-05-03,7.340000,7.370000,7.090000,7.170000,6.874272,31861200
2016-05-04,7.300000,7.470000,7.190000,7.320000,7.018085,29242400
2016-05-05,7.580000,7.640000,6.920000,7.070000,6.778396,36821700
2016-05-06,6.960000,7.420000,6.880000,7.330000,7.027672,25366200
2016-05-09,7.190000,7.190000,6.310000,6.830000,6.548295,46745400
2016-05-10,7.040000,7.350000,7.020000,7.350000,7.046847,22222400
2016-05-11,7.500000,7.690000,7.190000,7.420000,7.113960,33788400
2016-05-12,7.440000,7.660000,7.170000,7.350000,7.046847,26152500
2016-05-13,7.230000,7.370000,6.770000,6.880000,6.596232,33317300
2016-05-16,7.080000,7.360000,7.080000,7.150000,6.855096,23632600
2016-05-17,7.110000,7.270000,6.920000,7.090000,6.797572,23450200
2016-05-18,6.910000,7.090000,6.740000,6.750000,6.471594,28867300
2016-05-19,6.490000,6.570000,6.150000,6.420000,6.155205,38371000
2016-05-20,6.660000,6.840000,6.430000,6.450000,6.183968,33747600
2016-05-23,6.180000,6.290000,6.050000,6.150000,5.896342,34995200
