Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,8.880000,8.920000,8.810000,8.870000,7.392897,1435700
2015-07-02,8.850000,8.870000,8.780000,8.840000,7.367892,651100
2015-07-06,8.760000,8.900000,8.760000,8.870000,7.392897,992800
2015-07-07,8.840000,8.870000,8.730000,8.860000,7.384562,1632100
2015-07-08,8.590000,8.590000,8.410000,8.430000,7.026169,2034400
2015-07-09,8.570000,8.600000,8.470000,8.480000,7.067842,1349100
2015-07-10,8.630000,8.730000,8.630000,8.710000,7.259540,872700
2015-07-13,8.780000,8.830000,8.760000,8.820000,7.351223,949000
2015-07-14,8.810000,8.910000,8.790000,8.900000,7.417899,812500
2015-07-15,8.860000,8.900000,8.810000,8.840000,7.367892,915600
2015-07-16,8.910000,8.930000,8.870000,8.900000,7.417899,1036700
2015-07-17,8.950000,8.980000,8.910000,8.980000,7.484577,688100
2015-07-20,8.980000,9.020000,8.940000,8.980000,7.484577,841400
2015-07-21,8.950000,8.960000,8.900000,8.960000,7.467909,688300
2015-07-22,8.840000,8.880000,8.810000,8.850000,7.376227,838900
2015-07-23,8.880000,8.930000,8.840000,8.860000,7.384562,1017300
2015-07-24,8.790000,8.790000,8.650000,8.680000,7.234538,1069600
2015-07-27,8.690000,8.720000,8.640000,8.680000,7.234538,656700
2015-07-28,8.670000,8.700000,8.590000,8.680000,7.234538,527300
2015-07-29,8.670000,8.810000,8.670000,8.780000,7.317883,703100
2015-07-30,8.810000,8.870000,8.790000,8.840000,7.367892,681900
2015-07-31,9.000000,9.280000,8.980000,9.260000,7.717949,1646400
2015-08-03,8.890000,8.970000,8.810000,8.850000,7.376227,1782500
2015-08-04,8.870000,8.980000,8.870000,8.940000,7.451239,2254500
2015-08-05,8.940000,9.010000,8.940000,8.960000,7.467909,1493900
2015-08-06,8.970000,9.010000,8.910000,8.950000,7.459575,910200
2015-08-07,9.000000,9.090000,9.000000,9.080000,7.567924,959100
2015-08-10,9.150000,9.230000,9.140000,9.210000,7.676275,797900
2015-08-11,9.040000,9.050000,8.990000,9.030000,7.526251,892400
2015-08-12,8.860000,8.900000,8.760000,8.880000,7.401231,1063600
2015-08-13,8.730000,8.810000,8.690000,8.760000,7.301214,1583500
2015-08-14,8.740000,8.820000,8.710000,8.800000,7.334552,936900
2015-08-17,8.740000,8.810000,8.710000,8.780000,7.317883,565600
2015-08-18,8.790000,8.830000,8.760000,8.770000,7.309550,726800
2015-08-19,8.780000,8.820000,8.710000,8.720000,7.267875,931700
2015-08-20,8.530000,8.530000,8.400000,8.420000,7.017834,1041900
2015-08-21,8.240000,8.240000,7.940000,7.940000,6.617767,1971800
2015-08-24,7.340000,8.020000,7.260000,7.620000,6.351057,3762000
2015-08-25,7.950000,8.000000,7.720000,7.720000,6.434403,2994800
2015-08-26,7.950000,8.010000,7.810000,8.000000,6.667776,2878700
2015-08-27,8.170000,8.310000,8.140000,8.240000,6.867808,1730100
2015-08-28,8.260000,8.350000,8.260000,8.330000,6.942822,1416400
2015-08-31,8.190000,8.240000,8.160000,8.200000,6.834470,1290800
2015-09-01,7.880000,7.940000,7.800000,7.840000,6.534420,2362900
2015-09-02,8.020000,8.030000,7.890000,8.020000,6.684446,805400
2015-09-03,7.950000,8.050000,7.950000,7.990000,6.659441,762400
2015-09-04,7.710000,7.720000,7.610000,7.670000,6.392730,1295100
2015-09-08,7.820000,7.880000,7.790000,7.860000,6.551090,1402100
2015-09-09,7.960000,8.000000,7.820000,7.830000,6.526085,909100
2015-09-10,7.810000,7.890000,7.780000,7.860000,6.551090,1430800
2015-09-11,7.860000,7.920000,7.840000,7.910000,6.592762,1141700
2015-09-14,7.870000,7.880000,7.800000,7.860000,6.551090,1430700
2015-09-15,7.870000,7.970000,7.830000,7.960000,6.634436,1318300
2015-09-16,8.010000,8.100000,8.000000,8.070000,6.726119,1233600
2015-09-17,8.030000,8.170000,8.010000,8.040000,6.701115,941900
2015-09-18,7.780000,7.790000,7.690000,7.710000,6.426068,1261200
2015-09-21,7.700000,7.800000,7.700000,7.750000,6.459407,778700
2015-09-22,7.620000,7.670000,7.580000,7.660000,6.384395,607200
2015-09-23,7.650000,7.660000,7.580000,7.600000,6.334386,619000
2015-09-24,7.550000,7.570000,7.410000,7.550000,6.292713,1400800
2015-09-25,7.830000,7.840000,7.670000,7.690000,6.514357,769600
2015-09-28,7.720000,7.730000,7.540000,7.550000,6.395761,890800
2015-09-29,7.470000,7.520000,7.440000,7.520000,6.370347,910400
2015-09-30,7.550000,7.630000,7.520000,7.630000,6.463530,891600
2015-10-01,7.760000,7.800000,7.700000,7.780000,6.590599,825900
2015-10-02,7.730000,7.860000,7.630000,7.860000,6.658369,1692700
