Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,85.360001,85.900002,83.800003,84.169998,59.076454,253800
2015-07-02,84.639999,85.360001,84.209999,84.320000,59.181728,113400
2015-07-06,83.660004,84.120003,82.669998,82.930000,58.206139,155500
2015-07-07,80.389999,81.139999,78.480003,80.989998,56.844498,270300
2015-07-08,80.000000,80.400002,78.000000,78.440002,55.054733,421100
2015-07-09,79.550003,80.000000,78.550003,78.599998,55.167038,182900
2015-07-10,80.410004,80.440002,79.400002,80.070000,56.198784,108100
2015-07-13,80.000000,80.410004,79.370003,79.550003,55.833824,91900
2015-07-14,78.699997,79.010002,78.550003,78.739998,55.265289,139100
2015-07-15,79.660004,80.050003,78.980003,79.129997,55.539032,136500
2015-07-16,79.709999,80.190002,79.709999,79.919998,56.093506,106900
2015-07-17,79.820000,79.849998,79.150002,79.300003,55.658352,83200
2015-07-20,78.790001,78.930000,78.120003,78.430000,55.047726,119500
2015-07-21,78.709999,79.570000,78.459999,78.620003,55.181068,130100
2015-07-22,77.959999,78.269997,77.620003,77.790001,54.598522,110400
2015-07-23,78.269997,78.339996,77.550003,77.820000,54.619583,79500
2015-07-24,77.269997,77.269997,76.349998,76.629997,53.784344,97800
2015-07-27,73.989998,74.209999,73.199997,73.599998,51.657684,147000
2015-07-28,74.800003,75.529999,74.419998,75.370003,52.899990,132900
2015-07-29,75.680000,77.160004,75.680000,77.000000,54.044029,186100
2015-07-30,76.050003,76.260002,75.629997,75.919998,53.286026,106800
2015-07-31,76.000000,76.000000,75.050003,75.209999,52.787693,60400
2015-08-03,74.529999,74.620003,73.879997,74.110001,52.015633,84000
2015-08-04,74.379997,74.669998,73.959999,74.400002,52.219181,89300
2015-08-05,75.400002,75.709999,74.519997,74.709999,52.436752,95200
2015-08-06,74.400002,74.589996,73.930000,74.300003,52.148998,62600
2015-08-07,75.000000,75.209999,74.169998,74.389999,52.212154,114000
2015-08-10,74.529999,75.680000,74.529999,75.629997,53.082478,93300
2015-08-11,74.010002,74.209999,73.500000,74.029999,51.959488,190100
2015-08-12,73.980003,74.690002,73.739998,74.690002,52.422714,103800
2015-08-13,74.910004,75.099998,74.510002,74.559998,52.331482,135600
2015-08-14,74.589996,74.889999,74.419998,74.639999,52.387623,81600
2015-08-17,73.860001,74.309998,73.690002,74.169998,52.057747,85000
2015-08-18,73.169998,73.510002,72.919998,73.190002,51.369911,106600
2015-08-19,72.040001,72.080002,70.559998,71.550003,50.218853,174500
2015-08-20,69.320000,69.690002,68.730003,68.900002,48.358891,189800
2015-08-21,67.980003,68.220001,66.699997,66.699997,46.814774,143800
2015-08-24,63.369999,66.489998,63.290001,64.050003,44.954819,245700
2015-08-25,66.000000,66.540001,63.540001,63.700001,44.709164,190300
2015-08-26,63.900002,64.580002,62.750000,64.459999,45.242584,142200
2015-08-27,65.290001,67.510002,65.220001,67.269997,47.214836,239900
2015-08-28,66.970001,68.099998,66.970001,67.349998,47.270988,158800
2015-08-31,66.510002,68.260002,65.910004,67.360001,47.278008,159300
2015-09-01,64.419998,64.650002,63.340000,63.580002,44.624939,218000
2015-09-02,64.150002,64.250000,63.139999,64.070000,44.968857,160500
2015-09-03,64.309998,65.559998,64.309998,64.779999,45.467182,192700
2015-09-04,61.689999,61.720001,60.700001,60.810001,42.680759,226000
2015-09-08,64.830002,66.489998,64.470001,65.300003,45.832157,729800
2015-09-09,68.750000,69.550003,66.830002,66.889999,46.948128,813300
2015-09-10,67.080002,67.900002,66.690002,67.110001,47.102547,175600
2015-09-11,65.379997,65.580002,64.980003,65.459999,46.927628,157400
2015-09-14,65.500000,65.709999,65.110001,65.500000,46.956295,131200
2015-09-15,66.129997,66.919998,66.019997,66.769997,47.866741,190700
2015-09-16,67.940002,69.059998,67.820000,68.989998,49.458248,145900
2015-09-17,67.860001,69.449997,67.730003,68.320000,48.977932,151400
2015-09-18,66.760002,66.980003,65.769997,65.940002,48.264706,109600
2015-09-21,66.169998,66.820000,65.709999,66.480003,48.659966,177900
2015-09-22,65.750000,65.900002,64.849998,65.599998,48.015846,134700
2015-09-23,64.010002,64.160004,63.240002,63.349998,46.368961,154300
2015-09-24,62.139999,62.830002,61.540001,62.619999,45.834633,146400
2015-09-25,62.880001,62.880001,61.759998,61.869999,45.285671,119600
2015-09-28,61.500000,61.500000,60.389999,60.619999,44.370735,97300
2015-09-29,58.930000,59.790001,58.139999,59.369999,43.455799,170700
2015-09-30,61.250000,61.610001,60.669998,61.540001,45.044132,109700
2015-10-01,62.000000,62.540001,61.459999,62.070000,45.432068,177500
2015-10-02,61.840000,63.970001,61.740002,63.970001,46.822769,127000
2015-10-05,65.199997,66.250000,65.160004,66.110001,48.389137,144300
2015-10-06,66.070000,66.989998,66.070000,66.650002,48.784393,117800
2015-10-07,70.610001,71.050003,69.570000,70.089996,51.302288,177300
2015-10-08,69.580002,71.209999,69.349998,71.139999,52.070831,169000
2015-10-09,71.070000,71.070000,69.690002,70.000000,51.236423,122000
2015-10-12,72.320000,72.400002,70.980003,71.099998,52.041557,129500
2015-10-13,71.300003,71.989998,70.599998,70.830002,51.843941,155100
2015-10-14,72.070000,72.589996,71.480003,71.849998,52.590523,139800
2015-10-15,73.220001,73.769997,72.000000,73.769997,53.995857,164900
2015-10-16,73.480003,74.129997,72.949997,73.879997,54.076374,147900
2015-10-19,74.459999,74.459999,73.389999,73.919998,54.105659,159400
2015-10-20,73.800003,74.419998,73.580002,73.930000,54.112976,106000
2015-10-21,73.599998,73.699997,72.330002,72.480003,53.051659,116400
2015-10-22,72.610001,73.820000,72.610001,73.720001,53.959263,110700
2015-10-23,75.410004,75.529999,74.639999,75.389999,55.181622,150800
2015-10-26,73.989998,73.989998,73.180000,73.379997,53.710403,124600
2015-10-27,73.129997,73.320000,72.610001,73.099998,53.505463,158200
2015-10-28,73.070000,74.160004,72.110001,73.449997,53.761639,183400
2015-10-29,72.339996,72.559998,71.489998,72.250000,52.883305,168000
2015-10-30,71.650002,72.610001,71.330002,72.080002,52.758877,120700
2015-11-02,71.570000,72.639999,71.190002,72.360001,52.963821,144800
2015-11-03,72.419998,74.199997,72.400002,73.610001,53.878754,120900
2015-11-04,74.029999,74.180000,72.790001,73.040001,53.461552,177700
2015-11-05,72.860001,73.410004,72.430000,72.809998,53.293198,72300
2015-11-06,70.580002,70.970001,69.900002,70.769997,51.800018,86400
2015-11-09,70.000000,70.230003,68.830002,69.269997,50.702091,150400
2015-11-10,68.750000,68.860001,68.160004,68.529999,50.160450,121300
2015-11-11,68.290001,68.290001,66.870003,67.040001,49.069851,90400
2015-11-12,67.379997,68.779999,66.209999,67.389999,49.326027,157700
2015-11-13,65.300003,65.370003,64.089996,64.620003,47.298534,169300
2015-11-16,64.349998,65.940002,64.059998,65.879997,48.220791,160200
2015-11-17,64.849998,64.849998,63.860001,64.169998,46.969154,202700
2015-11-18,64.099998,64.830002,63.939999,64.680000,47.342449,127700
2015-11-19,64.660004,65.529999,64.610001,65.080002,47.635239,103400
2015-11-20,64.989998,65.779999,64.730003,65.290001,47.788944,146800
2015-11-23,64.919998,65.370003,64.389999,64.500000,47.210697,132700
2015-11-24,63.730000,65.339996,63.709999,64.970001,47.554718,171100
2015-11-25,63.750000,64.320000,63.470001,64.010002,46.852047,167900
2015-11-27,61.759998,61.980000,61.130001,61.610001,45.095367,101200
2015-11-30,61.450001,62.259998,61.299999,61.880001,45.292992,187200
2015-12-01,62.610001,63.250000,62.509998,62.770000,45.944427,145000
2015-12-02,62.750000,63.049999,61.880001,62.169998,45.505260,127500
2015-12-03,62.099998,62.450001,61.520000,61.660000,45.131966,128100
2015-12-04,61.459999,62.080002,61.099998,61.759998,45.205162,133600
2015-12-07,60.349998,60.490002,58.360001,58.750000,43.001995,193000
2015-12-08,57.709999,58.619999,57.360001,58.340000,42.701893,119500
2015-12-09,58.419998,59.630001,58.119999,58.459999,42.789730,102900
2015-12-10,57.540001,57.880001,57.000000,57.150002,41.830879,146800
2015-12-11,55.910000,56.200001,55.470001,55.730000,40.791512,163100
2015-12-14,55.869999,56.090000,55.119999,55.910000,40.923260,206000
2015-12-15,56.869999,58.220001,56.610001,57.820000,42.321278,289100
2015-12-16,60.590000,61.439999,59.740002,60.980000,44.634243,250300
2015-12-17,61.090000,61.090000,59.439999,59.720001,43.711987,174700
2015-12-18,59.700001,60.080002,59.189999,59.740002,43.726624,197700
2015-12-21,59.750000,59.820000,58.919998,59.500000,43.550953,191200
2015-12-22,59.759998,60.560001,59.560001,60.250000,44.099918,189200
2015-12-23,62.590000,63.639999,62.590000,63.610001,46.559269,147300
2015-12-24,63.750000,64.220001,63.630001,63.639999,46.581223,108300
2015-12-28,60.660000,63.160000,57.360001,61.090000,44.714756,165500
2015-12-29,61.599998,61.840000,61.099998,61.310001,44.875782,157600
2015-12-30,60.549999,61.000000,60.000000,60.040001,43.946213,136600
2015-12-31,59.779999,60.500000,59.459999,59.980000,43.902287,145100
2016-01-04,58.389999,58.630001,57.549999,58.380001,42.731174,240400
2016-01-05,58.509998,58.740002,58.099998,58.430000,42.767776,83000
2016-01-06,56.619999,56.919998,55.810001,56.119999,41.076965,179600
2016-01-07,53.799999,55.419998,53.490002,53.709999,39.312969,222700
2016-01-08,55.470001,55.990002,54.430000,54.480000,39.876572,196800
2016-01-11,55.410000,55.450001,53.950001,54.490002,39.883896,159500
2016-01-12,55.470001,55.639999,54.000000,54.770000,40.088833,168700
2016-01-13,55.270000,55.959999,53.520000,53.770000,39.356892,134700
2016-01-14,53.810001,54.889999,53.000000,54.810001,40.118111,190800
2016-01-15,50.520000,51.029999,49.599998,50.610001,37.043934,223000
2016-01-19,53.130001,53.270000,51.520000,52.020000,38.075974,196700
2016-01-20,49.639999,50.389999,48.279999,49.820000,36.465691,177900
2016-01-21,50.919998,53.000000,50.580002,52.220001,38.222370,185900
2016-01-22,54.430000,54.849998,54.029999,54.779999,40.096157,138700
2016-01-25,54.430000,54.970001,53.220001,53.389999,39.078747,120300
2016-01-26,53.320000,54.660000,52.860001,54.500000,39.891209,168200
2016-01-27,53.590000,55.169998,52.939999,53.880001,39.437408,183300
2016-01-28,54.369999,55.130001,53.720001,54.189999,39.664307,167100
2016-01-29,55.250000,56.459999,54.980000,56.310001,41.216038,179400
2016-02-01,54.709999,55.209999,54.430000,54.910000,40.191311,152900
2016-02-02,54.549999,54.599998,53.130001,53.360001,39.056786,191100
2016-02-03,54.000000,55.950001,52.619999,55.799999,40.842743,163400
2016-02-04,56.110001,56.880001,55.160000,55.759998,40.813465,225500
2016-02-05,55.869999,56.259998,54.619999,55.200001,40.403576,86500
2016-02-08,53.759998,54.230000,52.509998,53.540001,39.188541,156200
2016-02-09,52.230000,53.430000,52.060001,52.910000,38.727413,111000
2016-02-10,53.410000,54.889999,53.270000,53.540001,39.188541,94000
2016-02-11,51.040001,52.599998,50.950001,52.259998,38.251652,138000
2016-02-12,53.349998,55.040001,53.209999,55.009998,40.264503,99300
2016-02-16,56.029999,56.189999,55.290001,55.650002,40.732952,201900
2016-02-17,56.009998,57.619999,55.669998,57.310001,41.947987,193000
2016-02-18,57.189999,57.419998,56.209999,56.380001,41.267277,155300
2016-02-19,55.799999,56.150002,55.200001,56.139999,41.091610,157600
2016-02-22,56.939999,58.119999,56.939999,57.889999,42.372517,75700
2016-02-23,56.990002,57.240002,55.919998,56.130001,41.084286,100400
2016-02-24,54.430000,56.070000,53.740002,55.730000,40.791512,146800
2016-02-25,54.790001,55.779999,54.380001,55.540001,40.652447,134200
2016-02-26,57.509998,58.070000,57.009998,57.020000,41.735722,112400
2016-02-29,56.990002,57.500000,56.610001,56.869999,41.625927,96600
2016-03-01,58.759998,60.240002,58.639999,60.020000,43.931572,154600
2016-03-02,60.900002,62.919998,60.590000,62.689999,45.885868,213900
2016-03-03,61.599998,62.150002,61.310001,62.119999,45.468666,176600
2016-03-04,62.509998,64.120003,62.380001,63.869999,46.749573,140400
2016-03-07,63.290001,64.269997,63.200001,64.019997,46.859360,135300
2016-03-08,62.639999,62.680000,61.560001,61.619999,45.102688,142900
2016-03-09,62.650002,63.380001,62.189999,62.580002,45.805363,111900
2016-03-10,63.070000,63.169998,61.029999,62.110001,45.461342,98600
2016-03-11,63.549999,64.430000,63.540001,64.339996,47.093582,117500
2016-03-14,62.930000,63.009998,62.220001,62.570000,45.798031,98300
2016-03-15,61.779999,62.820000,61.330002,62.410000,45.680927,109400
2016-03-16,61.610001,63.410000,61.400002,63.330002,46.354324,92700
2016-03-17,62.500000,64.000000,62.139999,63.540001,46.508034,137100
2016-03-18,63.790001,64.260002,63.380001,63.480000,46.464115,182700
2016-03-21,63.099998,63.349998,62.470001,62.740002,45.922474,111900
2016-03-22,61.840000,62.639999,61.680000,62.150002,45.490623,74200
2016-03-23,63.290001,63.380001,61.810001,61.810001,45.241756,135700
2016-03-24,60.430000,61.380001,60.240002,61.340000,44.897747,87300
2016-03-28,61.419998,61.939999,60.840000,61.849998,45.271038,78400
2016-03-29,61.139999,63.000000,60.669998,62.849998,46.002979,166400
2016-03-30,64.250000,66.389999,64.120003,64.800003,47.430286,160400
2016-03-31,65.480003,66.059998,65.129997,65.150002,47.686474,157800
2016-04-01,64.089996,65.629997,64.070000,65.349998,47.832859,89500
2016-04-04,65.449997,65.940002,63.930000,64.190002,46.983803,83000
2016-04-05,63.259998,63.459999,62.740002,62.990002,46.105453,170100
2016-04-06,63.459999,65.199997,63.459999,65.190002,47.715744,205400
2016-04-07,64.000000,64.059998,62.830002,63.180000,46.244526,517200
