Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,5.460000,5.460000,5.360000,5.360000,5.360000,1100
2015-07-02,5.360000,5.360000,5.360000,5.360000,5.360000,100
2015-07-06,5.370000,5.380000,5.370000,5.380000,5.380000,800
2015-07-07,5.540000,5.600000,5.540000,5.600000,5.600000,19500
2015-07-08,5.670000,5.670000,5.590000,5.590000,5.590000,800
2015-07-09,5.770000,5.770000,5.700000,5.700000,5.700000,7000
2015-07-10,5.700000,5.700000,5.700000,5.700000,5.700000,0
2015-07-13,5.640000,5.740000,5.640000,5.740000,5.740000,16500
2015-07-14,5.720000,5.810000,5.720000,5.810000,5.810000,7200
2015-07-15,5.810000,5.810000,5.810000,5.810000,5.810000,500
2015-07-16,5.910000,6.010000,5.910000,6.000000,6.000000,26600
2015-07-17,5.900000,5.980000,5.900000,5.950000,5.950000,13200
2015-07-20,5.880000,6.020000,5.880000,6.000000,6.000000,8200
2015-07-21,6.100000,6.200000,6.030000,6.160000,6.160000,28300
2015-07-22,6.220000,6.480000,6.220000,6.380000,6.380000,25900
2015-07-23,6.380000,6.380000,6.300000,6.330000,6.330000,1800
2015-07-24,6.230000,6.260000,6.230000,6.250000,6.250000,17500
2015-07-27,6.230000,6.230000,6.200000,6.200000,6.200000,1900
2015-07-28,6.370000,6.450000,6.350000,6.450000,6.450000,6200
2015-07-29,6.480000,6.600000,6.480000,6.500000,6.500000,15800
2015-07-30,6.680000,6.740000,6.680000,6.740000,6.740000,15700
2015-07-31,7.130000,7.250000,7.130000,7.170000,7.170000,21000
2015-08-03,7.110000,7.110000,6.970000,6.990000,6.990000,43900
2015-08-04,7.310000,7.450000,7.310000,7.420000,7.420000,15400
2015-08-05,7.330000,7.330000,7.230000,7.270000,7.270000,12500
2015-08-06,7.000000,7.000000,7.000000,7.000000,7.000000,2300
2015-08-07,7.080000,7.130000,7.080000,7.100000,7.100000,5000
2015-08-10,6.710000,6.710000,6.620000,6.710000,6.710000,7000
2015-08-11,6.690000,6.690000,6.590000,6.640000,6.640000,7000
2015-08-12,6.750000,6.800000,6.750000,6.760000,6.760000,16200
2015-08-13,7.100000,7.150000,7.100000,7.150000,7.150000,6000
2015-08-14,7.160000,7.160000,7.060000,7.090000,7.090000,6500
2015-08-17,7.220000,7.240000,7.200000,7.220000,7.220000,38400
2015-08-18,7.190000,7.190000,7.100000,7.100000,7.100000,7500
2015-08-19,7.100000,7.120000,7.080000,7.080000,7.080000,12600
2015-08-20,7.050000,7.050000,7.010000,7.010000,7.010000,3700
2015-08-21,6.910000,6.910000,6.580000,6.650000,6.650000,5800
2015-08-24,6.140000,6.490000,6.060000,6.200000,6.200000,48700
2015-08-25,6.580000,6.740000,6.460000,6.500000,6.500000,6600
2015-08-26,6.920000,7.190000,6.920000,7.190000,7.190000,11200
2015-08-27,7.080000,7.080000,6.880000,7.020000,7.020000,25500
2015-08-28,7.030000,7.030000,7.030000,7.030000,7.030000,9300
2015-08-31,6.880000,6.880000,6.670000,6.720000,6.720000,14100
2015-09-01,6.500000,6.500000,6.500000,6.500000,6.500000,3000
2015-09-02,6.510000,6.690000,6.500000,6.680000,6.680000,19500
2015-09-03,6.410000,6.480000,6.410000,6.480000,6.480000,8900
2015-09-04,6.420000,6.460000,6.380000,6.380000,6.380000,9800
2015-09-08,6.360000,6.360000,6.320000,6.340000,6.340000,800
2015-09-09,6.460000,6.460000,6.400000,6.400000,6.400000,1000
2015-09-10,6.710000,6.910000,6.710000,6.850000,6.850000,14100
2015-09-11,6.830000,6.840000,6.800000,6.800000,6.800000,1000
2015-09-14,6.810000,6.810000,6.800000,6.800000,6.800000,1200
2015-09-15,6.800000,6.800000,6.800000,6.800000,6.800000,0
2015-09-16,6.620000,6.760000,6.620000,6.660000,6.660000,2500
2015-09-17,6.710000,6.720000,6.660000,6.720000,6.720000,10900
2015-09-18,6.560000,6.560000,6.560000,6.560000,6.560000,100
2015-09-21,6.560000,6.560000,6.560000,6.560000,6.560000,0
2015-09-22,6.450000,6.450000,6.450000,6.450000,6.450000,2000
2015-09-23,6.450000,6.450000,6.450000,6.450000,6.450000,0
2015-09-24,6.430000,6.500000,6.430000,6.500000,6.500000,1800
2015-09-25,6.710000,6.720000,6.680000,6.680000,6.680000,9400
2015-09-28,6.680000,6.680000,6.680000,6.680000,6.680000,0
2015-09-29,6.690000,6.690000,6.650000,6.680000,6.680000,1400
2015-09-30,6.620000,6.620000,6.580000,6.610000,6.610000,1500
2015-10-01,6.740000,6.740000,6.740000,6.740000,6.740000,200
