Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,13.384600,13.461500,12.100000,12.100000,10.857121,89658275
2015-07-02,11.669200,11.676900,10.892300,10.892300,9.773472,71727085
2015-07-03,9.807690,10.946200,9.800000,9.800000,8.793370,110759751
2015-07-06,10.776900,10.776900,8.823080,8.823080,7.916796,132901762
2015-07-07,8.423080,8.423080,7.938460,7.938460,7.123043,58249360
2015-07-08,7.146150,7.676920,7.146150,7.146150,6.412117,295927320
2015-07-09,7.153850,7.861540,7.084620,7.861540,7.054024,71168497
2015-07-10,8.307690,8.538460,8.092310,8.538460,7.790233,18384327
2015-07-13,9.392310,9.392310,9.084610,9.392310,8.569261,54761046
2015-07-14,9.769230,10.330800,9.623080,10.330800,9.425510,144385924
2015-07-15,9.907690,10.000000,9.300000,9.300000,8.485039,70576186
2015-07-16,9.300000,9.853850,8.384610,9.569230,8.730677,73376452
2015-07-17,9.584610,10.376900,9.515380,10.153800,9.264020,73698818
2015-07-20,10.176900,10.923100,10.038500,10.830800,9.881694,83864305
2015-07-21,10.538500,11.353800,10.384600,10.930800,9.972932,71973480
2015-07-22,10.769200,11.807700,10.407700,11.484600,10.478202,97372154
2015-07-23,11.338500,11.892300,11.276900,11.607700,10.590516,70749794
2015-07-24,11.584600,11.838500,10.907700,11.161500,10.183415,72367080
2015-07-27,10.769200,11.138500,10.046200,10.046200,9.165850,54675968
2015-07-28,9.615380,10.084600,9.038460,9.323080,8.506097,76729768
2015-07-29,9.492310,10.261500,8.923080,10.115400,9.228986,58833434
2015-07-30,9.992310,10.361500,9.461540,9.623080,8.779807,49472086
2015-07-31,9.423080,9.769230,9.076920,9.407690,8.583292,40416847
2015-08-03,9.192310,9.461540,8.538460,8.915380,8.134123,36556234
2015-08-04,8.976920,9.823080,8.969230,9.807690,8.948240,44411525
2015-08-05,9.776920,10.061500,9.438460,9.553850,8.716645,42690952
2015-08-06,9.269230,9.692310,9.092310,9.669230,8.821913,25406804
2015-08-07,9.676920,10.207700,9.676920,10.184600,9.292121,47273071
2015-08-10,10.661500,11.200000,10.661500,11.200000,10.218542,49441831
2015-08-11,11.500000,11.923100,11.369200,11.561500,10.548362,94348482
2015-08-12,11.523100,12.715400,11.346200,12.261500,11.187022,92824702
2015-08-13,12.153800,13.076900,11.230800,13.061500,11.916918,90804663
2015-08-14,13.215400,13.692300,12.846200,13.276900,12.113442,88786024
2015-08-17,12.946200,13.846200,12.538500,13.384600,12.211704,84547235
2015-08-18,13.230800,13.269200,12.046200,12.046200,10.990589,77793011
2015-08-19,11.215400,12.461500,10.853800,12.069200,11.011574,76052021
2015-08-20,11.692300,11.846200,10.861500,10.861500,9.909705,52072282
2015-08-21,10.476900,10.830800,9.992310,10.030800,9.151799,46344782
2015-08-24,9.461540,9.507690,9.030770,9.030770,8.239402,52237954
2015-08-25,8.261540,8.653850,8.130770,8.130770,7.418269,81081302
2015-08-26,8.123080,8.946150,7.892310,8.407690,7.670922,104740708
2015-08-27,8.846150,9.246150,8.469230,9.246150,8.435907,75585918
2015-08-28,9.600000,10.115400,9.400000,10.030800,9.151799,83071254
2015-08-31,9.692310,9.823080,9.192310,9.238460,8.428892,60688408
2015-09-01,9.076920,9.076920,8.315380,8.315380,7.586702,65911558
2015-09-02,7.615380,8.692310,7.576920,7.923080,7.228779,51353662
2015-09-07,8.084610,8.600000,7.623080,7.923080,7.228779,74316346
2015-09-08,7.846150,8.692310,7.576920,8.646150,7.888486,53796143
2015-09-09,8.676920,9.138460,8.007690,8.530770,7.783217,187486868
2015-09-10,8.184620,9.153850,8.115380,8.846150,8.070961,138671382
