Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,2.240000,2.380000,2.210000,2.220000,2.220000,2961100
2015-07-02,2.220000,2.240000,2.180000,2.190000,2.190000,978900
2015-07-06,2.190000,2.190000,2.090000,2.120000,2.120000,1789400
2015-07-07,2.090000,2.120000,1.970000,2.080000,2.080000,4163000
2015-07-08,2.050000,2.060000,2.010000,2.030000,2.030000,1383200
2015-07-09,2.050000,2.110000,2.030000,2.070000,2.070000,1961100
2015-07-10,2.090000,2.150000,2.070000,2.080000,2.080000,1784600
2015-07-13,2.090000,2.120000,2.070000,2.100000,2.100000,707900
2015-07-14,2.110000,2.190000,2.100000,2.180000,2.180000,1594900
2015-07-15,2.240000,2.420000,2.230000,2.370000,2.370000,7556500
2015-07-16,2.380000,2.380000,2.280000,2.320000,2.320000,1974500
2015-07-17,2.320000,2.370000,2.320000,2.330000,2.330000,1009200
2015-07-20,2.340000,2.380000,2.300000,2.370000,2.370000,1504600
2015-07-21,2.350000,2.420000,2.350000,2.400000,2.400000,3492100
2015-07-22,2.390000,2.540000,2.370000,2.520000,2.520000,5337900
2015-07-23,2.560000,2.610000,2.450000,2.480000,2.480000,3472500
2015-07-24,2.480000,2.500000,2.400000,2.430000,2.430000,1794400
2015-07-27,2.370000,2.400000,2.310000,2.340000,2.340000,1731300
2015-07-28,2.330000,2.400000,2.310000,2.380000,2.380000,1166800
2015-07-29,2.380000,2.390000,2.360000,2.360000,2.360000,727500
2015-07-30,2.370000,2.380000,2.340000,2.350000,2.350000,494200
2015-07-31,2.350000,2.360000,2.230000,2.250000,2.250000,2877000
2015-08-03,2.260000,2.260000,2.150000,2.170000,2.170000,2020300
2015-08-04,2.180000,2.320000,2.170000,2.300000,2.300000,1709500
2015-08-05,2.320000,2.350000,2.230000,2.260000,2.260000,834000
2015-08-06,2.260000,2.360000,2.230000,2.320000,2.320000,1888300
2015-08-07,2.400000,2.400000,2.320000,2.320000,2.320000,799300
2015-08-10,2.330000,2.330000,2.260000,2.280000,2.280000,780300
2015-08-11,2.290000,2.310000,2.250000,2.300000,2.300000,914500
2015-08-12,2.300000,2.300000,2.220000,2.240000,2.240000,1081400
2015-08-13,2.240000,2.280000,2.220000,2.220000,2.220000,679800
2015-08-14,2.230000,2.240000,2.200000,2.200000,2.200000,844800
2015-08-17,2.210000,2.220000,2.180000,2.200000,2.200000,637600
2015-08-18,2.180000,2.200000,2.140000,2.150000,2.150000,1395600
2015-08-19,2.150000,2.240000,2.130000,2.220000,2.220000,1231400
2015-08-20,2.210000,2.270000,2.160000,2.180000,2.180000,1521500
2015-08-21,2.170000,2.180000,2.050000,2.100000,2.100000,3082400
2015-08-24,1.980000,2.050000,1.900000,2.030000,2.030000,6094600
2015-08-25,2.070000,2.130000,2.050000,2.050000,2.050000,1565200
2015-08-26,2.090000,2.090000,1.980000,2.040000,2.040000,1680600
2015-08-27,2.060000,2.090000,2.040000,2.080000,2.080000,1165700
2015-08-28,2.080000,2.190000,2.050000,2.180000,2.180000,2112900
2015-08-31,2.220000,2.380000,2.210000,2.260000,2.260000,3847400
2015-09-01,2.220000,2.250000,2.180000,2.250000,2.250000,1754800
2015-09-02,2.240000,2.270000,2.230000,2.250000,2.250000,482800
2015-09-03,2.260000,2.350000,2.250000,2.260000,2.260000,2096700
2015-09-04,2.260000,2.270000,2.180000,2.200000,2.200000,1211400
2015-09-08,2.210000,2.240000,2.170000,2.190000,2.190000,1041500
2015-09-09,2.190000,2.210000,2.170000,2.180000,2.180000,818600
2015-09-10,2.170000,2.180000,2.130000,2.150000,2.150000,1155200
2015-09-11,2.170000,2.170000,2.100000,2.120000,2.120000,654900
2015-09-14,2.120000,2.120000,2.090000,2.100000,2.100000,490400
2015-09-15,2.110000,2.170000,2.090000,2.150000,2.150000,485800
2015-09-16,2.150000,2.220000,2.150000,2.170000,2.170000,1286900
2015-09-17,2.170000,2.250000,2.170000,2.250000,2.250000,2217700
2015-09-18,2.250000,2.260000,2.200000,2.220000,2.220000,751500
2015-09-21,2.190000,2.270000,2.190000,2.240000,2.240000,2621200
