Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,2.340000,2.420000,2.310000,2.310000,2.310000,5585900
2015-07-02,2.320000,2.340000,2.280000,2.300000,2.300000,1837700
2015-07-06,2.290000,2.300000,2.200000,2.220000,2.220000,3928900
2015-07-07,2.190000,2.230000,2.070000,2.190000,2.190000,6922800
2015-07-08,2.150000,2.160000,2.100000,2.130000,2.130000,2835700
2015-07-09,2.130000,2.200000,2.130000,2.170000,2.170000,3378200
2015-07-10,2.190000,2.250000,2.170000,2.180000,2.180000,3349800
2015-07-13,2.190000,2.240000,2.170000,2.200000,2.200000,1464300
2015-07-14,2.210000,2.290000,2.200000,2.280000,2.280000,2675800
2015-07-15,2.340000,2.530000,2.330000,2.470000,2.470000,13348900
2015-07-16,2.480000,2.480000,2.380000,2.430000,2.430000,4055200
2015-07-17,2.440000,2.470000,2.420000,2.440000,2.440000,2358200
2015-07-20,2.440000,2.480000,2.410000,2.480000,2.480000,2425700
2015-07-21,2.440000,2.530000,2.440000,2.500000,2.500000,7773300
2015-07-22,2.510000,2.640000,2.470000,2.620000,2.620000,8842300
2015-07-23,2.650000,2.720000,2.550000,2.580000,2.580000,6026900
2015-07-24,2.580000,2.600000,2.500000,2.540000,2.540000,4155600
2015-07-27,2.480000,2.510000,2.350000,2.410000,2.410000,3246100
2015-07-28,2.400000,2.510000,2.400000,2.490000,2.490000,2800600
2015-07-29,2.500000,2.500000,2.450000,2.480000,2.480000,1114700
2015-07-30,2.450000,2.480000,2.450000,2.460000,2.460000,972900
2015-07-31,2.450000,2.460000,2.320000,2.350000,2.350000,11976600
2015-08-03,2.350000,2.360000,2.240000,2.260000,2.260000,4309100
2015-08-04,2.280000,2.420000,2.270000,2.390000,2.390000,5486900
2015-08-05,2.420000,2.450000,2.320000,2.360000,2.360000,1728900
2015-08-06,2.350000,2.460000,2.320000,2.460000,2.460000,4076100
2015-08-07,2.490000,2.490000,2.420000,2.430000,2.430000,1907100
2015-08-10,2.420000,2.420000,2.350000,2.390000,2.390000,1479500
2015-08-11,2.380000,2.410000,2.340000,2.400000,2.400000,2008600
2015-08-12,2.400000,2.400000,2.320000,2.340000,2.340000,2042300
2015-08-13,2.340000,2.390000,2.320000,2.330000,2.330000,1156200
2015-08-14,2.330000,2.340000,2.290000,2.310000,2.310000,1093800
2015-08-17,2.310000,2.320000,2.280000,2.290000,2.290000,1424000
2015-08-18,2.290000,2.290000,2.240000,2.270000,2.270000,2674600
2015-08-19,2.270000,2.340000,2.230000,2.330000,2.330000,2174300
2015-08-20,2.310000,2.380000,2.270000,2.280000,2.280000,2845000
2015-08-21,2.280000,2.290000,2.150000,2.210000,2.210000,4311200
2015-08-24,2.090000,2.150000,2.010000,2.120000,2.120000,11587700
2015-08-25,2.170000,2.230000,2.150000,2.160000,2.160000,3204000
2015-08-26,2.170000,2.190000,2.090000,2.120000,2.120000,4014800
2015-08-27,2.150000,2.190000,2.140000,2.190000,2.190000,2414900
2015-08-28,2.170000,2.280000,2.140000,2.280000,2.280000,3991600
2015-08-31,2.320000,2.470000,2.300000,2.370000,2.370000,10489900
2015-09-01,2.320000,2.360000,2.280000,2.350000,2.350000,2400700
2015-09-02,2.340000,2.370000,2.330000,2.350000,2.350000,1794700
2015-09-03,2.360000,2.440000,2.350000,2.360000,2.360000,2361600
2015-09-04,2.360000,2.360000,2.280000,2.310000,2.310000,2693800
2015-09-08,2.310000,2.340000,2.260000,2.290000,2.290000,1690500
2015-09-09,2.300000,2.310000,2.270000,2.280000,2.280000,1422500
2015-09-10,2.290000,2.300000,2.230000,2.240000,2.240000,1551200
2015-09-11,2.270000,2.270000,2.200000,2.230000,2.230000,1124300
2015-09-14,2.220000,2.220000,2.180000,2.200000,2.200000,950500
2015-09-15,2.210000,2.270000,2.200000,2.240000,2.240000,1254800
2015-09-16,2.260000,2.330000,2.250000,2.270000,2.270000,2376400
2015-09-17,2.280000,2.360000,2.270000,2.340000,2.340000,2856600
2015-09-18,2.360000,2.360000,2.300000,2.310000,2.310000,1513600
2015-09-21,2.310000,2.370000,2.300000,2.340000,2.340000,1684700
2015-09-22,2.330000,2.330000,2.290000,2.300000,2.300000,1541200
2015-09-23,2.300000,2.300000,2.260000,2.260000,2.260000,906800
2015-09-24,2.270000,2.290000,2.230000,2.270000,2.270000,1665900
2015-09-25,2.290000,2.330000,2.280000,2.330000,2.330000,2223500
2015-09-28,2.310000,2.320000,2.120000,2.140000,2.140000,7815000
2015-09-29,2.170000,2.250000,2.150000,2.220000,2.220000,2772000
2015-09-30,2.230000,2.280000,2.220000,2.250000,2.250000,1831400
2015-10-01,2.270000,2.300000,2.230000,2.260000,2.260000,2093800
2015-10-02,2.250000,2.260000,2.210000,2.240000,2.240000,1542200
2015-10-05,2.240000,2.250000,2.200000,2.220000,2.220000,1982900
2015-10-06,2.250000,2.420000,2.230000,2.400000,2.400000,13502300
2015-10-07,2.370000,2.430000,2.310000,2.420000,2.420000,5189400
2015-10-08,2.430000,2.530000,2.400000,2.440000,2.440000,9121600
2015-10-09,2.480000,2.530000,2.440000,2.460000,2.460000,6107100
2015-10-12,2.460000,2.500000,2.380000,2.480000,2.480000,5265700
2015-10-13,2.490000,2.610000,2.440000,2.610000,2.610000,6150200
2015-10-14,2.610000,2.700000,2.580000,2.650000,2.650000,7242600
2015-10-15,2.660000,2.660000,2.530000,2.600000,2.600000,3807200
2015-10-16,2.580000,2.590000,2.470000,2.500000,2.500000,3591800
2015-10-19,2.460000,2.460000,2.300000,2.390000,2.390000,7419900
2015-10-20,2.360000,2.370000,2.300000,2.350000,2.350000,2771800
2015-10-21,2.350000,2.390000,2.280000,2.280000,2.280000,4976700
2015-10-22,2.290000,2.300000,2.260000,2.280000,2.280000,1997800
2015-10-23,2.280000,2.320000,2.270000,2.280000,2.280000,1959400
2015-10-26,2.290000,2.290000,2.250000,2.270000,2.270000,2043800
2015-10-27,2.260000,2.280000,2.250000,2.260000,2.260000,874600
2015-10-28,2.250000,2.290000,2.240000,2.270000,2.270000,1768900
2015-10-29,2.260000,2.270000,2.240000,2.250000,2.250000,2068700
2015-10-30,2.250000,2.270000,2.230000,2.250000,2.250000,1335700
2015-11-02,2.250000,2.260000,2.220000,2.240000,2.240000,1986800
2015-11-03,2.250000,2.300000,2.250000,2.280000,2.280000,2157600
2015-11-04,2.280000,2.290000,2.260000,2.270000,2.270000,1389600
2015-11-05,2.270000,2.350000,2.230000,2.260000,2.260000,3344800
2015-11-06,2.260000,2.280000,2.230000,2.250000,2.250000,1895900
2015-11-09,2.260000,2.280000,2.220000,2.230000,2.230000,1851900
2015-11-10,2.240000,2.240000,2.210000,2.230000,2.230000,1584200
2015-11-11,2.220000,2.260000,2.220000,2.230000,2.230000,797800
2015-11-12,2.230000,2.240000,2.200000,2.210000,2.210000,1119200
2015-11-13,2.210000,2.230000,2.160000,2.190000,2.190000,3730200
2015-11-16,2.170000,2.220000,2.160000,2.210000,2.210000,1099600
2015-11-17,2.210000,2.220000,2.160000,2.180000,2.180000,1355000
2015-11-18,2.170000,2.180000,2.150000,2.170000,2.170000,1479000
2015-11-19,2.160000,2.170000,2.140000,2.160000,2.160000,1526500
2015-11-20,2.150000,2.160000,2.140000,2.150000,2.150000,1409700
2015-11-23,2.150000,2.150000,2.120000,2.130000,2.130000,1855700
2015-11-24,2.120000,2.140000,2.110000,2.130000,2.130000,1126200
2015-11-25,2.130000,2.140000,2.070000,2.090000,2.090000,2458400
2015-11-27,2.090000,2.100000,2.080000,2.090000,2.090000,911200
2015-11-30,2.090000,2.110000,2.070000,2.090000,2.090000,1440800
2015-12-01,2.080000,2.090000,2.040000,2.050000,2.050000,2197400
2015-12-02,2.030000,2.060000,1.950000,1.980000,1.980000,8473800
2015-12-03,1.960000,1.960000,1.750000,1.910000,1.910000,12090900
2015-12-04,1.930000,2.080000,1.920000,2.070000,2.070000,4465700
2015-12-07,2.070000,2.100000,1.960000,2.100000,2.100000,4191300
2015-12-08,2.080000,2.090000,1.950000,2.010000,2.010000,3096900
2015-12-09,2.020000,2.030000,1.970000,1.980000,1.980000,3716800
2015-12-10,1.990000,1.990000,1.960000,1.970000,1.970000,2268700
2015-12-11,1.970000,1.970000,1.890000,1.900000,1.900000,4114200
2015-12-14,1.910000,1.910000,1.730000,1.780000,1.780000,6641700
2015-12-15,1.800000,1.910000,1.760000,1.770000,1.770000,6305700
2015-12-16,1.770000,1.780000,1.600000,1.670000,1.670000,12779300
