Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,5.250000,5.260000,5.160000,5.170000,3.153786,180600
2015-07-02,5.230000,5.270000,5.220000,5.220000,3.184287,380900
2015-07-06,5.040000,5.050000,4.960000,4.980000,3.037883,583500
2015-07-07,4.990000,5.050000,4.880000,5.040000,3.074484,669900
2015-07-08,4.880000,4.910000,4.840000,4.860000,2.964682,345200
2015-07-09,4.970000,5.010000,4.960000,4.960000,3.025683,255200
2015-07-10,5.050000,5.120000,5.050000,5.110000,3.117186,285000
2015-07-13,5.060000,5.140000,5.040000,5.090000,3.104985,275600
2015-07-14,5.070000,5.150000,5.070000,5.140000,3.326730,306000
2015-07-15,5.000000,5.010000,4.920000,4.960000,3.404287,410100
2015-07-16,5.040000,5.070000,5.030000,5.030000,3.452332,306600
2015-07-17,5.050000,5.070000,5.000000,5.010000,3.438605,200900
2015-07-20,4.930000,4.960000,4.900000,4.920000,3.376833,369000
2015-07-21,4.960000,4.970000,4.920000,4.940000,3.390560,257400
2015-07-22,4.860000,4.890000,4.800000,4.820000,3.308199,359400
2015-07-23,4.790000,4.800000,4.710000,4.710000,3.232700,522800
2015-07-24,4.640000,4.650000,4.600000,4.620000,3.170929,340100
2015-07-27,4.460000,4.520000,4.430000,4.450000,3.054249,521500
2015-07-28,4.440000,4.470000,4.380000,4.460000,3.061113,349000
2015-07-29,4.550000,4.670000,4.530000,4.640000,3.184656,5240200
2015-07-30,4.660000,4.670000,4.610000,4.630000,3.177792,309200
2015-07-31,4.610000,4.640000,4.570000,4.590000,3.150338,313100
2015-08-03,4.450000,4.500000,4.380000,4.410000,3.026796,609000
2015-08-04,4.460000,4.510000,4.420000,4.450000,3.054249,556400
2015-08-05,4.540000,4.560000,4.420000,4.460000,3.061113,991800
2015-08-06,4.340000,4.380000,4.300000,4.360000,2.992479,381600
2015-08-07,4.340000,4.390000,4.310000,4.350000,2.985615,411300
2015-08-10,4.300000,4.470000,4.290000,4.450000,3.054249,673200
2015-08-11,4.400000,4.400000,4.330000,4.370000,2.999342,409800
2015-08-12,4.390000,4.440000,4.340000,4.440000,3.047386,293200
2015-08-13,4.400000,4.410000,4.350000,4.370000,2.999342,194600
2015-08-14,4.430000,4.460000,4.390000,4.390000,3.013068,279500
2015-08-17,4.360000,4.380000,4.320000,4.340000,2.978751,334000
2015-08-18,4.300000,4.320000,4.280000,4.290000,2.944434,372600
2015-08-19,4.280000,4.290000,4.170000,4.180000,2.868936,689300
2015-08-20,4.180000,4.200000,4.140000,4.150000,2.848346,381200
2015-08-21,4.080000,4.100000,3.980000,3.990000,2.738530,828500
2015-08-24,3.760000,3.910000,3.700000,3.820000,2.621850,1622400
2015-08-25,4.080000,4.080000,3.950000,3.980000,2.731666,690900
2015-08-26,4.020000,4.090000,3.970000,4.090000,2.807164,447800
2015-08-27,4.210000,4.350000,4.200000,4.330000,2.971888,1067500
2015-08-28,4.260000,4.470000,4.260000,4.420000,3.033659,427700
2015-08-31,4.340000,4.570000,4.290000,4.520000,3.102294,1073200
2015-09-01,4.380000,4.400000,4.220000,4.250000,2.916980,655100
2015-09-02,4.300000,4.300000,4.160000,4.250000,2.916980,511100
2015-09-03,4.220000,4.350000,4.220000,4.260000,2.923844,190300
2015-09-04,4.180000,4.200000,4.100000,4.120000,2.827754,318900
2015-09-08,4.150000,4.200000,4.110000,4.200000,2.882662,450000
2015-09-09,4.220000,4.240000,4.110000,4.120000,2.827754,343600
2015-09-10,4.170000,4.210000,4.120000,4.210000,2.889526,653200
2015-09-11,4.100000,4.190000,4.100000,4.170000,2.862072,181600
2015-09-14,4.170000,4.220000,4.150000,4.190000,2.875799,470300
2015-09-15,4.180000,4.240000,4.180000,4.240000,2.910116,1751700
2015-09-16,4.280000,4.350000,4.270000,4.330000,2.971888,468000
2015-09-17,4.290000,4.400000,4.250000,4.320000,2.965024,478200
2015-09-18,4.200000,4.250000,4.150000,4.160000,2.855208,3071600
2015-09-21,4.180000,4.190000,4.130000,4.170000,2.862072,2127600
2015-09-22,4.080000,4.090000,4.010000,4.070000,2.793437,674800
2015-09-23,4.010000,4.070000,3.980000,4.000000,2.745393,310300
2015-09-24,3.930000,3.980000,3.890000,3.960000,2.717939,394400
2015-09-25,4.010000,4.050000,3.970000,4.000000,2.745393,482000
2015-09-28,3.950000,3.970000,3.900000,3.910000,2.683621,417700
2015-09-29,3.980000,4.030000,3.970000,4.020000,2.759120,231900
2015-09-30,4.050000,4.060000,4.000000,4.060000,2.786574,385900
2015-10-01,4.000000,4.010000,3.960000,4.000000,2.745393,381400
2015-10-02,3.900000,3.980000,3.890000,3.970000,2.724802,683600
2015-10-05,4.130000,4.210000,4.120000,4.210000,2.889526,406300
2015-10-06,4.220000,4.320000,4.210000,4.320000,2.965024,568200
2015-10-07,4.430000,4.470000,4.380000,4.440000,3.047386,1559400
2015-10-08,4.480000,4.600000,4.430000,4.600000,3.157202,543500
2015-10-09,4.660000,4.700000,4.580000,4.600000,3.157202,621400
2015-10-12,4.640000,4.640000,4.450000,4.500000,3.088567,367800
2015-10-13,4.400000,4.500000,4.380000,4.400000,3.019933,181400
2015-10-14,4.480000,4.530000,4.460000,4.510000,3.095431,326400
2015-10-15,4.560000,4.650000,4.540000,4.650000,3.191520,163500
2015-10-16,4.610000,4.630000,4.520000,4.610000,3.164065,368200
2015-10-19,4.440000,4.490000,4.420000,4.460000,3.061113,175400
2015-10-20,4.430000,4.500000,4.410000,4.480000,3.074840,310000
2015-10-21,4.390000,4.420000,4.360000,4.370000,2.999342,380600
2015-10-22,4.410000,4.440000,4.380000,4.400000,3.019933,461000
2015-10-23,4.420000,4.440000,4.400000,4.440000,3.047386,211200
2015-10-26,4.420000,4.420000,4.310000,4.350000,2.985615,318600
2015-10-27,4.190000,4.230000,4.150000,4.190000,2.875799,400900
2015-10-28,4.200000,4.330000,4.170000,4.260000,2.923844,1225200
2015-10-29,4.190000,4.220000,4.170000,4.170000,2.862072,225100
2015-10-30,4.210000,4.250000,4.180000,4.180000,2.868936,314900
2015-11-02,4.200000,4.270000,4.200000,4.260000,2.923844,1112400
2015-11-03,4.440000,4.520000,4.420000,4.510000,3.095431,713800
2015-11-04,4.580000,4.600000,4.430000,4.470000,3.067977,1133100
2015-11-05,4.410000,4.440000,4.380000,4.390000,3.013068,329400
2015-11-06,4.280000,4.300000,4.190000,4.210000,2.889526,1142900
2015-11-09,4.200000,4.200000,4.140000,4.140000,2.841482,442000
2015-11-10,4.170000,4.200000,4.120000,4.160000,2.855208,263400
2015-11-11,4.170000,4.180000,4.070000,4.080000,2.800301,368700
2015-11-12,4.080000,4.120000,4.010000,4.020000,2.759120,380000
2015-11-13,4.050000,4.070000,4.010000,4.030000,2.765984,403500
2015-11-16,4.110000,4.200000,4.060000,4.180000,2.868936,428600
2015-11-17,4.320000,4.380000,4.280000,4.320000,2.965024,1046700
2015-11-18,4.470000,4.540000,4.430000,4.520000,3.102294,492800
2015-11-19,4.460000,4.530000,4.450000,4.470000,3.067977,444700
2015-11-20,4.490000,4.580000,4.490000,4.510000,3.095431,927900
2015-11-23,4.520000,4.600000,4.510000,4.550000,3.122885,1021700
2015-11-24,4.400000,4.450000,4.380000,4.410000,3.026796,885600
2015-11-25,4.340000,4.370000,4.290000,4.350000,2.985615,315100
2015-11-27,4.260000,4.260000,4.180000,4.190000,2.875799,234000
2015-11-30,4.200000,4.230000,4.100000,4.120000,2.827754,719700
2015-12-01,4.080000,4.100000,4.070000,4.090000,2.807164,675800
2015-12-02,4.030000,4.130000,3.980000,4.010000,2.752256,1287900
2015-12-03,4.070000,4.120000,4.040000,4.100000,2.814028,851800
2015-12-04,4.040000,4.040000,3.970000,4.000000,2.745393,669700
2015-12-07,3.890000,3.910000,3.810000,3.830000,2.628714,1877800
2015-12-08,3.810000,3.850000,3.770000,3.810000,2.614987,717500
2015-12-09,3.850000,3.920000,3.810000,3.840000,2.635577,750200
2015-12-10,3.880000,3.900000,3.840000,3.840000,2.635577,1205900
2015-12-11,3.760000,3.780000,3.670000,3.680000,2.525761,2004700
2015-12-14,3.670000,3.720000,3.630000,3.710000,2.546352,993200
2015-12-15,3.750000,3.810000,3.750000,3.780000,2.594396,1676400
2015-12-16,3.770000,3.810000,3.740000,3.780000,2.594396,770700
2015-12-17,3.860000,3.880000,3.770000,3.780000,2.594396,1010900
2015-12-18,3.720000,3.720000,3.660000,3.670000,2.518898,435300
2015-12-21,3.660000,3.660000,3.610000,3.630000,2.491444,538700
2015-12-22,3.660000,3.690000,3.650000,3.670000,2.518898,892300
2015-12-23,3.760000,3.840000,3.750000,3.840000,2.635577,646500
2015-12-24,3.860000,3.870000,3.820000,3.830000,2.628714,264000
2015-12-28,3.680000,3.720000,3.670000,3.710000,2.546352,839700
2015-12-29,3.730000,3.790000,3.720000,3.770000,2.587533,662700
2015-12-30,3.670000,3.680000,3.650000,3.660000,2.512034,611100
2015-12-31,3.650000,3.740000,3.650000,3.670000,2.518898,442300
2016-01-04,3.660000,3.680000,3.600000,3.650000,2.505171,581600
2016-01-05,3.670000,3.710000,3.660000,3.700000,2.539488,432200
2016-01-06,3.590000,3.630000,3.570000,3.580000,2.457127,599800
2016-01-07,3.440000,3.500000,3.400000,3.430000,2.354174,870200
2016-01-08,3.460000,3.470000,3.360000,3.390000,2.326720,306400
2016-01-11,3.440000,3.460000,3.350000,3.370000,2.312993,1044300
2016-01-12,3.480000,3.500000,3.370000,3.450000,2.367902,965900
2016-01-13,3.420000,3.440000,3.350000,3.370000,2.312993,641200
2016-01-14,3.360000,3.410000,3.310000,3.390000,2.326720,902100
2016-01-15,3.210000,3.230000,3.150000,3.190000,2.189451,1013200
2016-01-19,3.170000,3.180000,3.110000,3.150000,2.161997,802200
2016-01-20,3.030000,3.110000,3.000000,3.110000,2.134543,779900
2016-01-21,2.990000,3.120000,2.970000,3.060000,2.100225,966300
2016-01-22,3.300000,3.360000,3.280000,3.330000,2.285540,847100
2016-01-25,3.270000,3.330000,3.240000,3.240000,2.223768,405300
2016-01-26,3.290000,3.390000,3.260000,3.340000,2.292403,403000
2016-01-27,3.350000,3.470000,3.340000,3.420000,2.347311,614400
2016-01-28,3.490000,3.550000,3.470000,3.550000,2.436536,492600
2016-01-29,3.540000,3.600000,3.530000,3.590000,2.463990,426100
2016-02-01,3.440000,3.470000,3.390000,3.420000,2.347311,617100
2016-02-02,3.310000,3.330000,3.220000,3.230000,2.216905,387000
2016-02-03,3.320000,3.450000,3.260000,3.450000,2.367902,680700
2016-02-04,3.490000,3.550000,3.420000,3.450000,2.367902,502400
2016-02-05,3.460000,3.460000,3.360000,3.420000,2.347311,413000
2016-02-08,3.440000,3.460000,3.320000,3.350000,2.299267,149500
2016-02-09,3.330000,3.360000,3.230000,3.260000,2.237495,420000
2016-02-10,3.290000,3.380000,3.290000,3.320000,2.278676,202000
2016-02-11,3.180000,3.270000,3.180000,3.260000,2.237495,298900
2016-02-12,3.280000,3.340000,3.250000,3.300000,2.264949,356300
2016-02-16,3.480000,3.480000,3.350000,3.430000,2.354174,465500
2016-02-17,3.510000,3.640000,3.510000,3.610000,2.477717,205500
2016-02-18,3.620000,3.620000,3.510000,3.520000,2.415946,408800
2016-02-19,3.500000,3.530000,3.460000,3.530000,2.422809,192300
2016-02-22,3.660000,3.680000,3.640000,3.650000,2.505171,245600
2016-02-23,3.660000,3.670000,3.580000,3.590000,2.463990,161300
2016-02-24,3.480000,3.620000,3.470000,3.600000,2.470854,335600
2016-02-25,3.610000,3.650000,3.540000,3.630000,2.491444,176600
2016-02-26,3.700000,3.710000,3.560000,3.590000,2.463990,363100
2016-02-29,3.700000,3.730000,3.650000,3.660000,2.512034,418600
2016-03-01,3.770000,3.850000,3.760000,3.830000,2.628714,364800
2016-03-02,3.740000,3.820000,3.730000,3.810000,2.614987,250100
2016-03-03,3.820000,3.930000,3.820000,3.910000,2.683621,504300
2016-03-04,3.940000,4.060000,3.940000,4.030000,2.765984,386700
2016-03-07,4.090000,4.200000,4.090000,4.190000,2.875799,417800
2016-03-08,4.200000,4.210000,4.000000,4.000000,2.745393,297400
2016-03-09,4.100000,4.150000,4.080000,4.120000,2.827754,380900
2016-03-10,4.090000,4.100000,4.000000,4.040000,2.772847,244700
2016-03-11,4.070000,4.110000,4.070000,4.080000,2.800301,271400
2016-03-14,4.000000,4.110000,3.960000,4.100000,2.814028,507500
2016-03-15,3.960000,3.980000,3.930000,3.950000,2.711076,245700
2016-03-16,4.000000,4.140000,3.990000,4.130000,2.834618,286500
2016-03-17,4.220000,4.280000,4.200000,4.270000,2.930707,282200
2016-03-18,4.360000,4.400000,4.300000,4.300000,2.951298,392900
2016-03-21,4.320000,4.390000,4.310000,4.360000,2.992479,219600
2016-03-22,4.330000,4.400000,4.310000,4.380000,3.006205,330700
2016-03-23,4.270000,4.280000,4.180000,4.190000,2.875799,185000
2016-03-24,4.100000,4.220000,4.100000,4.200000,2.882662,212200
2016-03-28,4.190000,4.200000,4.150000,4.180000,2.868936,226800
2016-03-29,4.100000,4.230000,4.080000,4.200000,2.882662,225400
2016-03-30,4.330000,4.380000,4.300000,4.300000,2.951298,475400
2016-03-31,4.330000,4.370000,4.300000,4.310000,2.958161,508300
2016-04-01,4.190000,4.360000,4.190000,4.350000,2.985615,253700
2016-04-04,4.220000,4.290000,4.170000,4.180000,2.868936,303900
2016-04-05,4.100000,4.150000,4.080000,4.120000,2.827754,278000
2016-04-06,4.140000,4.250000,4.140000,4.240000,2.910116,331500
2016-04-07,4.160000,4.200000,4.150000,4.160000,2.855208,1132700
2016-04-08,4.260000,4.300000,4.250000,4.270000,2.930707,495900
2016-04-11,4.340000,4.380000,4.320000,4.350000,2.985615,519100
2016-04-12,4.390000,4.550000,4.380000,4.540000,3.116021,1200300
2016-04-13,4.600000,4.650000,4.560000,4.560000,3.129748,556200
2016-04-14,4.520000,4.540000,4.450000,4.460000,3.061113,393800
2016-04-15,4.410000,4.420000,4.370000,4.380000,3.006205,148300
2016-04-18,4.220000,4.380000,4.210000,4.350000,2.985615,353600
2016-04-19,4.620000,4.700000,4.590000,4.670000,3.205246,848100
2016-04-20,4.850000,4.960000,4.830000,4.910000,3.369970,788700
2016-04-21,4.800000,4.860000,4.780000,4.800000,3.294472,357100
2016-04-22,4.830000,4.870000,4.750000,4.760000,3.267018,263800
2016-04-25,4.800000,4.810000,4.720000,4.740000,3.253290,229800
2016-04-26,4.850000,4.920000,4.820000,4.920000,3.376833,511900
2016-04-27,4.960000,4.980000,4.810000,4.920000,3.376833,848700
2016-04-28,4.960000,5.060000,4.930000,5.000000,3.431741,669200
2016-04-29,5.220000,5.250000,5.110000,5.190000,3.562147,660600
2016-05-02,5.180000,5.180000,5.030000,5.060000,3.472922,468600
2016-05-03,5.100000,5.110000,4.960000,4.980000,3.418014,257100
2016-05-04,4.810000,4.870000,4.750000,4.760000,3.267018,500900
2016-05-05,4.880000,4.900000,4.780000,4.790000,3.287608,185300
2016-05-06,4.740000,4.820000,4.740000,4.790000,3.287608,214500
2016-05-09,4.790000,4.810000,4.700000,4.720000,3.239563,220900
2016-05-10,4.690000,4.740000,4.680000,4.740000,3.253290,518600
2016-05-11,4.760000,4.880000,4.750000,4.880000,3.349379,562900
2016-05-12,4.940000,4.950000,4.800000,4.880000,3.349379,227000
2016-05-13,4.830000,4.860000,4.790000,4.800000,3.294472,140900
2016-05-16,4.930000,4.980000,4.820000,4.820000,3.308199,510400
2016-05-17,4.650000,4.720000,4.650000,4.720000,3.239563,233700
2016-05-18,4.630000,4.650000,4.570000,4.570000,3.136612,1315000
2016-05-19,4.460000,4.460000,4.360000,4.420000,3.033659,600600
2016-05-20,4.330000,4.350000,4.300000,4.330000,2.971888,162000
2016-05-23,4.240000,4.320000,4.230000,4.310000,2.958161,258300
2016-05-24,4.340000,4.370000,4.320000,4.360000,2.992479,390800
2016-05-25,4.430000,4.470000,4.400000,4.430000,3.040523,216700
2016-05-26,4.540000,4.550000,4.450000,4.470000,3.067977,196200
2016-05-27,4.470000,4.510000,4.460000,4.470000,3.067977,135900
2016-05-31,4.430000,4.440000,4.320000,4.350000,2.985615,318100
2016-06-01,4.260000,4.300000,4.220000,4.250000,2.916980,217300
2016-06-02,4.210000,4.260000,4.170000,4.260000,2.923844,289900
2016-06-03,4.280000,4.360000,4.260000,4.310000,2.958161,171600
2016-06-06,4.420000,4.450000,4.370000,4.430000,3.040523,140300
2016-06-07,4.480000,4.530000,4.480000,4.510000,3.095431,339200
2016-06-08,4.530000,4.560000,4.500000,4.540000,3.116021,283100
2016-06-09,4.450000,4.490000,4.430000,4.450000,3.054249,125600
2016-06-10,4.370000,4.380000,4.310000,4.340000,2.978751,245800
2016-06-13,4.270000,4.360000,4.260000,4.300000,2.951298,157600
2016-06-14,4.260000,4.270000,4.200000,4.230000,2.903253,428300
2016-06-15,4.240000,4.310000,4.230000,4.250000,2.916980,339400
2016-06-16,4.200000,4.240000,4.130000,4.230000,2.903253,259100
2016-06-17,4.320000,4.320000,4.270000,4.300000,2.951298,128600
2016-06-20,4.390000,4.410000,4.370000,4.390000,3.013068,126200
2016-06-21,4.390000,4.440000,4.350000,4.440000,3.047386,325200
2016-06-22,4.440000,4.440000,4.340000,4.340000,2.978751,149500
2016-06-23,4.400000,4.480000,4.370000,4.480000,3.074840,176600
2016-06-24,4.190000,4.310000,4.190000,4.270000,2.930707,366700
2016-06-27,4.240000,4.240000,4.150000,4.180000,2.868936,258900
2016-06-28,4.270000,4.300000,4.230000,4.290000,2.944434,162400
2016-06-29,4.310000,4.370000,4.310000,4.350000,2.985615,202500
2016-06-30,4.320000,4.360000,4.280000,4.330000,2.971888,246600
2016-07-01,4.340000,4.370000,4.320000,4.360000,2.992479,163900
2016-07-05,4.320000,4.330000,4.280000,4.330000,2.971888,123500
2016-07-06,4.270000,4.350000,4.260000,4.320000,2.965024,143100
2016-07-07,4.350000,4.350000,4.240000,4.250000,2.916980,189700
2016-07-08,4.360000,4.370000,4.290000,4.330000,2.971888,256800
2016-07-11,4.340000,4.370000,4.330000,4.350000,2.985615,317200
2016-07-12,4.390000,4.410000,4.360000,4.400000,3.019933,739700
2016-07-13,4.450000,4.460000,4.390000,4.410000,3.026796,284300
2016-07-14,4.460000,4.540000,4.460000,4.530000,3.109158,298500
2016-07-15,4.590000,4.610000,4.530000,4.580000,3.143475,224200
2016-07-18,4.550000,4.580000,4.530000,4.550000,3.296931,196400
2016-07-19,4.380000,4.400000,4.300000,4.350000,3.329073,385600
2016-07-20,4.300000,4.370000,4.290000,4.330000,3.313768,246000
2016-07-21,4.350000,4.380000,4.310000,4.320000,3.306114,178400
2016-07-22,4.330000,4.340000,4.280000,4.310000,3.298461,357300
2016-07-25,4.300000,4.330000,4.230000,4.230000,3.237237,483900
2016-07-26,4.200000,4.230000,4.180000,4.220000,3.229584,500900
2016-07-27,4.180000,4.200000,4.120000,4.160000,3.183666,316100
2016-07-28,4.160000,4.160000,4.100000,4.120000,3.153054,410900
2016-07-29,4.080000,4.120000,4.060000,4.110000,3.145401,624700
2016-08-01,4.090000,4.090000,4.020000,4.020000,3.076523,262700
2016-08-02,4.040000,4.050000,3.970000,4.000000,3.061217,785100
2016-08-03,3.950000,4.060000,3.930000,4.030000,3.084177,658000
2016-08-04,4.010000,4.120000,4.010000,4.120000,3.153054,244000
2016-08-05,4.070000,4.110000,4.070000,4.110000,3.145401,307800
2016-08-08,4.180000,4.210000,4.160000,4.210000,3.221931,969000
2016-08-09,4.170000,4.230000,4.170000,4.210000,3.221931,243700
2016-08-10,4.230000,4.250000,4.180000,4.190000,3.206625,352400
2016-08-11,4.150000,4.230000,4.150000,4.210000,3.221931,216700
2016-08-12,4.190000,4.210000,4.180000,4.200000,3.214278,229400
2016-08-15,4.250000,4.280000,4.230000,4.260000,3.260196,292200
2016-08-16,4.250000,4.290000,4.220000,4.280000,3.275502,147500
2016-08-17,4.240000,4.260000,4.210000,4.260000,3.260196,170000
2016-08-18,4.280000,4.310000,4.260000,4.300000,3.290809,285500
2016-08-19,4.260000,4.260000,4.230000,4.240000,3.244890,385300
2016-08-22,4.170000,4.220000,4.160000,4.190000,3.206625,365600
2016-08-23,4.200000,4.240000,4.190000,4.220000,3.229584,244600
2016-08-24,4.150000,4.180000,4.140000,4.150000,3.176013,232100
2016-08-25,4.100000,4.160000,4.100000,4.140000,3.168360,154100
2016-08-26,4.110000,4.200000,4.090000,4.140000,3.168360,2323900
2016-08-29,4.120000,4.160000,4.100000,4.150000,3.176013,205500
2016-08-30,4.150000,4.170000,4.090000,4.120000,3.153054,186900
2016-08-31,4.080000,4.090000,4.040000,4.090000,3.130095,201800
2016-09-01,4.070000,4.090000,4.040000,4.060000,3.107136,234400
2016-09-02,4.110000,4.140000,4.090000,4.130000,3.160707,167200
2016-09-06,4.280000,4.340000,4.270000,4.330000,3.313768,628900
2016-09-07,4.400000,4.420000,4.370000,4.390000,3.359685,624500
2016-09-08,4.390000,4.430000,4.350000,4.400000,3.367339,2366600
2016-09-09,4.260000,4.270000,4.220000,4.230000,3.237237,396400
2016-09-12,4.200000,4.280000,4.190000,4.280000,3.275502,260800
2016-09-13,4.200000,4.230000,4.160000,4.170000,3.191319,412200
2016-09-14,4.210000,4.250000,4.200000,4.210000,3.221931,137900
2016-09-15,4.190000,4.200000,4.150000,4.190000,3.206625,114200
2016-09-16,4.160000,4.170000,4.130000,4.160000,3.183666,450000
2016-09-19,4.180000,4.190000,4.140000,4.160000,3.183666,165600
2016-09-20,4.130000,4.180000,4.110000,4.160000,3.183666,317500
2016-09-21,4.160000,4.220000,4.150000,4.220000,3.229584,491200
2016-09-22,4.230000,4.260000,4.180000,4.220000,3.229584,746600
2016-09-23,4.230000,4.240000,4.170000,4.180000,3.198972,605000
2016-09-26,4.190000,4.220000,4.160000,4.200000,3.214278,594100
2016-09-27,4.170000,4.170000,4.110000,4.120000,3.153054,934100
2016-09-28,4.150000,4.240000,4.150000,4.240000,3.244890,307000
2016-09-29,4.240000,4.260000,4.180000,4.200000,3.214278,261300
2016-09-30,4.250000,4.270000,4.210000,4.230000,3.237237,920000
2016-10-03,4.300000,4.310000,4.260000,4.270000,3.267849,271600
2016-10-04,4.320000,4.330000,4.250000,4.250000,3.252543,526100
2016-10-05,4.250000,4.290000,4.240000,4.290000,3.283155,555400
2016-10-06,4.320000,4.350000,4.290000,4.340000,3.321421,422900
2016-10-07,4.340000,4.350000,4.300000,4.340000,3.321421,377900
2016-10-10,4.390000,4.470000,4.380000,4.470000,3.420910,373200
2016-10-11,4.420000,4.420000,4.370000,4.370000,3.344380,338100
2016-10-12,4.360000,4.370000,4.300000,4.310000,3.298461,232100
2016-10-13,4.280000,4.330000,4.250000,4.300000,3.290809,159200
2016-10-14,4.280000,4.300000,4.260000,4.270000,3.267849,112100
2016-10-17,4.260000,4.270000,4.240000,4.250000,3.252543,113700
2016-10-18,4.260000,4.290000,4.250000,4.250000,3.252543,178300
2016-10-19,4.280000,4.320000,4.270000,4.300000,3.290809,190600
2016-10-20,4.260000,4.290000,4.250000,4.250000,3.252543,269700
2016-10-21,4.260000,4.290000,4.250000,4.280000,3.275502,187400
2016-10-24,4.290000,4.300000,4.270000,4.290000,3.283155,164600
2016-10-25,4.320000,4.320000,4.280000,4.300000,3.290809,235700
2016-10-26,4.270000,4.300000,4.220000,4.240000,3.244890,222900
2016-10-27,4.240000,4.260000,4.230000,4.240000,3.244890,146600
2016-10-28,4.240000,4.250000,4.210000,4.230000,3.237237,202100
2016-10-31,4.310000,4.350000,4.290000,4.330000,3.313768,404200
2016-11-01,4.400000,4.460000,4.390000,4.430000,3.390298,298600
2016-11-02,4.450000,4.480000,4.350000,4.370000,3.344380,214500
2016-11-03,4.350000,4.360000,4.310000,4.340000,3.321421,299300
2016-11-04,4.250000,4.300000,4.240000,4.280000,3.275502,336700
2016-11-07,4.310000,4.340000,4.300000,4.330000,3.313768,127000
2016-11-08,4.330000,4.360000,4.310000,4.340000,3.321421,202500
2016-11-09,4.520000,4.580000,4.500000,4.580000,3.505093,915600
2016-11-10,4.660000,4.670000,4.510000,4.520000,3.459175,590900
2016-11-11,4.540000,4.560000,4.470000,4.510000,3.451522,748600
2016-11-14,4.430000,4.480000,4.400000,4.470000,3.420910,211900
2016-11-15,4.480000,4.590000,4.480000,4.570000,3.497441,987300
2016-11-16,4.510000,4.520000,4.470000,4.510000,3.451522,669800
2016-11-17,4.540000,4.600000,4.540000,4.540000,3.474481,275600
2016-11-18,4.550000,4.570000,4.520000,4.560000,3.489787,162800
2016-11-21,4.680000,4.710000,4.670000,4.700000,3.596930,322100
2016-11-22,4.710000,4.720000,4.650000,4.700000,3.596930,521000
2016-11-23,4.610000,4.660000,4.600000,4.660000,3.566318,185900
2016-11-25,4.660000,4.700000,4.660000,4.700000,3.596930,98400
2016-11-28,4.620000,4.620000,4.580000,4.600000,3.520400,147500
2016-11-29,4.520000,4.550000,4.490000,4.530000,3.466829,238900
2016-11-30,4.630000,4.680000,4.600000,4.640000,3.551012,594300
2016-12-01,4.820000,4.840000,4.770000,4.800000,3.673461,751100
2016-12-02,4.800000,4.820000,4.770000,4.780000,3.658154,326800
2016-12-05,4.830000,4.900000,4.830000,4.860000,3.719379,447800
2016-12-06,4.790000,4.810000,4.750000,4.800000,3.673461,353500
2016-12-07,4.800000,4.830000,4.770000,4.820000,3.688767,368300
2016-12-08,4.830000,4.910000,4.810000,4.850000,3.711725,439200
2016-12-09,4.850000,4.920000,4.850000,4.910000,3.757644,837200
2016-12-12,5.240000,5.280000,5.190000,5.210000,3.987235,1048400
2016-12-13,5.250000,5.320000,5.240000,5.280000,4.040807,615300
2016-12-14,5.180000,5.230000,5.050000,5.070000,3.880093,684200
2016-12-15,5.120000,5.160000,5.110000,5.130000,3.926011,1037500
2016-12-16,5.150000,5.170000,5.030000,5.080000,3.887746,743400
2016-12-19,5.090000,5.100000,5.010000,5.020000,3.841827,2162000
2016-12-20,5.070000,5.090000,5.050000,5.090000,3.895399,448900
2016-12-21,5.110000,5.120000,5.010000,5.020000,3.841827,487100
2016-12-22,4.980000,4.980000,4.910000,4.930000,3.772950,1113400
2016-12-23,4.890000,4.910000,4.880000,4.910000,3.757644,340300
2016-12-27,4.920000,5.000000,4.910000,4.990000,3.818868,442300
2016-12-28,5.040000,5.060000,4.980000,4.980000,3.811215,440600
2016-12-29,5.030000,5.090000,5.000000,5.010000,3.834174,611300
2016-12-30,5.020000,5.100000,5.020000,5.090000,3.895399,453600
2017-01-03,5.190000,5.240000,5.100000,5.130000,3.926011,387000
2017-01-04,5.160000,5.240000,5.150000,5.230000,4.002542,325100
2017-01-05,5.140000,5.180000,5.130000,5.180000,3.964276,235600
2017-01-06,5.160000,5.180000,5.140000,5.180000,3.964276,145200
2017-01-09,5.160000,5.170000,5.130000,5.140000,3.933664,289000
2017-01-10,5.230000,5.270000,5.190000,5.200000,3.979582,285600
2017-01-11,5.170000,5.280000,5.160000,5.270000,4.033153,266100
2017-01-12,5.280000,5.300000,5.220000,5.230000,4.002542,1402700
