Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,13.340000,13.340000,13.200000,13.270000,11.843807,32800
2015-07-02,13.250000,13.250000,13.095000,13.095000,11.687615,25000
2015-07-06,12.010000,12.440000,12.010000,12.180000,10.870955,21600
2015-07-07,11.560000,11.585000,11.270000,11.585000,10.339903,154800
2015-07-08,11.230000,11.230000,10.800000,10.825000,9.661582,125000
2015-07-09,11.740000,11.740000,11.655000,11.695000,10.438080,166800
2015-07-10,12.480000,12.480000,12.255000,12.400000,11.067310,40400
2015-07-13,12.500000,12.570000,12.500000,12.525000,11.178876,11400
2015-07-14,12.250000,12.425000,12.230000,12.310000,10.986985,50600
2015-07-15,12.125000,12.150000,12.025000,12.030000,10.737076,66800
2015-07-16,12.335000,12.355000,12.330000,12.350000,11.022684,26000
2015-07-17,12.520000,12.605000,12.520000,12.535000,11.187802,18600
2015-07-20,12.305000,12.490000,12.305000,12.415000,11.080698,30600
2015-07-21,12.485000,12.660000,12.420000,12.430000,11.094086,11400
2015-07-22,12.500000,12.600000,12.390000,12.390000,11.058385,15800
2015-07-23,12.600000,12.630000,12.500000,12.500000,11.229524,17600
2015-07-24,12.490000,12.555000,12.300000,12.540000,11.265458,10000
2015-07-27,11.500000,12.005000,6.395000,11.950000,10.735425,29000
2015-07-28,12.375000,12.375000,11.055000,12.090000,10.861195,18600
2015-07-29,12.300000,12.300000,11.585000,11.900000,10.690505,6000
2015-07-30,11.900000,11.900000,11.500000,11.595000,10.416506,11400
2015-07-31,11.500000,11.630000,11.295000,11.630000,10.447948,17800
2015-08-03,11.250000,11.250000,11.100000,11.210000,10.070638,33000
2015-08-04,11.580000,11.775000,11.385000,11.630000,10.447948,12400
2015-08-05,11.575000,11.835000,11.285000,11.305000,10.155980,7200
2015-08-06,10.900000,11.395000,10.900000,11.270000,10.124540,16800
2015-08-07,11.425000,11.425000,11.325000,11.325000,10.173947,12200
2015-08-10,11.300000,11.540000,11.300000,11.500000,10.331161,36000
2015-08-11,12.000000,12.000000,11.300000,11.450000,10.358776,21500
2015-08-12,11.300000,11.300000,11.030000,11.250000,10.177836,41700
2015-08-13,11.100000,11.380000,11.100000,11.160000,10.096413,23900
2015-08-14,11.300000,11.310000,11.200000,11.220000,10.150695,20300
2015-08-17,10.960000,11.070000,10.850000,11.010000,9.960709,31200
2015-08-18,10.630000,10.730000,10.590000,10.630000,9.616926,15900
2015-08-19,10.380000,10.420000,10.210000,10.210000,9.236951,22200
2015-08-20,10.040000,10.420000,10.040000,10.200000,9.227905,22200
2015-08-21,10.040000,10.060000,9.800000,9.800000,8.866026,81100
2015-08-24,9.050000,9.370000,8.800000,8.980000,8.124175,150400
2015-08-25,9.380000,9.890000,9.360000,9.400000,8.504148,280300
2015-08-26,9.380000,9.540000,9.170000,9.500000,8.594618,19700
2015-08-27,9.950000,9.990000,9.800000,9.950000,9.001730,72100
2015-08-28,9.520000,9.870000,9.520000,9.770000,8.838886,58200
2015-08-31,9.730000,9.750000,9.600000,9.680000,8.757463,44400
2015-09-01,9.390000,9.520000,9.310000,9.420000,8.522243,51200
2015-09-02,9.510000,9.510000,9.350000,9.450000,8.600511,34400
2015-09-03,9.610000,9.720000,9.500000,9.580000,8.718824,48800
