Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,9.600000,9.620000,9.480000,9.560000,7.434727,69000
2015-07-02,9.480000,9.480000,9.400000,9.470000,7.364735,103500
2015-07-06,8.880000,9.060000,8.830000,8.920000,6.937005,156400
2015-07-07,8.730000,9.010000,8.620000,8.980000,6.983665,100400
2015-07-08,8.800000,8.840000,8.720000,8.750000,6.804797,162300
2015-07-09,9.100000,9.140000,9.010000,9.050000,7.038105,195400
2015-07-10,9.600000,9.620000,9.510000,9.610000,7.473611,91900
2015-07-13,9.680000,9.710000,9.620000,9.630000,7.489164,70600
2015-07-14,9.610000,9.730000,9.610000,9.710000,7.551380,47400
2015-07-15,9.750000,9.770000,9.640000,9.650000,7.504719,210200
2015-07-16,9.810000,9.900000,9.740000,9.840000,7.652480,522100
2015-07-17,9.770000,9.780000,9.710000,9.760000,7.590265,105900
2015-07-20,9.880000,9.900000,9.810000,9.860000,7.668034,145100
2015-07-21,9.830000,9.900000,9.810000,9.850000,7.660257,130300
2015-07-22,9.850000,9.930000,9.840000,9.910000,7.706918,38600
2015-07-23,10.030000,10.060000,9.970000,9.980000,7.761357,97900
2015-07-24,9.930000,9.960000,9.860000,9.860000,7.668034,51900
2015-07-27,9.790000,9.820000,9.720000,9.760000,7.590265,126800
2015-07-28,9.860000,9.910000,9.760000,9.910000,7.706918,56000
2015-07-29,9.740000,9.800000,9.720000,9.760000,7.590265,84400
2015-07-30,9.780000,9.810000,9.670000,9.750000,7.582488,103200
2015-07-31,9.830000,9.930000,9.800000,9.830000,7.644703,125300
2015-08-03,9.900000,9.910000,9.810000,9.880000,7.683588,84400
2015-08-04,9.770000,9.840000,9.710000,9.720000,7.559158,194000
2015-08-05,10.590000,10.630000,10.420000,10.470000,8.142426,185300
2015-08-06,10.530000,10.550000,10.440000,10.500000,8.165757,54100
2015-08-07,10.470000,10.590000,10.440000,10.590000,8.235748,117300
2015-08-10,10.530000,10.700000,10.530000,10.700000,8.321294,95800
2015-08-11,10.630000,10.670000,10.580000,10.670000,8.297963,76600
2015-08-12,10.480000,10.540000,10.320000,10.510000,8.173533,86500
2015-08-13,10.500000,10.550000,10.450000,10.510000,8.173533,62100
2015-08-14,10.380000,10.500000,10.380000,10.500000,8.165757,43900
2015-08-17,10.440000,10.550000,10.420000,10.550000,8.204641,32000
2015-08-18,10.510000,10.520000,10.430000,10.450000,8.126872,40600
2015-08-19,10.430000,10.530000,10.380000,10.460000,8.134649,87300
2015-08-20,10.300000,10.300000,10.120000,10.120000,7.870234,67500
2015-08-21,10.010000,10.040000,9.710000,9.770000,7.598042,5187000
2015-08-24,9.380000,9.690000,9.230000,9.340000,7.263635,133900
2015-08-25,9.880000,9.880000,9.450000,9.460000,7.356958,153300
2015-08-26,9.770000,9.830000,9.510000,9.830000,7.644703,112400
2015-08-27,9.890000,9.910000,9.720000,9.910000,7.706918,132500
2015-08-28,9.730000,9.810000,9.690000,9.810000,7.629150,207400
2015-08-31,9.700000,9.800000,9.670000,9.800000,7.621373,81300
2015-09-01,9.390000,9.450000,9.340000,9.420000,7.325850,137000
2015-09-02,9.600000,9.600000,9.410000,9.580000,7.450280,97200
2015-09-03,9.570000,9.700000,9.490000,9.600000,7.465835,66400
2015-09-04,9.220000,9.320000,9.170000,9.240000,7.185866,87700
2015-09-08,9.580000,9.650000,9.490000,9.650000,7.504719,60400
2015-09-09,9.770000,9.780000,9.470000,9.520000,7.403619,63700
2015-09-10,9.610000,9.730000,9.570000,9.680000,7.528050,91400
2015-09-11,9.600000,9.700000,9.540000,9.660000,7.512495,93900
2015-09-14,9.430000,9.500000,9.390000,9.440000,7.341403,98900
2015-09-15,9.440000,9.550000,9.390000,9.540000,7.419173,736200
2015-09-16,9.480000,9.550000,9.470000,9.520000,7.403619,60100
2015-09-17,9.530000,9.740000,9.490000,9.510000,7.395842,79200
2015-09-18,9.150000,9.240000,9.090000,9.140000,7.108098,122800
2015-09-21,9.200000,9.220000,9.080000,9.150000,7.115874,75100
2015-09-22,8.800000,8.860000,8.690000,8.860000,6.890343,105500
2015-09-23,8.760000,8.760000,8.590000,8.670000,6.742582,126500
2015-09-24,8.660000,8.840000,8.590000,8.810000,6.851460,80700
2015-09-25,8.880000,8.930000,8.740000,8.820000,6.859235,79400
2015-09-28,8.530000,8.620000,8.480000,8.480000,6.594820,202200
2015-09-29,8.660000,8.760000,8.620000,8.720000,6.781467,195100
2015-09-30,8.960000,8.960000,8.790000,8.940000,6.952559,180300
2015-10-01,8.890000,8.950000,8.800000,8.910000,6.929227,75700
2015-10-02,8.870000,9.080000,8.840000,9.080000,7.061435,116800
2015-10-05,9.180000,9.310000,9.180000,9.300000,7.232527,109500
2015-10-06,9.250000,9.350000,9.240000,9.310000,7.240304,200000
2015-10-07,9.500000,9.540000,9.410000,9.500000,7.388064,42300
2015-10-08,9.320000,9.470000,9.290000,9.440000,7.341403,57600
2015-10-09,9.500000,9.560000,9.450000,9.470000,7.364735,149900
2015-10-12,9.380000,9.480000,9.380000,9.450000,7.349180,198500
2015-10-13,9.240000,9.390000,9.240000,9.320000,7.248081,70300
2015-10-14,9.350000,9.450000,9.340000,9.390000,7.302519,111100
2015-10-15,9.360000,9.540000,9.360000,9.540000,7.419173,165700
2015-10-16,9.570000,9.630000,9.530000,9.630000,7.489164,139800
2015-10-19,9.520000,9.520000,9.460000,9.500000,7.388064,115600
2015-10-20,9.410000,9.470000,9.370000,9.460000,7.356958,73000
2015-10-21,9.420000,9.450000,9.340000,9.400000,7.310296,66100
2015-10-22,9.440000,9.580000,9.420000,9.500000,7.388064,58000
2015-10-23,9.560000,9.650000,9.530000,9.650000,7.504719,170300
2015-10-26,9.610000,9.630000,9.550000,9.630000,7.489164,55800
2015-10-27,9.580000,9.620000,9.530000,9.560000,7.434727,53500
2015-10-28,9.610000,9.740000,9.540000,9.650000,7.504719,84300
2015-10-29,9.280000,9.300000,9.160000,9.300000,7.232527,120600
2015-10-30,9.340000,9.400000,9.300000,9.360000,7.279189,84600
2015-11-02,9.490000,9.540000,9.440000,9.520000,7.403619,88700
2015-11-03,9.240000,9.400000,9.240000,9.380000,7.294743,156000
2015-11-04,9.370000,9.370000,9.200000,9.250000,7.193643,135300
2015-11-05,9.840000,9.870000,9.640000,9.680000,7.528050,193100
2015-11-06,9.800000,9.900000,9.710000,9.850000,7.660257,92400
2015-11-09,9.790000,9.790000,9.660000,9.750000,7.582488,90800
2015-11-10,9.590000,9.660000,9.550000,9.660000,7.512495,86000
2015-11-11,9.710000,9.740000,9.660000,9.670000,7.520273,85500
2015-11-12,9.530000,9.570000,9.480000,9.480000,7.372511,197300
2015-11-13,9.470000,9.470000,9.370000,9.430000,7.333627,78000
2015-11-16,9.300000,9.460000,9.300000,9.450000,7.349180,135200
2015-11-17,9.450000,9.490000,9.310000,9.440000,7.341403,57100
2015-11-18,9.440000,9.570000,9.440000,9.550000,7.426950,182300
2015-11-19,9.670000,9.680000,9.590000,9.660000,7.512495,65300
2015-11-20,9.520000,9.560000,9.380000,9.400000,7.310296,165600
2015-11-23,9.340000,9.430000,9.300000,9.390000,7.302519,66700
2015-11-24,9.200000,9.360000,9.200000,9.330000,7.255858,148100
2015-11-25,9.250000,9.330000,9.250000,9.270000,7.209198,99300
2015-11-27,9.570000,9.570000,9.490000,9.550000,7.426950,43100
2015-11-30,9.610000,9.660000,9.530000,9.570000,7.442503,261100
2015-12-01,9.690000,9.740000,9.610000,9.690000,7.535826,68800
2015-12-02,9.640000,9.690000,9.520000,9.590000,7.458058,66200
2015-12-03,9.740000,9.740000,9.500000,9.550000,7.426950,229600
2015-12-04,9.500000,9.680000,9.500000,9.680000,7.528050,73200
2015-12-07,9.460000,9.570000,9.400000,9.530000,7.411395,167100
2015-12-08,9.200000,9.230000,9.070000,9.180000,7.139205,244600
2015-12-09,9.130000,9.300000,9.050000,9.150000,7.115874,1349900
2015-12-10,9.150000,9.210000,9.090000,9.170000,7.131427,89100
2015-12-11,8.980000,9.040000,8.880000,8.920000,6.937005,105300
2015-12-14,9.070000,9.070000,8.890000,8.950000,6.960335,130000
2015-12-15,9.110000,9.170000,9.090000,9.120000,7.092543,246800
2015-12-16,9.280000,9.480000,9.190000,9.480000,7.372511,168100
2015-12-17,9.510000,9.510000,9.350000,9.420000,7.325850,197900
2015-12-18,9.380000,9.400000,9.280000,9.320000,7.248081,138100
2015-12-21,9.470000,9.520000,9.310000,9.410000,7.318072,158500
2015-12-22,9.380000,9.500000,9.250000,9.410000,7.318072,164900
2015-12-23,9.520000,9.570000,9.450000,9.570000,7.442503,196100
2015-12-24,9.440000,9.600000,9.430000,9.580000,7.450280,134000
2015-12-28,9.470000,9.510000,9.420000,9.510000,7.395842,155300
2015-12-29,9.560000,9.570000,9.450000,9.540000,7.419173,140500
2015-12-30,9.380000,9.400000,9.360000,9.380000,7.294743,66900
2015-12-31,9.300000,9.350000,9.220000,9.220000,7.170312,98900
2016-01-04,8.980000,9.120000,8.900000,9.120000,7.092543,162000
2016-01-05,9.080000,9.090000,8.950000,9.030000,7.022551,159300
2016-01-06,8.770000,8.860000,8.760000,8.830000,6.867013,102800
2016-01-07,8.660000,8.730000,8.630000,8.680000,6.750359,129900
2016-01-08,8.660000,8.690000,8.510000,8.510000,6.618151,150100
2016-01-11,8.550000,8.620000,8.510000,8.620000,6.703697,266500
2016-01-12,8.650000,8.690000,8.500000,8.640000,6.719251,163500
2016-01-13,8.740000,8.750000,8.390000,8.480000,6.594820,181700
2016-01-14,8.370000,8.480000,8.280000,8.450000,6.571489,514900
2016-01-15,7.960000,8.000000,7.790000,7.840000,6.097098,1463700
2016-01-19,7.890000,7.900000,7.700000,7.760000,6.034883,427200
2016-01-20,7.520000,7.590000,7.340000,7.560000,5.879344,408900
2016-01-21,7.480000,7.530000,7.330000,7.420000,5.770468,483000
2016-01-22,7.740000,7.830000,7.690000,7.720000,6.003775,1758000
2016-01-25,7.530000,7.620000,7.460000,7.500000,5.832683,315400
2016-01-26,7.650000,7.790000,7.610000,7.760000,6.034883,295400
2016-01-27,7.630000,7.740000,7.510000,7.550000,5.871568,136500
2016-01-28,7.520000,7.540000,7.380000,7.470000,5.809352,196200
2016-01-29,7.520000,7.650000,7.500000,7.650000,5.949337,190000
2016-02-01,7.500000,7.610000,7.470000,7.550000,5.871568,147900
2016-02-02,7.160000,7.160000,6.970000,6.980000,5.428284,371500
2016-02-03,7.000000,7.120000,6.830000,7.120000,5.537160,289500
2016-02-04,6.980000,7.200000,6.980000,7.200000,5.599376,193900
2016-02-05,7.260000,7.260000,7.100000,7.170000,5.576045,197300
2016-02-08,6.860000,6.860000,6.670000,6.790000,5.280522,217200
2016-02-09,6.470000,6.630000,6.430000,6.570000,5.109430,393800
2016-02-10,6.990000,7.150000,6.950000,7.090000,5.513830,178400
2016-02-11,6.390000,6.490000,6.210000,6.330000,4.922785,323300
2016-02-12,6.280000,6.500000,6.210000,6.420000,4.992777,280500
2016-02-16,6.670000,6.680000,6.550000,6.650000,5.171645,148800
2016-02-17,7.000000,7.110000,6.940000,6.980000,5.428284,379100
2016-02-18,6.950000,6.950000,6.810000,6.860000,5.334961,190100
2016-02-19,6.740000,6.830000,6.660000,6.770000,5.264969,197200
2016-02-22,6.870000,7.030000,6.870000,7.010000,5.451615,235500
2016-02-23,6.940000,6.940000,6.710000,6.760000,5.257192,247100
2016-02-24,6.630000,6.770000,6.600000,6.770000,5.264969,158300
2016-02-25,6.910000,6.960000,6.820000,6.910000,5.373845,236000
2016-02-26,7.070000,7.070000,7.000000,7.060000,5.490499,234400
2016-02-29,7.050000,7.130000,6.980000,7.030000,5.467169,185000
2016-03-01,7.100000,7.270000,7.080000,7.240000,5.630483,289900
2016-03-02,7.330000,7.540000,7.330000,7.540000,5.863791,151300
2016-03-03,7.560000,7.670000,7.550000,7.670000,5.964891,149700
2016-03-04,7.700000,7.810000,7.700000,7.760000,6.034883,125700
2016-03-07,7.510000,7.680000,7.490000,7.650000,5.949337,161500
2016-03-08,7.710000,7.730000,7.590000,7.650000,5.949337,171400
2016-03-09,7.780000,7.800000,7.700000,7.700000,5.988221,391300
2016-03-10,7.940000,8.100000,7.770000,7.850000,6.104875,3037500
2016-03-11,8.110000,8.210000,8.070000,8.190000,6.369290,2979500
2016-03-14,8.130000,8.150000,8.070000,8.130000,6.322628,147100
2016-03-15,7.940000,8.020000,7.910000,8.010000,6.229306,258900
2016-03-16,7.820000,7.970000,7.790000,7.940000,6.174867,132500
2016-03-17,7.820000,7.940000,7.790000,7.910000,6.151536,106300
2016-03-18,8.070000,8.120000,8.020000,8.120000,6.314852,76500
2016-03-21,8.030000,8.060000,7.960000,8.010000,6.229306,139900
2016-03-22,7.790000,7.940000,7.790000,7.900000,6.143760,366400
